date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,1,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,19,0,0
2020-03-02,0,19,0,0
2020-03-03,0,34,0,0
2020-03-04,0,53,0,0
2020-03-05,0,81,0,0
2020-03-06,0,110,0,0
2020-03-07,0,27,0,0
2020-03-08,0,64,0,0
2020-03-09,0,94,0,0
2020-03-10,0,99,0,1
2020-03-11,0,174,0,3
2020-03-12,0,250,0,1
2020-03-13,0,338,0,3
2020-03-14,0,179,0,5
2020-03-15,0,214,0,6
2020-03-16,0,387,0,11
2020-03-17,0,422,0,10
2020-03-18,0,534,30,22
2020-03-19,0,713,0,33
2020-03-20,0,662,-30,35
2020-03-21,0,470,262,40
2020-03-22,0,486,0,47
2020-03-23,0,1328,0,78
2020-03-24,0,1195,198,76
2020-03-25,0,1199,86,107
2020-03-26,0,1363,128,102
2020-03-27,0,1518,183,128
2020-03-28,0,844,205,141
2020-03-29,0,683,296,149
2020-03-30,0,1738,168,170
2020-03-31,0,1681,169,208
2020-04-01,0,1516,436,232
2020-04-02,0,1479,363,219
2020-04-03,0,1694,377,236
2020-04-04,0,922,375,270
2020-04-05,0,665,504,246
2020-04-06,0,1934,235,257
2020-04-07,0,1515,171,277
2020-04-08,0,1598,524,321
2020-04-09,0,2239,483,271
2020-04-10,0,2336,404,302
2020-04-11,0,1029,418,285
2020-04-12,0,524,477,265
2020-04-13,0,537,244,277
2020-04-14,0,1560,161,261
2020-04-15,0,1633,239,280
2020-04-16,0,1674,455,246
2020-04-17,0,1394,399,205
2020-04-18,0,722,387,208
2020-04-19,0,443,409,190
2020-04-20,0,1276,138,206
2020-04-21,0,1270,107,203
2020-04-22,0,777,431,181
2020-04-23,0,976,367,156
2020-04-24,0,811,322,155
2020-04-25,0,388,295,142
2020-04-26,0,205,368,154
2020-04-27,0,755,93,135
2020-04-28,0,569,65,110
2020-04-29,0,522,340,107
2020-04-30,0,586,293,87
2020-05-01,0,237,316,93
2020-05-02,0,286,319,75
2020-05-03,0,140,98,94
2020-05-04,0,670,69,95
2020-05-05,0,546,63,81
2020-05-06,0,552,290,76
2020-05-07,0,442,249,71
2020-05-08,0,483,221,74
2020-05-09,0,240,210,71
2020-05-10,0,118,231,72
2020-05-11,0,476,55,65
2020-05-12,0,395,35,45
2020-05-13,0,321,205,56
2020-05-14,0,305,174,43
2020-05-15,0,346,190,45
2020-05-16,0,147,159,30
2020-05-17,0,81,170,31
2020-05-18,0,317,27,37
2020-05-19,0,292,30,33
2020-05-20,0,385,160,30
2020-05-21,0,70,141,34
2020-05-22,0,248,135,41
2020-05-23,0,123,32,25
2020-05-24,0,75,117,33
2020-05-25,0,314,25,26
2020-05-26,0,202,23,24
2020-05-27,0,182,145,24
2020-05-28,0,171,107,26
2020-05-29,0,165,110,16
2020-05-30,0,61,87,23
2020-05-31,0,49,118,22
2020-06-01,0,59,32,21
2020-06-02,0,181,15,23
2020-06-03,0,159,25,20
2020-06-04,0,172,89,14
2020-06-05,0,154,64,12
2020-06-06,0,69,78,11
2020-06-07,0,53,101,12
