date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,2,0,0
2020-03-05,0,0,0,0
2020-03-06,0,9,0,0
2020-03-07,0,0,0,0
2020-03-08,0,7,0,0
2020-03-09,0,5,0,0
2020-03-10,0,6,0,0
2020-03-11,0,7,0,0
2020-03-12,0,14,0,0
2020-03-13,0,99,0,0
2020-03-14,0,0,0,0
2020-03-15,0,11,0,0
2020-03-16,0,38,1,0
2020-03-17,0,121,1,1
2020-03-18,0,51,0,2
2020-03-19,0,249,0,3
2020-03-20,0,172,0,5
2020-03-21,0,228,0,4
2020-03-22,0,525,0,10
2020-03-23,0,378,0,9
2020-03-24,0,323,0,12
2020-03-25,0,307,0,13
2020-03-26,0,431,4,18
2020-03-27,0,432,0,15
2020-03-28,0,487,0,19
2020-03-29,0,352,0,25
2020-03-30,0,323,114,23
2020-03-31,0,1138,7,42
2020-04-01,0,1119,0,39
2020-04-02,0,1208,0,84
2020-04-03,0,1012,0,35
2020-04-04,0,1304,0,86
2020-04-05,0,770,0,41
2020-04-06,0,1031,0,78
2020-04-07,62985,1873,0,122
2020-04-08,0,2136,0,133
2020-04-09,0,1922,46,131
2020-04-10,0,1546,0,107
2020-04-11,0,1089,0,67
2020-04-12,0,1465,0,99
2020-04-13,0,1238,0,105
2020-04-14,0,1832,2873,204
2020-04-15,0,3058,10980,204
2020-04-16,0,2105,0,188
2020-04-17,0,3257,0,217
2020-04-18,0,2976,0,213
2020-04-19,0,1996,8104,108
2020-04-20,69482,2089,0,125
2020-04-21,0,2336,861,154
2020-04-22,0,2678,2327,165
2020-04-23,0,4279,1255,425
2020-04-24,0,4007,1082,373
2020-04-25,0,5281,1505,353
2020-04-26,0,3776,992,229
2020-04-27,0,4346,990,317
2020-04-28,0,5789,1402,480
2020-04-29,0,6450,1588,430
2020-04-30,0,7502,1803,493
2020-05-01,0,5015,2104,406
2020-05-02,0,4898,2898,349
2020-05-03,0,4726,2054,290
2020-05-04,0,6794,2824,316
2020-05-05,0,6835,2406,571
2020-05-06,0,11156,3149,650
2020-05-07,0,9162,3980,602
2020-05-08,0,11121,3947,827
2020-05-09,0,9167,2388,639
2020-05-10,0,6638,3272,467
2020-05-11,0,6895,2427,530
2020-05-12,0,8620,5213,808
2020-05-13,0,11923,5827,779
2020-05-14,0,13028,1055,759
2020-05-15,0,17126,5491,963
2020-05-16,0,13220,4702,700
2020-05-17,0,7569,4450,456
2020-05-18,0,14288,6337,735
2020-05-19,0,16517,6335,1130
2020-05-20,0,19694,9889,876
2020-05-21,0,18508,9277,1188
2020-05-22,0,20803,9470,1001
2020-05-23,0,16508,7157,965
2020-05-24,0,15813,7324,653
2020-05-25,0,11687,3922,807
2020-05-26,0,16324,4760,1039
2020-05-27,0,20599,8054,1086
2020-05-28,0,26417,10957,1156
2020-05-29,352533,26928,11872,1124
2020-05-30,0,33274,11416,956
2020-05-31,0,16409,5663,480
2020-06-01,0,11598,4525,623
