date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,4,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,3,0,1
2020-03-12,0,0,0,0
2020-03-13,0,16,0,0
2020-03-14,0,18,0,1
2020-03-15,0,10,0,0
2020-03-16,0,1,0,0
2020-03-17,0,15,0,0
2020-03-18,0,25,0,0
2020-03-19,0,2,0,1
2020-03-20,0,33,0,0
2020-03-21,0,36,3,0
2020-03-22,0,24,0,0
2020-03-23,0,14,0,0
2020-03-24,0,17,0,0
2020-03-25,0,24,1,0
2020-03-26,0,22,4,0
2020-03-27,0,29,1,0
2020-03-28,0,38,2,4
2020-03-29,0,15,3,1
2020-03-30,0,13,3,0
2020-03-31,0,40,0,0
2020-04-01,0,23,3,2
2020-04-02,0,35,5,0
2020-04-03,0,28,5,4
2020-04-04,0,18,4,3
2020-04-05,0,28,3,3
2020-04-06,0,18,2,2
2020-04-07,0,28,3,1
2020-04-08,0,16,0,1
2020-04-09,0,25,6,0
2020-04-10,0,17,6,1
2020-04-11,18502,26,8,3
2020-04-12,0,14,6,1
2020-04-13,0,10,3,3
2020-04-14,0,28,10,3
2020-04-15,0,34,24,1
2020-04-16,0,53,17,2
2020-04-17,0,46,19,3
2020-04-18,0,32,12,0
2020-04-19,7915,16,8,1
2020-04-20,0,35,6,1
2020-04-21,0,46,3,2
2020-04-22,583,49,4,4
2020-04-23,0,73,16,3
2020-04-24,0,137,7,2
2020-04-25,0,13,0,1
2020-04-26,0,53,8,1
2020-04-27,0,63,1,2
2020-04-28,0,36,16,0
2020-04-29,18208,48,21,6
2020-04-30,0,59,23,2
2020-05-01,1302,49,10,2
2020-05-02,1126,39,11,4
2020-05-03,982,24,21,1
2020-05-04,527,34,13,5
2020-05-05,1158,52,21,2
2020-05-06,1465,74,18,4
2020-05-07,1163,51,24,0
2020-05-08,1397,43,17,2
2020-05-09,1777,49,21,4
2020-05-10,1126,44,22,1
2020-05-11,403,25,17,2
2020-05-12,1079,33,15,2
2020-05-13,1387,46,23,1
2020-05-14,1611,31,32,3
2020-05-15,1608,38,14,3
2020-05-16,1161,37,28,3
2020-05-17,1094,36,25,3
2020-05-18,362,24,14,2
2020-05-19,874,24,34,2
2020-05-20,1433,33,38,4
2020-05-21,0,39,43,4
2020-05-22,3362,41,42,5
2020-05-23,1605,36,39,1
2020-05-24,886,19,32,4
2020-05-25,443,6,22,0
2020-05-26,295,10,18,0
2020-05-27,1557,17,32,3
2020-05-28,1273,17,53,1
2020-05-29,1725,8,51,2
2020-05-30,1353,14,48,3
2020-05-31,606,14,10,1
2020-06-01,346,6,16,0
2020-06-02,1220,19,33,4
2020-06-03,1347,22,83,2
2020-06-04,1569,25,116,1
2020-06-05,2060,42,68,12
2020-06-06,1196,84,155,1
2020-06-07,816,16,3,0
