date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,4,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,3,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,1,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,1,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,0,0,0
2020-02-29,0,2,0,0
2020-03-01,0,9,0,0
2020-03-02,0,0,0,0
2020-03-03,0,9,0,0
2020-03-04,0,0,0,0
2020-03-05,0,12,0,0
2020-03-06,0,6,0,0
2020-03-07,0,6,0,0
2020-03-08,0,5,0,1
2020-03-09,0,15,0,0
2020-03-10,0,0,0,0
2020-03-11,11023,26,0,1
2020-03-12,4162,35,0,0
2020-03-13,0,38,0,0
2020-03-14,7224,17,0,0
2020-03-15,2568,56,0,0
2020-03-16,12753,75,0,3
2020-03-17,6446,100,0,3
2020-03-18,9370,145,0,1
2020-03-19,12305,277,0,3
2020-03-20,10963,125,0,1
2020-03-21,12069,331,0,5
2020-03-22,9941,128,0,2
2020-03-23,8323,216,0,4
2020-03-24,17915,313,0,3
2020-03-25,22727,1426,0,8
2020-03-26,13814,633,230,4
2020-03-27,9041,657,26,14
2020-03-28,16804,711,246,6
2020-03-29,22987,869,20,2
2020-03-30,15270,1169,546,28
2020-03-31,15433,1112,186,7
2020-04-01,15795,1059,299,13
2020-04-02,16733,1673,430,29
2020-04-03,21399,1251,0,49
2020-04-04,16906,1363,0,44
2020-04-05,12820,1614,352,49
2020-04-06,12015,1157,1281,43
2020-04-07,11299,1230,0,57
2020-04-08,13864,1391,0,55
2020-04-09,13333,1474,0,74
2020-04-10,16073,1385,0,60
2020-04-11,13276,1168,0,84
2020-04-12,17549,1064,0,64
2020-04-13,15275,1298,0,63
2020-04-14,17508,1383,0,123
2020-04-15,12753,1318,0,107
2020-04-16,19889,1717,0,183
2020-04-17,20076,1791,0,116
2020-04-18,20356,1469,7562,158
2020-04-19,21292,1436,608,113
2020-04-20,10229,2046,799,110
2020-04-21,10300,1590,603,144
2020-04-22,42314,1766,798,140
2020-04-23,22725,1920,775,172
2020-04-24,25191,1778,780,156
2020-04-25,24163,1464,884,163
2020-04-26,23237,1543,896,95
2020-04-27,26197,1605,947,147
2020-04-28,21095,1526,963,152
2020-04-29,24813,1572,1096,137
2020-04-30,26836,1638,1097,188
2020-05-01,30472,1825,1327,207
2020-05-02,29314,1653,1050,175
2020-05-03,31209,2760,1107,116
2020-05-04,21924,1298,1109,172
2020-05-05,23234,1274,976,189
2020-05-06,31032,1450,1178,189
2020-05-07,31660,1426,1076,176
2020-05-08,29611,1512,979,161
2020-05-09,36550,1268,1023,124
2020-05-10,26065,1146,847,178
2020-05-11,24109,1133,898,122
2020-05-12,23939,1176,1048,176
2020-05-13,27304,1121,1122,135
2020-05-14,30716,1210,927,168
2020-05-15,33158,1125,804,90
2020-05-16,33508,1251,924,117
2020-05-17,30475,1138,731,103
2020-05-18,22718,1070,688,60
2020-05-19,16524,1040,812,70
2020-05-20,35155,1011,643,118
2020-05-21,4605,1201,1035,122
2020-05-22,25553,1156,879,98
2020-05-23,26703,1141,711,105
2020-05-24,27301,1078,680,69
2020-05-25,23180,1012,653,121
2020-05-26,20522,936,701,94
2020-05-27,27941,872,825,126
2020-05-28,54304,993,676,112
2020-05-29,11214,906,680,102
2020-05-30,37828,772,583,94
