date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,0,0,0
2020-03-04,0,2,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,2,1,0
2020-03-08,0,3,1,0
2020-03-09,0,5,1,0
2020-03-10,0,2,9,0
2020-03-11,0,6,2,0
2020-03-12,0,10,4,0
2020-03-13,0,10,3,0
2020-03-14,0,18,1,0
2020-03-15,0,14,9,0
2020-03-16,0,81,7,0
2020-03-17,0,45,8,0
2020-03-18,0,37,9,0
2020-03-19,0,104,22,0
2020-03-20,0,92,13,0
2020-03-21,0,103,14,0
2020-03-22,0,95,24,1
2020-03-23,0,114,33,0
2020-03-24,0,176,65,1
2020-03-25,0,220,52,1
2020-03-26,0,164,70,1
2020-03-27,0,304,112,1
2020-03-28,0,299,151,1
2020-03-29,0,230,170,1
2020-03-30,0,310,277,1
2020-03-31,0,289,249,4
2020-04-01,0,293,258,4
2020-04-02,0,373,285,2
2020-04-03,0,333,348,4
2020-04-04,0,424,299,5
2020-04-05,0,310,295,7
2020-04-06,0,344,374,3
2020-04-07,0,301,316,6
2020-04-08,0,430,327,5
2020-04-09,68353,426,333,9
2020-04-10,4444,529,334,8
2020-04-11,3577,426,326,8
2020-04-12,5897,286,276,7
2020-04-13,2764,312,372,2
2020-04-14,2759,392,320,10
2020-04-15,4079,356,437,2
2020-04-16,6551,534,378,11
2020-04-17,5449,445,377,11
2020-04-18,5018,478,375,10
2020-04-19,4758,358,328,7
2020-04-20,5178,419,439,6
2020-04-21,3530,325,401,8
2020-04-22,6365,464,399,13
2020-04-23,6425,516,449,8
2020-04-24,7120,494,443,6
2020-04-25,6945,552,351,7
2020-04-26,6763,473,386,8
2020-04-27,5260,482,588,9
2020-04-28,4930,552,520,9
2020-04-29,6454,770,640,9
2020-04-30,7898,888,592,11
2020-05-01,8916,985,598,7
2020-05-02,9967,1427,542,13
2020-05-03,6818,1228,533,13
2020-05-04,7913,980,1029,10
2020-05-05,7964,1373,759,5
2020-05-06,10013,1032,816,6
2020-05-07,12118,1533,872,4
2020-05-08,11735,1391,1077,9
2020-05-09,11943,1247,1054,10
2020-05-10,12780,1647,1080,8
2020-05-11,13373,1197,1697,11
2020-05-12,9283,1658,1715,12
2020-05-13,10410,2660,1730,11
2020-05-14,11667,2659,1996,22
2020-05-15,16095,2502,2787,26
2020-05-16,8813,1886,2600,27
2020-05-17,13171,2353,2750,29
2020-05-18,17515,2278,3789,28
2020-05-19,16189,3520,3543,31
2020-05-20,12469,4038,3516,35
2020-05-21,16334,3964,3709,45
2020-05-22,16090,4276,4269,41
2020-05-23,15239,3536,3882,43
2020-05-24,14426,3709,4205,45
2020-05-25,16283,4895,5371,43
2020-05-26,13084,3964,4804,45
2020-05-27,13398,4328,4212,35
2020-05-28,15650,4654,4202,49
2020-05-29,16333,3695,5429,54
2020-05-30,16814,4220,4853,53
2020-05-31,19120,4830,4586,57
2020-06-01,16890,5471,5834,59
