date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,1,0,0
2020-01-05,0,0,0,0
2020-01-06,0,3,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,41,0,1
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,4,0,1
2020-01-18,0,17,0,0
2020-01-19,0,59,0,1
2020-01-20,0,77,0,1
2020-01-21,0,93,0,2
2020-01-22,0,152,0,3
2020-01-23,0,131,0,8
2020-01-24,0,261,0,8
2020-01-25,0,462,0,16
2020-01-26,0,688,0,15
2020-01-27,0,776,0,24
2020-01-28,0,1772,0,26
2020-01-29,0,1462,0,26
2020-01-30,0,1741,0,38
2020-01-31,0,1984,0,43
2020-02-01,0,2101,0,46
2020-02-02,0,2590,0,45
2020-02-03,0,2827,0,57
2020-02-04,0,3233,0,64
2020-02-05,0,3892,0,66
2020-02-06,0,3697,0,73
2020-02-07,0,3151,0,73
2020-02-08,0,3387,0,86
2020-02-09,0,2653,0,89
2020-02-10,0,2985,0,97
2020-02-11,0,2472,0,108
2020-02-12,0,2022,0,97
2020-02-13,0,15152,0,254
2020-02-14,0,4050,0,13
2020-02-15,0,2644,0,143
2020-02-16,0,2008,0,142
2020-02-17,0,2051,0,106
2020-02-18,0,1893,0,98
2020-02-19,0,1751,0,136
2020-02-20,0,396,0,115
2020-02-21,0,892,0,118
2020-02-22,0,825,0,109
2020-02-23,0,649,0,97
2020-02-24,0,221,0,150
2020-02-25,0,517,0,71
2020-02-26,0,411,0,52
2020-02-27,0,440,0,29
2020-02-28,0,329,0,44
2020-02-29,0,430,0,47
2020-03-01,0,579,0,35
2020-03-02,0,206,0,42
2020-03-03,0,128,0,31
2020-03-04,0,120,0,38
2020-03-05,0,143,0,31
2020-03-06,0,146,0,30
2020-03-07,0,102,0,28
2020-03-08,0,46,0,27
2020-03-09,0,45,0,23
2020-03-10,0,20,0,17
2020-03-11,0,31,0,22
2020-03-12,0,26,0,11
2020-03-13,0,10,0,7
2020-03-14,0,30,0,14
2020-03-15,0,27,0,10
2020-03-16,0,29,0,14
2020-03-17,0,39,0,13
2020-03-18,0,58,0,11
2020-03-19,0,99,0,8
2020-03-20,0,139,0,11
2020-03-21,0,82,0,6
2020-03-22,0,1,0,0
2020-03-23,0,104,0,9
2020-03-24,0,164,0,7
2020-03-25,0,102,0,4
2020-03-26,0,92,0,6
2020-03-27,0,132,0,5
2020-03-28,0,120,0,3
2020-03-29,0,128,0,5
2020-03-30,0,114,0,4
2020-03-31,0,90,0,4
2020-04-01,0,93,0,7
2020-04-02,0,86,0,6
2020-04-03,0,78,0,4
2020-04-04,0,73,0,4
2020-04-05,0,55,0,3
2020-04-06,0,75,0,2
2020-04-07,0,66,0,0
2020-04-08,0,90,0,2
2020-04-09,0,88,0,2
2020-04-10,0,56,0,1
2020-04-11,0,78,0,4
2020-04-12,0,102,0,0
2020-04-13,0,112,0,2
2020-04-14,0,99,0,0
2020-04-15,0,51,0,1
2020-04-16,0,50,0,0
2020-04-17,0,352,0,1290
2020-04-18,0,31,0,0
2020-04-19,0,43,0,0
2020-04-20,0,16,0,0
2020-04-21,0,14,0,0
2020-04-22,0,35,0,0
2020-04-23,0,15,0,0
2020-04-24,0,9,0,0
2020-04-25,0,12,0,0
2020-04-26,0,14,0,0
2020-04-27,0,3,0,1
2020-04-28,0,6,0,0
2020-04-29,0,22,0,0
2020-04-30,0,4,0,0
2020-05-01,0,12,0,0
2020-05-02,0,6,0,0
2020-05-03,0,2,0,0
2020-05-04,0,8,0,0
2020-05-05,0,3,0,0
2020-05-06,0,2,0,0
2020-05-07,0,3,0,0
2020-05-08,0,6,0,0
2020-05-09,0,1,0,0
2020-05-10,0,14,0,0
2020-05-11,0,20,0,0
2020-05-12,0,1,0,1
2020-05-13,0,7,0,0
2020-05-14,0,6,0,0
2020-05-15,0,5,0,0
2020-05-16,0,9,0,0
2020-05-17,0,6,0,1
2020-05-18,0,10,0,0
2020-05-19,0,6,0,0
2020-05-20,0,5,0,0
2020-05-21,0,2,0,0
2020-05-22,0,13,0,0
2020-05-23,0,2,0,0
2020-05-24,0,3,0,0
2020-05-25,0,11,0,0
2020-05-26,0,7,0,0
2020-05-27,0,1,0,0
2020-05-28,0,3,0,0
2020-05-29,0,0,0,0
2020-05-30,0,18,0,0
2020-05-31,0,5,0,0
2020-06-01,0,18,0,0
2020-06-02,0,9,0,0
2020-06-03,0,5,0,0
2020-06-04,0,1,0,0
2020-06-05,0,11,0,0
2020-06-06,0,6,0,0
2020-06-07,0,9,0,0
