date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,636,0,0,0
2020-03-06,103,1,0,0
2020-03-07,71,0,0,0
2020-03-08,3,0,0,0
2020-03-09,38,2,0,0
2020-03-10,76,0,0,0
2020-03-11,206,6,0,0
2020-03-12,260,5,0,0
2020-03-13,361,5,1,0
2020-03-14,589,18,1,0
2020-03-15,833,16,1,0
2020-03-16,431,14,0,1
2020-03-17,324,25,1,0
2020-03-18,759,12,0,0
2020-03-19,673,26,1,0
2020-03-20,403,48,1,0
2020-03-21,298,34,3,0
2020-03-22,846,29,3,1
2020-03-23,375,74,8,1
2020-03-24,766,105,11,1
2020-03-25,746,61,12,4
2020-03-26,431,10,16,2
2020-03-27,258,49,18,3
2020-03-28,1365,69,33,5
2020-03-29,1474,94,29,1
2020-03-30,1491,96,35,5
2020-03-31,4047,107,27,5
2020-04-01,2390,161,33,4
2020-04-02,1159,97,33,7
2020-04-03,1340,106,36,14
2020-04-04,1104,139,39,15
2020-04-05,1691,79,19,8
2020-04-06,2421,98,24,12
2020-04-07,2760,132,27,9
2020-04-08,3130,347,42,5
2020-04-09,1335,173,43,13
2020-04-10,2683,250,48,5
2020-04-11,2742,235,55,9
2020-04-12,1162,68,95,12
2020-04-13,1256,75,96,7
2020-04-14,2315,123,79,11
2020-04-15,3205,126,97,12
2020-04-16,3457,127,77,16
2020-04-17,3488,204,51,5
2020-04-18,3429,184,56,13
2020-04-19,3744,175,73,9
2020-04-20,2423,182,82,10
2020-04-21,3259,174,84,10
2020-04-22,3051,194,88,9
2020-04-23,3457,196,104,10
2020-04-24,3121,305,86,15
2020-04-25,3068,262,103,11
2020-04-26,6053,238,94,18
2020-04-27,3793,217,89,11
2020-04-28,4186,354,110,13
2020-04-29,5068,260,129,21
2020-04-30,4504,309,61,26
2020-05-01,4293,482,113,13
2020-05-02,5652,281,133,21
2020-05-03,4199,421,99,19
2020-05-04,4228,307,149,21
2020-05-05,4076,641,295,20
2020-05-06,4005,349,222,24
2020-05-07,4242,500,158,27
2020-05-08,4387,595,158,21
2020-05-09,5173,445,203,19
2020-05-10,6484,574,162,19
2020-05-11,7537,553,248,32
2020-05-12,6805,666,138,13
2020-05-13,6061,652,231,14
2020-05-14,5251,680,138,21
2020-05-15,6062,603,209,25
2020-05-16,7002,726,218,20
2020-05-17,6303,643,154,25
2020-05-18,5391,720,203,28
2020-05-19,6238,646,200,31
2020-05-20,6490,778,263,31
2020-05-21,7674,649,286,28
2020-05-22,13738,820,274,42
2020-05-23,7171,1023,221,42
2020-05-24,9623,1010,309,41
2020-05-25,8070,805,279,28
2020-05-26,10306,1030,362,48
2020-05-27,12366,1107,348,35
2020-05-28,12130,1254,370,41
2020-05-29,10797,1338,365,49
2020-05-30,13368,1561,242,52
2020-05-31,12038,1146,1743,47
2020-06-01,9325,1145,385,52
2020-06-02,9071,1291,1355,58
2020-06-03,12219,1519,1026,81
