date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,0,0,0
2020-03-08,0,4,0,0
2020-03-09,0,4,0,0
2020-03-10,0,0,0,0
2020-03-11,68,4,0,0
2020-03-12,89,9,0,0
2020-03-13,86,1,0,0
2020-03-14,127,3,0,0
2020-03-15,115,1,0,0
2020-03-16,171,8,0,0
2020-03-17,114,6,0,0
2020-03-18,154,9,0,0
2020-03-19,116,19,0,1
2020-03-20,119,20,0,0
2020-03-21,148,28,2,1
2020-03-22,227,17,0,0
2020-03-23,157,24,0,0
2020-03-24,165,19,0,0
2020-03-25,89,24,0,0
2020-03-26,677,30,0,0
2020-03-27,487,32,1,0
2020-03-28,158,32,0,0
2020-03-29,222,19,0,0
2020-03-30,263,16,1,0
2020-03-31,153,17,0,0
2020-04-01,373,28,0,0
2020-04-02,132,21,2,0
2020-04-03,110,20,5,0
2020-04-04,194,19,2,0
2020-04-05,444,19,3,0
2020-04-06,265,13,2,0
2020-04-07,162,16,6,0
2020-04-08,510,19,5,1
2020-04-09,263,37,1,0
2020-04-10,154,19,12,0
2020-04-11,156,19,7,0
2020-04-12,154,18,7,0
2020-04-13,106,17,6,0
2020-04-14,76,6,4,0
2020-04-15,193,8,1,1
2020-04-16,214,16,7,0
2020-04-17,172,7,14,0
2020-04-18,227,6,9,0
2020-04-19,52,5,15,1
2020-04-20,96,2,12,1
2020-04-21,266,7,26,0
2020-04-22,301,12,30,0
2020-04-23,253,5,16,0
2020-04-24,102,1,20,0
2020-04-25,87,6,26,0
2020-04-26,37,2,22,0
2020-04-27,58,2,23,0
2020-04-28,59,8,19,0
2020-04-29,237,8,17,0
2020-04-30,109,6,15,0
2020-05-01,167,6,17,0
2020-05-02,91,8,17,0
2020-05-03,120,6,14,0
2020-05-04,106,3,13,0
2020-05-05,73,13,14,0
2020-05-06,209,6,15,0
2020-05-07,274,4,17,0
2020-05-08,452,8,16,0
2020-05-09,449,7,19,0
2020-05-10,592,12,21,1
2020-05-11,120,9,16,0
2020-05-12,73,3,3,0
2020-05-13,446,11,7,1
2020-05-14,315,15,8,0
2020-05-15,209,13,7,1
2020-05-16,665,10,9,1
2020-05-17,576,10,14,0
2020-05-18,206,3,10,0
2020-05-19,138,16,2,0
2020-05-20,434,15,5,0
2020-05-21,168,6,10,0
2020-05-22,486,8,8,0
2020-05-23,235,7,7,0
2020-05-24,410,12,13,0
2020-05-25,157,21,8,0
2020-05-26,125,5,6,0
2020-05-27,649,28,5,0
2020-05-28,374,16,7,0
2020-05-29,540,22,7,0
2020-05-30,467,25,5,0
2020-05-31,515,9,11,0
2020-06-01,267,28,7,0
2020-06-02,264,21,6,0
2020-06-03,415,52,3,0
2020-06-04,376,37,2,0
2020-06-05,443,34,8,0
2020-06-06,334,35,6,0
2020-06-07,268,55,3,0
2020-06-08,161,24,8,1
2020-06-09,229,33,5,0
