date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,4,1,0
2020-03-18,0,1,0,0
2020-03-19,0,3,0,0
2020-03-20,0,0,0,0
2020-03-21,0,5,0,0
2020-03-22,0,0,0,0
2020-03-23,0,11,0,0
2020-03-24,0,48,1,0
2020-03-25,0,7,1,0
2020-03-26,0,16,0,0
2020-03-27,0,5,0,0
2020-03-28,0,0,0,0
2020-03-29,0,64,1,1
2020-03-30,0,3,2,0
2020-03-31,0,11,1,0
2020-04-01,0,11,2,0
2020-04-02,0,4,6,0
2020-04-03,0,24,4,0
2020-04-04,0,27,6,0
2020-04-05,0,16,12,2
2020-04-06,0,62,4,0
2020-04-07,0,26,0,0
2020-04-08,0,35,7,0
2020-04-09,0,60,4,0
2020-04-10,0,0,0,0
2020-04-11,0,89,6,1
2020-04-12,0,41,27,1
2020-04-13,3658,52,4,1
2020-04-14,129,12,25,0
2020-04-15,238,0,0,0
2020-04-16,298,16,32,0
2020-04-17,296,34,47,0
2020-04-18,361,113,46,2
2020-04-19,399,46,21,1
2020-04-20,351,0,0,0
2020-04-21,270,69,43,4
2020-04-22,342,36,7,1
2020-04-23,504,52,49,0
2020-04-24,584,73,60,0
2020-04-25,302,0,0,0
2020-04-26,560,73,49,0
2020-04-27,289,14,31,0
2020-04-28,179,19,26,0
2020-04-29,512,55,32,0
2020-04-30,385,37,17,0
2020-05-01,0,58,23,1
2020-05-02,851,29,25,0
2020-05-03,288,36,31,2
2020-05-04,482,34,40,0
2020-05-05,170,32,8,1
2020-05-06,497,52,20,0
2020-05-07,367,55,21,2
2020-05-08,456,31,12,0
2020-05-09,573,65,15,1
2020-05-10,322,33,25,0
2020-05-11,499,30,24,0
2020-05-12,506,127,2,0
2020-05-13,592,55,82,3
2020-05-14,680,59,28,0
2020-05-15,728,46,12,0
2020-05-16,845,44,45,1
2020-05-17,790,48,17,2
2020-05-18,305,10,36,1
2020-05-19,566,34,10,0
2020-05-20,840,78,33,1
2020-05-21,1055,70,17,0
2020-05-22,1164,40,46,0
2020-05-23,727,25,42,1
2020-05-24,484,10,31,0
2020-05-25,873,47,38,0
2020-05-26,782,54,29,0
2020-05-27,425,79,16,1
2020-05-28,497,85,24,1
2020-05-29,527,109,44,0
2020-05-30,357,49,15,1
2020-05-31,134,34,50,0
2020-06-01,611,118,32,0
2020-06-02,470,73,34,0
2020-06-03,402,86,29,2
2020-06-04,706,152,54,0
2020-06-05,628,169,20,1
2020-06-06,756,126,146,0
2020-06-07,937,182,68,0
2020-06-08,800,142,51,2
2020-06-09,515,114,176,0
