date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,1,0,0
2020-02-26,0,2,0,0
2020-02-27,0,0,0,0
2020-02-28,0,2,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,0,0,0
2020-03-03,247,2,0,0
2020-03-04,8,1,0,0
2020-03-05,18,0,0,0
2020-03-06,29,1,0,0
2020-03-07,15,1,0,0
2020-03-08,10,0,0,0
2020-03-09,17,0,0,0
2020-03-10,21,2,0,0
2020-03-11,0,5,0,0
2020-03-12,118,0,0,0
2020-03-13,70,13,1,0
2020-03-14,96,6,0,0
2020-03-15,96,11,0,0
2020-03-16,135,8,1,0
2020-03-17,229,8,2,0
2020-03-18,72,16,0,0
2020-03-19,83,24,1,1
2020-03-20,0,23,0,0
2020-03-21,0,78,0,0
2020-03-22,0,48,0,0
2020-03-23,0,61,0,0
2020-03-24,1895,67,0,0
2020-03-25,459,60,17,0
2020-03-26,590,53,0,2
2020-03-27,570,91,15,0
2020-03-28,437,71,8,2
2020-03-29,685,56,7,1
2020-03-30,504,77,15,0
2020-03-31,611,77,0,0
2020-04-01,665,96,6,0
2020-04-02,672,48,15,1
2020-04-03,898,68,4,1
2020-04-04,583,47,27,4
2020-04-05,1014,56,6,3
2020-04-06,617,40,5,1
2020-04-07,858,60,37,2
2020-04-08,803,61,12,1
2020-04-09,555,64,40,1
2020-04-10,932,88,12,1
2020-04-11,1079,39,92,0
2020-04-12,690,66,50,2
2020-04-13,1409,50,27,2
2020-04-14,569,54,15,6
2020-04-15,897,37,58,2
2020-04-16,902,50,56,2
2020-04-17,795,23,71,1
2020-04-18,694,18,15,3
2020-04-19,2539,39,94,8
2020-04-20,2424,10,62,0
2020-04-21,0,27,30,1
2020-04-22,1004,42,68,0
2020-04-23,1239,31,14,2
2020-04-24,1360,28,99,1
2020-04-25,700,7,52,3
2020-04-26,709,14,69,1
2020-04-27,1195,9,63,4
2020-04-28,760,8,66,4
2020-04-29,899,15,56,4
2020-04-30,2441,14,60,2
2020-05-01,0,9,73,6
2020-05-02,640,3,42,2
2020-05-03,527,8,26,2
2020-05-04,956,5,33,1
2020-05-05,933,11,38,3
2020-05-06,1080,7,41,2
2020-05-07,885,6,40,1
2020-05-08,1440,36,48,0
2020-05-09,840,15,37,1
2020-05-10,668,11,38,3
2020-05-11,1185,9,20,1
2020-05-12,1409,11,24,0
2020-05-13,1257,6,26,3
2020-05-14,1603,8,16,0
2020-05-15,1228,1,19,1
2020-05-16,857,2,44,0
2020-05-17,1452,2,23,0
2020-05-18,943,2,10,0
2020-05-19,980,4,21,1
2020-05-20,1221,2,11,0
2020-05-21,0,3,0,1
2020-05-22,2890,6,33,2
2020-05-23,953,0,12,0
2020-05-24,618,1,4,0
2020-05-25,940,0,8,1
2020-05-26,1260,0,11,1
2020-05-27,584,0,1,0
2020-05-28,828,1,4,1
2020-05-29,415,0,8,1
2020-05-30,635,1,4,0
2020-05-31,261,0,9,0
2020-06-01,290,0,5,0
2020-06-02,602,0,11,0
2020-06-03,517,0,7,0
2020-06-04,183,1,10,0
2020-06-05,270,0,8,0
2020-06-06,247,0,8,1
2020-06-07,226,0,5,0
