date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,3,0,0
2020-03-13,0,1,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,1,0,0
2020-03-18,0,2,0,1
2020-03-19,0,4,0,0
2020-03-20,0,5,0,0
2020-03-21,0,5,0,0
2020-03-22,518,14,0,0
2020-03-23,107,5,0,0
2020-03-24,113,8,1,0
2020-03-25,155,9,0,0
2020-03-26,146,10,0,1
2020-03-27,329,13,3,0
2020-03-28,297,39,0,1
2020-03-29,342,20,0,0
2020-03-30,315,31,0,1
2020-03-31,444,16,4,2
2020-04-01,576,26,4,0
2020-04-02,803,21,1,0
2020-04-03,1057,36,2,0
2020-04-04,1201,19,0,0
2020-04-05,764,32,0,2
2020-04-06,1056,30,3,1
2020-04-07,1187,46,9,2
2020-04-08,1315,61,0,1
2020-04-09,1298,58,1,3
2020-04-10,1139,49,23,0
2020-04-11,1895,56,26,1
2020-04-12,2076,49,15,2
2020-04-13,1634,57,29,3
2020-04-14,1684,40,11,0
2020-04-15,1386,48,19,3
2020-04-16,1480,48,20,3
2020-04-17,1895,61,21,4
2020-04-18,1770,63,35,1
2020-04-19,1616,49,28,2
2020-04-20,1818,52,30,2
2020-04-21,1860,50,24,2
2020-04-22,1967,52,32,2
2020-04-23,1891,46,24,3
2020-04-24,1857,50,51,6
2020-04-25,1837,52,21,2
2020-04-26,1823,32,64,3
2020-04-27,1857,20,24,2
2020-04-28,1836,48,50,2
2020-04-29,2003,30,42,0
2020-04-30,2062,34,64,3
2020-05-01,2097,36,33,3
2020-05-02,2039,74,51,2
2020-05-03,1997,38,62,1
2020-05-04,2169,19,49,2
2020-05-05,1937,17,78,0
2020-05-06,1965,18,47,0
2020-05-07,1947,26,30,4
2020-05-08,1949,12,47,1
2020-05-09,1826,13,62,0
2020-05-10,1847,12,53,3
2020-05-11,1975,17,36,0
2020-05-12,1972,21,48,1
2020-05-13,2013,6,49,1
2020-05-14,2232,20,57,0
2020-05-15,2460,10,42,0
2020-05-16,2083,22,35,0
2020-05-17,1951,10,35,0
2020-05-18,1688,9,10,0
2020-05-19,1732,6,33,0
2020-05-20,1743,13,35,0
2020-05-21,1880,8,30,1
2020-05-22,1718,8,28,1
2020-05-23,1431,15,40,0
2020-05-24,1451,10,18,1
2020-05-25,1492,6,15,0
2020-05-26,1378,16,5,0
2020-05-27,1364,11,15,0
2020-05-28,1363,9,10,0
2020-05-29,2015,22,26,0
2020-05-30,2151,20,35,1
2020-05-31,1763,20,14,0
2020-06-01,1352,38,17,0
2020-06-02,1960,9,1,0
2020-06-03,2100,15,3,0
2020-06-04,2015,12,9,0
2020-06-05,2004,14,9,0
