date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,13,0,0,0
2020-02-27,10,1,0,0
2020-02-28,13,0,0,0
2020-02-29,8,0,0,0
2020-03-01,18,0,0,0
2020-03-02,22,0,0,0
2020-03-03,29,1,0,0
2020-03-04,36,0,0,0
2020-03-05,35,1,0,0
2020-03-06,71,7,0,0
2020-03-07,29,0,0,0
2020-03-08,20,0,0,0
2020-03-09,64,0,0,0
2020-03-10,57,2,0,0
2020-03-11,65,4,0,0
2020-03-12,131,0,0,0
2020-03-13,183,63,0,0
2020-03-14,163,36,0,0
2020-03-15,495,56,1,0
2020-03-16,304,34,0,0
2020-03-17,191,20,0,0
2020-03-18,538,33,0,0
2020-03-19,351,9,0,0
2020-03-20,392,16,0,0
2020-03-21,637,23,0,0
2020-03-22,160,20,1,0
2020-03-23,495,26,0,0
2020-03-24,1403,17,5,0
2020-03-25,1047,35,1,1
2020-03-26,1139,134,0,0
2020-03-27,1253,37,3,0
2020-03-28,1035,70,9,0
2020-03-29,851,34,0,2
2020-03-30,1149,36,0,0
2020-03-31,1976,30,6,1
2020-04-01,1375,34,7,1
2020-04-02,2506,79,12,6
2020-04-03,1533,103,3,1
2020-04-04,1186,78,11,1
2020-04-05,859,58,3,2
2020-04-06,1679,11,0,4
2020-04-07,1272,41,7,2
2020-04-08,1605,36,3,3
2020-04-09,1466,22,11,0
2020-04-10,1570,51,10,0
2020-04-11,895,46,0,0
2020-04-12,409,5,5,1
2020-04-13,1508,23,4,3
2020-04-14,1706,41,13,3
2020-04-15,2049,27,2,4
2020-04-16,1572,34,16,1
2020-04-17,2010,25,12,2
2020-04-18,722,53,17,0
2020-04-19,599,16,2,2
2020-04-20,1289,7,1,0
2020-04-21,1420,17,4,3
2020-04-22,1545,7,15,1
2020-04-23,1099,33,8,1
2020-04-24,1050,13,14,1
2020-04-25,603,30,22,0
2020-04-26,469,8,5,3
2020-04-27,1108,4,0,1
2020-04-28,1670,13,7,0
2020-04-29,1560,6,-4,0
2020-04-30,1027,23,13,2
2020-05-01,694,5,4,0
2020-05-02,734,5,3,1
2020-05-03,576,1,3,2
2020-05-04,1648,3,0,0
2020-05-05,1538,8,2,0
2020-05-06,1538,2,3,0
2020-05-07,1276,7,9,1
2020-05-08,950,5,431,0
2020-05-09,649,8,43,4
2020-05-10,590,6,3,0
2020-05-11,1012,2,1,1
2020-05-12,1126,5,26,0
2020-05-13,1040,5,0,0
2020-05-14,965,7,132,1
2020-05-15,745,8,14,1
2020-05-16,677,4,11,0
2020-05-17,667,4,4,0
2020-05-18,1256,10,0,1
2020-05-19,1019,7,0,0
2020-05-20,1272,3,18,0
2020-05-21,876,6,532,0
2020-05-22,649,7,20,0
2020-05-23,527,14,18,0
2020-05-24,808,2,6,0
2020-05-25,1497,1,6,1
2020-05-26,1522,10,14,0
2020-05-27,1119,6,9,1
2020-05-28,994,11,13,0
2020-05-29,1033,8,36,1
2020-05-30,691,6,12,0
2020-05-31,711,4,2,1
2020-06-01,1023,1,1,0
2020-06-02,1258,0,7,0
2020-06-03,1022,10,18,1
2020-06-04,1116,10,13,0
2020-06-05,853,20,4,0
2020-06-06,648,21,8,0
