date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,1,1,0,0
2020-03-14,0,0,0,0
2020-03-15,117,0,0,0
2020-03-16,0,4,0,0
2020-03-17,1,0,0,0
2020-03-18,0,1,0,0
2020-03-19,223,0,0,0
2020-03-20,0,3,0,0
2020-03-21,0,0,0,0
2020-03-22,50,2,4,0
2020-03-23,0,0,0,0
2020-03-24,0,1,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,326,4,0,0
2020-03-28,0,0,-3,0
2020-03-29,92,5,0,0
2020-03-30,61,2,3,0
2020-03-31,142,3,-2,0
2020-04-01,68,3,0,0
2020-04-02,65,0,1,0
2020-04-03,74,6,0,0
2020-04-04,91,3,1,0
2020-04-05,532,5,0,2
2020-04-06,164,1,0,0
2020-04-07,264,8,0,0
2020-04-08,225,3,0,0
2020-04-09,294,1,0,0
2020-04-10,442,9,0,1
2020-04-11,345,4,6,0
2020-04-12,286,2,0,0
2020-04-13,247,3,4,0
2020-04-14,447,8,0,0
2020-04-15,431,3,1,0
2020-04-16,401,7,0,0
2020-04-17,842,4,0,0
2020-04-18,659,9,1,0
2020-04-19,667,3,0,0
2020-04-20,396,3,0,0
2020-04-21,745,3,0,0
2020-04-22,1073,2,5,0
2020-04-23,965,0,0,0
2020-04-24,933,1,4,0
2020-04-25,1019,5,4,0
2020-04-26,957,1,12,0
2020-04-27,943,1,9,0
2020-04-28,1080,2,0,0
2020-04-29,766,4,8,0
2020-04-30,1408,1,1,0
2020-05-01,912,2,7,0
2020-05-02,1103,0,3,0
2020-05-03,2473,2,6,0
2020-05-04,1758,5,0,0
2020-05-05,1047,5,16,1
2020-05-06,1382,17,2,0
2020-05-07,1928,29,0,0
2020-05-08,1861,3,2,0
2020-05-09,2383,16,2,1
2020-05-10,2171,29,2,0
2020-05-11,1764,11,6,0
2020-05-12,2424,11,1,0
2020-05-13,2650,2,2,0
2020-05-14,3580,9,0,0
2020-05-15,3707,15,4,0
2020-05-16,4044,19,1,0
2020-05-17,4225,11,0,0
2020-05-18,1775,35,3,0
2020-05-19,4271,13,4,0
2020-05-20,2460,24,2,0
2020-05-21,3747,10,1,0
2020-05-22,3657,34,5,0
2020-05-23,6798,61,23,0
2020-05-24,1048,88,1,0
2020-05-25,2844,73,7,0
2020-05-26,3410,46,8,1
2020-05-27,4352,30,14,0
2020-05-28,4950,100,10,1
2020-05-29,5015,137,6,1
2020-05-30,5034,95,11,0
2020-05-31,2836,109,1,3
2020-06-01,2926,85,8,1
2020-06-02,3932,87,14,2
2020-06-03,4120,142,15,3
2020-06-04,5141,150,4,1
2020-06-05,5798,169,12,1
2020-06-06,5500,129,19,1
