date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,3,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,2,0,0,0
2020-02-08,1,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,2,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,2,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,0
2020-03-05,5,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,11,0,0,0
2020-03-13,10,0,0,0
2020-03-14,9,0,0,0
2020-03-15,0,0,0,0
2020-03-16,8,0,0,0
2020-03-17,5,0,0,0
2020-03-18,12,0,0,0
2020-03-19,8,1,0,0
2020-03-20,23,0,0,0
2020-03-21,28,0,0,0
2020-03-22,0,1,0,0
2020-03-23,16,1,0,0
2020-03-24,33,1,0,0
2020-03-25,28,1,0,0
2020-03-26,39,0,0,0
2020-03-27,61,0,0,0
2020-03-28,23,0,0,0
2020-03-29,16,0,0,0
2020-03-30,10,0,0,0
2020-03-31,11,0,0,0
2020-04-01,17,0,0,0
2020-04-02,24,2,0,0
2020-04-03,0,0,0,0
2020-04-04,37,5,0,0
2020-04-05,44,0,0,0
2020-04-06,23,2,0,0
2020-04-07,25,1,0,0
2020-04-08,29,0,0,0
2020-04-09,25,0,0,0
2020-04-10,21,1,0,0
2020-04-11,9,0,0,0
2020-04-12,1,0,0,0
2020-04-13,27,0,0,0
2020-04-14,12,0,0,0
2020-04-15,0,0,0,0
2020-04-16,23,1,0,0
2020-04-17,21,0,0,0
2020-04-18,40,0,0,0
2020-04-19,38,0,0,0
2020-04-20,24,1,3,0
2020-04-21,22,0,0,0
2020-04-22,68,0,5,0
2020-04-23,54,0,0,0
2020-04-24,2,0,2,0
2020-04-25,60,0,0,0
2020-04-26,0,0,2,0
2020-04-27,47,0,0,0
2020-04-28,30,0,0,0
2020-04-29,33,0,0,0
2020-04-30,37,0,0,0
2020-05-01,41,0,0,0
2020-05-02,47,0,2,0
2020-05-03,78,0,0,0
2020-05-04,0,0,0,0
2020-05-05,39,0,0,0
2020-05-06,29,0,0,0
2020-05-07,43,0,0,0
2020-05-08,52,0,0,0
2020-05-09,43,0,0,0
2020-05-10,67,0,0,0
2020-05-11,0,0,0,0
2020-05-12,33,0,0,0
2020-05-13,67,0,0,0
2020-05-14,76,0,0,0
2020-05-15,87,0,1,0
2020-05-16,74,0,0,0
2020-05-17,0,0,0,0
2020-05-18,55,0,0,0
2020-05-19,78,0,0,0
2020-05-20,68,0,0,0
2020-05-21,56,0,0,0
2020-05-22,66,0,0,0
2020-05-23,104,0,0,0
2020-05-24,4,0,0,0
2020-05-25,64,0,0,0
2020-05-26,53,0,0,0
2020-05-27,111,0,0,0
2020-05-28,78,0,0,0
2020-05-29,150,0,0,0
2020-05-30,77,0,0,0
2020-05-31,61,0,0,0
2020-06-01,0,0,0,0
2020-06-02,80,0,0,0
2020-06-03,88,0,0,0
2020-06-04,66,0,3,0
2020-06-05,113,0,0,0
2020-06-06,92,0,0,0
2020-06-07,232,0,0,0
2020-06-08,97,0,0,0
2020-06-09,81,0,0,0
