date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,1,0,0
2020-01-30,73,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,1,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,1,0,0
2020-02-27,9,0,0,0
2020-02-28,358,0,0,0
2020-02-29,15,1,0,0
2020-03-01,16,3,0,0
2020-03-02,26,0,0,0
2020-03-03,51,0,0,0
2020-03-04,85,0,0,0
2020-03-05,80,6,0,0
2020-03-06,105,3,0,0
2020-03-07,20,0,0,0
2020-03-08,14,8,0,0
2020-03-09,122,7,0,0
2020-03-10,128,10,0,0
2020-03-11,163,19,0,0
2020-03-12,349,0,0,0
2020-03-13,409,96,0,0
2020-03-14,595,70,0,0
2020-03-15,644,19,9,0
2020-03-16,868,33,0,0
2020-03-17,1136,44,0,0
2020-03-18,1025,15,0,0
2020-03-19,775,64,0,0
2020-03-20,1286,50,0,0
2020-03-21,1603,73,0,1
2020-03-22,1048,103,0,0
2020-03-23,1316,74,0,0
2020-03-24,1582,92,0,0
2020-03-25,1848,88,0,2
2020-03-26,1837,78,0,2
2020-03-27,2004,83,0,2
2020-03-28,1205,126,0,2
2020-03-29,587,73,0,2
2020-03-30,1084,112,0,2
2020-03-31,1131,66,0,4
2020-04-01,1611,28,0,0
2020-04-02,2331,72,290,2
2020-04-03,1691,97,0,1
2020-04-04,3224,267,0,5
2020-04-05,1647,45,0,3
2020-04-06,1971,249,0,-1
2020-04-07,2167,132,0,7
2020-04-08,3295,179,0,6
2020-04-09,2549,118,0,2
2020-04-10,3287,164,0,6
2020-04-11,1318,136,0,1
2020-04-12,1589,69,0,7
2020-04-13,920,90,0,3
2020-04-14,1225,97,0,5
2020-04-15,2358,76,0,8
2020-04-16,3507,132,1400,3
2020-04-17,2710,120,0,7
2020-04-18,3692,192,0,8
2020-04-19,2362,102,0,4
2020-04-20,1844,85,300,4
2020-04-21,3620,146,0,43
2020-04-22,4202,115,0,8
2020-04-23,3664,155,0,23
2020-04-24,4055,111,500,5
2020-04-25,3141,80,0,9
2020-04-26,2485,101,0,4
2020-04-27,2440,119,0,3
2020-04-28,3788,45,300,6
2020-04-29,4450,166,0,7
2020-04-30,4179,89,200,5
2020-05-01,3375,56,0,7
2020-05-02,1483,125,0,2
2020-05-03,1649,78,0,10
2020-05-04,1761,73,500,10
2020-05-05,3771,85,0,6
2020-05-06,3808,161,0,6
2020-05-07,3832,100,0,3
2020-05-08,3322,65,500,5
2020-05-09,2810,142,0,5
2020-05-10,1819,82,0,2
2020-05-11,2208,22,0,4
2020-05-12,4055,19,300,4
2020-05-13,4011,51,0,9
2020-05-14,3897,91,0,3
2020-05-15,4353,83,700,6
2020-05-16,3450,58,0,4
2020-05-17,2312,61,0,1
2020-05-18,2360,33,0,2
2020-05-19,4946,19,0,1
2020-05-20,3696,44,-200,3
2020-05-21,2965,50,0,2
2020-05-22,2216,44,0,0
2020-05-23,2630,31,0,0
2020-05-24,1554,11,0,1
2020-05-25,1744,20,300,1
2020-05-26,3638,29,0,4
2020-05-27,2971,64,0,1
2020-05-28,2945,51,400,0
2020-05-29,2802,33,0,1
2020-05-30,1945,50,0,2
2020-05-31,1295,33,0,4
2020-06-01,1685,26,0,-2
2020-06-02,3882,2,0,2
2020-06-03,2860,24,0,1
