date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,2,0,0
2020-03-14,0,1,0,0
2020-03-15,0,3,0,0
2020-03-16,0,0,0,0
2020-03-17,143,1,0,0
2020-03-18,0,0,0,0
2020-03-19,0,4,0,0
2020-03-20,0,5,0,0
2020-03-21,0,3,0,1
2020-03-22,172,4,0,0
2020-03-23,206,4,0,1
2020-03-24,0,26,0,0
2020-03-25,0,40,0,2
2020-03-26,0,39,1,0
2020-03-27,0,5,1,0
2020-03-28,1998,4,0,1
2020-03-29,0,11,0,0
2020-03-30,0,0,0,0
2020-03-31,0,9,29,0
2020-04-01,0,34,0,0
2020-04-02,0,9,0,0
2020-04-03,0,1,0,0
2020-04-04,0,0,0,0
2020-04-05,0,9,0,0
2020-04-06,0,0,0,0
2020-04-07,0,73,0,0
2020-04-08,0,26,3,1
2020-04-09,12092,65,-31,0
2020-04-10,12735,0,1,0
2020-04-11,10608,30,0,2
2020-04-12,0,158,0,0
2020-04-13,0,0,0,0
2020-04-14,12765,70,13,0
2020-04-15,6281,0,0,0
2020-04-16,0,5,66,0
2020-04-17,0,0,0,0
2020-04-18,3916,193,16,1
2020-04-19,7675,208,0,0
2020-04-20,0,0,0,0
2020-04-21,0,0,0,0
2020-04-22,19597,112,0,0
2020-04-23,0,0,0,0
2020-04-24,0,125,35,1
2020-04-25,12434,0,0,0
2020-04-26,0,271,21,1
2020-04-27,5468,0,0,0
2020-04-28,7407,121,33,5
2020-04-29,0,0,0,0
2020-04-30,0,403,24,1
2020-05-01,3552,0,0,0
2020-05-02,12412,95,17,1
2020-05-03,0,0,0,0
2020-05-04,6441,550,65,0
2020-05-05,0,0,0,0
2020-05-06,0,372,0,0
2020-05-07,14046,0,9,0
2020-05-08,5253,921,20,0
2020-05-09,0,251,55,4
2020-05-10,5300,0,0,0
2020-05-11,1683,437,116,0
2020-05-12,3249,427,0,0
2020-05-13,3252,281,20,2
2020-05-14,3938,122,160,0
2020-05-15,1454,108,786,4
2020-05-16,0,97,294,1
2020-05-17,6490,0,0,0
2020-05-18,3776,0,0,0
2020-05-19,3586,361,19,2
2020-05-20,4265,173,125,0
2020-05-21,1511,0,0,0
2020-05-22,1058,217,53,0
2020-05-23,3412,131,27,0
2020-05-24,3955,66,20,1
2020-05-25,1253,125,72,0
2020-05-26,2507,309,247,2
2020-05-27,2438,186,95,0
2020-05-28,3294,0,0,0
2020-05-29,3334,313,9,0
2020-05-30,3469,152,119,1
2020-05-31,1400,302,407,1
2020-06-01,328,0,0,0
2020-06-02,2912,227,39,2
2020-06-03,3676,251,146,0
2020-06-04,2352,337,57,0
2020-06-05,4641,283,268,4
2020-06-06,1709,294,90,2
