date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,0,0,0
2020-03-16,0,1,0,1
2020-03-17,0,4,0,0
2020-03-18,0,0,0,0
2020-03-19,0,3,0,0
2020-03-20,0,3,0,0
2020-03-21,0,5,0,0
2020-03-22,0,2,0,0
2020-03-23,0,1,0,0
2020-03-24,0,1,0,0
2020-03-25,0,3,4,0
2020-03-26,0,1,0,0
2020-03-27,0,3,0,0
2020-03-28,0,6,6,0
2020-03-29,0,0,0,0
2020-03-30,0,2,0,0
2020-03-31,0,2,2,0
2020-04-01,0,1,0,0
2020-04-02,0,8,0,0
2020-04-03,0,3,0,0
2020-04-04,0,11,3,1
2020-04-05,0,0,0,0
2020-04-06,0,9,0,1
2020-04-07,0,7,2,0
2020-04-08,0,10,0,0
2020-04-09,0,8,0,0
2020-04-10,0,31,0,0
2020-04-11,0,11,2,0
2020-04-12,0,18,0,2
2020-04-13,0,1,0,0
2020-04-14,0,11,0,0
2020-04-15,0,13,0,0
2020-04-16,0,16,0,0
2020-04-17,0,18,2,2
2020-04-18,0,21,0,0
2020-04-19,0,22,0,0
2020-04-20,0,32,0,0
2020-04-21,0,5,3,0
2020-04-22,0,22,0,1
2020-04-23,0,68,6,3
2020-04-24,0,46,0,0
2020-04-25,0,43,15,2
2020-04-26,0,27,4,2
2020-04-27,0,30,0,0
2020-04-28,0,0,0,0
2020-04-29,0,27,13,1
2020-04-30,0,42,4,0
2020-05-01,0,45,6,0
2020-05-02,0,44,0,1
2020-05-03,0,15,0,0
2020-05-04,0,27,7,2
2020-05-05,0,33,0,0
2020-05-06,0,35,7,2
2020-05-07,0,34,4,2
2020-05-08,0,68,11,1
2020-05-09,0,67,3,0
2020-05-10,0,85,6,2
2020-05-11,0,62,1,0
2020-05-12,0,85,9,1
2020-05-13,0,143,1,2
2020-05-14,0,176,8,0
2020-05-15,0,125,6,1
2020-05-16,0,120,3,3
2020-05-17,0,0,0,0
2020-05-18,0,149,0,2
2020-05-19,0,221,17,8
2020-05-20,0,132,4,2
2020-05-21,0,247,63,3
2020-05-22,0,231,0,3
2020-05-23,0,311,22,4
2020-05-24,0,370,14,3
2020-05-25,0,336,16,1
2020-05-26,0,194,15,4
2020-05-27,0,191,204,5
2020-05-28,0,203,72,12
2020-05-29,0,259,83,10
2020-05-30,0,132,58,12
2020-05-31,0,348,29,6
2020-06-01,0,249,60,8
2020-06-02,0,250,29,7
2020-06-03,0,174,105,20
2020-06-04,0,394,50,15
2020-06-05,0,331,74,58
2020-06-06,0,307,80,14
2020-06-07,0,263,128,22
2020-06-08,0,447,62,15
2020-06-09,0,364,90,22
