date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,1,0,0
2020-03-22,0,0,0,0
2020-03-23,0,2,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,4,0,0
2020-03-28,0,0,0,0
2020-03-29,0,8,0,0
2020-03-30,0,6,0,0
2020-03-31,0,0,0,0
2020-04-01,0,8,0,0
2020-04-02,0,22,0,0
2020-04-03,0,21,2,0
2020-04-04,0,38,3,0
2020-04-05,0,10,0,0
2020-04-06,0,7,0,0
2020-04-07,0,16,0,0
2020-04-08,0,20,0,0
2020-04-09,0,30,6,0
2020-04-10,0,18,4,0
2020-04-11,0,38,2,0
2020-04-12,0,0,0,0
2020-04-13,0,69,0,0
2020-04-14,0,44,14,0
2020-04-15,0,41,0,1
2020-04-16,0,34,18,0
2020-04-17,0,39,10,2
2020-04-18,0,41,6,0
2020-04-19,0,61,22,2
2020-04-20,0,43,35,0
2020-04-21,0,66,5,1
2020-04-22,0,73,37,0
2020-04-23,0,101,6,0
2020-04-24,0,92,21,0
2020-04-25,0,42,17,1
2020-04-26,0,0,0,0
2020-04-27,0,167,38,0
2020-04-28,0,77,23,0
2020-04-29,0,111,44,0
2020-04-30,0,144,16,0
2020-05-01,0,42,13,0
2020-05-02,0,49,63,0
2020-05-03,0,0,0,0
2020-05-04,0,124,45,2
2020-05-05,0,101,48,1
2020-05-06,0,45,99,1
2020-05-07,0,71,32,0
2020-05-08,0,82,34,0
2020-05-09,0,33,35,0
2020-05-10,0,104,16,0
2020-05-11,0,0,0,0
2020-05-12,0,152,102,0
2020-05-13,0,76,40,3
2020-05-14,0,99,39,1
2020-05-15,0,0,0,0
2020-05-16,0,185,238,1
2020-05-17,0,0,0,0
2020-05-18,0,138,130,0
2020-05-19,0,67,262,2
2020-05-20,0,0,0,0
2020-05-21,0,204,50,0
2020-05-22,0,0,0,1
2020-05-23,0,109,56,1
2020-05-24,0,99,42,0
2020-05-25,0,0,0,0
2020-05-26,0,0,0,0
2020-05-27,0,0,0,0
2020-05-28,0,278,277,2
2020-05-29,0,103,50,0
2020-05-30,0,50,30,1
2020-05-31,0,0,0,0
2020-06-01,0,138,105,0
2020-06-02,0,42,132,0
2020-06-03,0,47,65,0
2020-06-04,0,58,180,0
2020-06-05,0,69,155,0
2020-06-06,0,57,190,0
2020-06-07,0,0,20,0
2020-06-08,0,99,41,0
2020-06-09,0,42,24,0
