date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,230,2,0,0
2020-03-05,0,0,0,0
2020-03-06,39,0,0,0
2020-03-07,50,2,0,0
2020-03-08,43,3,0,0
2020-03-09,0,2,0,0
2020-03-10,169,0,0,0
2020-03-11,78,4,0,0
2020-03-12,121,0,0,0
2020-03-13,128,6,0,0
2020-03-14,156,11,1,0
2020-03-15,222,2,0,1
2020-03-16,234,7,0,0
2020-03-17,117,11,1,0
2020-03-18,216,8,0,0
2020-03-19,519,15,0,0
2020-03-20,685,12,0,2
2020-03-21,470,18,5,1
2020-03-22,966,28,9,2
2020-03-23,1072,36,0,1
2020-03-24,598,20,5,2
2020-03-25,704,39,0,1
2020-03-26,1188,35,7,0
2020-03-27,1270,39,6,0
2020-03-28,1028,43,0,1
2020-03-29,1845,65,0,2
2020-03-30,1153,39,0,2
2020-03-31,845,45,3,1
2020-04-01,1062,33,3,4
2020-04-02,1193,60,2,1
2020-04-03,1368,38,1,5
2020-04-04,1655,55,15,6
2020-04-05,1826,55,8,2
2020-04-06,1032,11,1,4
2020-04-07,1464,73,4,9
2020-04-08,2002,78,23,11
2020-04-09,2078,85,2,8
2020-04-10,2122,210,16,11
2020-04-11,2013,120,3,8
2020-04-12,1571,100,3,14
2020-04-13,1287,48,2,10
2020-04-14,1006,54,2,13
2020-04-15,1501,67,70,12
2020-04-16,1163,73,7,8
2020-04-17,3101,111,8,14
2020-04-18,2311,71,24,16
2020-04-19,2452,82,19,17
2020-04-20,1704,68,17,10
2020-04-21,1995,114,20,14
2020-04-22,2650,70,8,12
2020-04-23,2688,116,95,14
2020-04-24,2861,159,68,23
2020-04-25,2550,0,0,0
2020-04-26,2704,57,27,10
2020-04-27,2120,83,13,8
2020-04-28,1547,66,18,11
2020-04-29,3128,78,20,9
2020-04-30,2651,48,45,12
2020-05-01,3380,88,28,11
2020-05-02,3220,79,16,12
2020-05-03,2459,56,4,5
2020-05-04,1948,37,1,11
2020-05-05,1599,30,79,12
2020-05-06,3178,46,50,10
2020-05-07,5301,39,42,10
2020-05-08,5022,28,64,9
2020-05-09,4200,35,39,13
2020-05-10,4999,50,29,8
2020-05-11,3908,21,25,8
2020-05-12,2554,29,49,4
2020-05-13,3781,28,95,5
2020-05-14,4758,39,67,6
2020-05-15,3979,37,118,6
2020-05-16,4192,56,84,6
2020-05-17,3708,36,25,3
2020-05-18,2106,26,4,11
2020-05-19,1454,21,12,5
2020-05-20,4032,42,42,3
2020-05-21,4782,43,55,3
2020-05-22,8290,37,78,3
2020-05-23,3459,35,68,6
2020-05-24,3665,28,35,4
2020-05-25,1694,15,21,5
2020-05-26,1644,15,125,8
2020-05-27,3697,22,20,6
2020-05-28,4051,23,140,4
2020-05-29,6141,25,28,8
2020-05-30,3410,26,118,7
2020-05-31,2418,9,5,2
2020-06-01,1985,16,9,1
2020-06-02,2004,29,4,5
2020-06-03,1603,10,30,2
2020-06-04,4322,23,15,5
