date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,23,0,0,0
2020-02-28,13,1,0,0
2020-02-29,32,0,0,0
2020-03-01,22,2,0,0
2020-03-02,48,3,0,0
2020-03-03,45,5,0,0
2020-03-04,81,15,0,0
2020-03-05,62,8,0,0
2020-03-06,57,9,0,0
2020-03-07,58,7,0,0
2020-03-08,37,0,0,0
2020-03-09,98,8,0,0
2020-03-10,169,11,1,0
2020-03-11,149,16,0,0
2020-03-12,253,18,0,0
2020-03-13,357,31,0,0
2020-03-14,323,22,0,0
2020-03-15,1075,15,7,5
2020-03-16,1707,9,0,-5
2020-03-17,1400,40,0,1
2020-03-18,1828,30,-3,0
2020-03-19,1311,80,0,0
2020-03-20,579,79,0,0
2020-03-21,350,64,17,0
2020-03-22,183,95,14,0
2020-03-23,459,20,0,0
2020-03-24,967,60,15,1
2020-03-25,888,89,5,0
2020-03-26,998,65,26,0
2020-03-27,1022,88,15,0
2020-03-28,849,73,17,0
2020-03-29,1000,57,21,0
2020-03-30,1420,66,22,0
2020-03-31,1612,49,41,0
2020-04-01,1414,85,27,0
2020-04-02,1265,99,59,2
2020-04-03,1445,45,25,0
2020-04-04,1754,53,87,0
2020-04-05,2486,69,32,0
2020-04-06,1112,76,32,2
2020-04-07,1955,24,99,0
2020-04-08,1676,30,74,0
2020-04-09,1502,32,55,0
2020-04-10,510,27,63,1
2020-04-11,618,14,90,1
2020-04-12,235,12,48,0
2020-04-13,851,10,44,0
2020-04-14,1047,9,56,0
2020-04-15,818,7,88,0
2020-04-16,1332,12,67,0
2020-04-17,1555,15,80,1
2020-04-18,1671,6,67,0
2020-04-19,381,11,0,0
2020-04-20,688,2,71,1
2020-04-21,637,5,55,0
2020-04-22,625,7,45,0
2020-04-23,193,4,47,0
2020-04-24,685,0,33,0
2020-04-25,381,1,28,0
2020-04-26,25,2,38,0
2020-04-27,688,0,16,0
2020-04-28,508,3,12,0
2020-04-29,840,2,20,0
2020-04-30,722,0,14,0
2020-05-01,867,1,19,0
2020-05-02,404,0,17,0
2020-05-03,71,1,11,0
2020-05-04,868,0,6,0
2020-05-05,318,0,10,0
2020-05-06,620,0,17,0
2020-05-07,462,2,5,0
2020-05-08,515,0,10,0
2020-05-09,935,0,8,0
2020-05-10,18,0,0,0
2020-05-11,578,0,0,0
2020-05-12,284,0,3,0
2020-05-13,551,1,4,0
2020-05-14,593,0,0,0
2020-05-15,523,0,2,0
2020-05-16,133,0,4,0
2020-05-17,7,0,0,0
2020-05-18,305,0,0,0
2020-05-19,441,0,3,0
2020-05-20,597,1,0,0
2020-05-21,70,0,1,0
2020-05-22,491,0,1,0
2020-05-23,58,1,0,0
2020-05-24,12,0,0,0
2020-05-25,231,0,0,0
2020-05-26,526,0,1,0
2020-05-27,528,1,0,0
2020-05-28,350,0,0,0
2020-05-29,534,0,2,0
2020-05-30,97,1,0,0
2020-05-31,16,0,0,0
2020-06-01,18,0,0,0
2020-06-02,199,0,0,0
2020-06-03,325,0,0,0
2020-06-04,550,0,0,0
2020-06-05,538,0,0,0
2020-06-06,27,0,0,0
2020-06-07,7,1,0,0
