date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,2,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,2,0,0
2020-03-07,0,0,0,0
2020-03-08,0,2,0,0
2020-03-09,0,13,0,0
2020-03-10,0,8,2,0
2020-03-11,0,7,0,1
2020-03-12,0,0,0,0
2020-03-13,0,35,0,3
2020-03-14,0,27,6,1
2020-03-15,0,21,0,0
2020-03-16,1230,17,0,0
2020-03-17,25,38,0,0
2020-03-18,0,55,3,14
2020-03-19,396,84,0,6
2020-03-20,247,58,4,7
2020-03-21,0,81,0,6
2020-03-22,511,64,14,10
2020-03-23,74,65,0,1
2020-03-24,380,107,1,6
2020-03-25,0,104,1,3
2020-03-26,0,103,4,20
2020-03-27,1626,153,11,9
2020-03-28,1286,109,13,15
2020-03-29,491,130,5,12
2020-03-30,268,129,11,8
2020-03-31,129,114,6,14
2020-04-01,114,149,22,21
2020-04-02,416,113,9,13
2020-04-03,428,196,22,11
2020-04-04,365,106,16,10
2020-04-05,0,181,14,7
2020-04-06,3474,218,28,11
2020-04-07,1973,247,12,12
2020-04-08,1138,218,18,19
2020-04-09,2277,337,30,40
2020-04-10,2604,219,30,26
2020-04-11,330,330,4,21
2020-04-12,7293,399,73,46
2020-04-13,316,316,21,26
2020-04-14,4237,282,46,60
2020-04-15,1373,297,20,10
2020-04-16,1974,380,102,27
2020-04-17,2159,407,59,24
2020-04-18,2288,325,24,15
2020-04-19,2797,327,55,47
2020-04-20,1530,185,61,8
2020-04-21,2424,375,95,26
2020-04-22,1188,283,71,19
2020-04-23,1286,357,47,12
2020-04-24,1916,436,42,42
2020-04-25,1978,396,40,31
2020-04-26,4433,275,65,23
2020-04-27,2435,214,44,22
2020-04-28,3135,415,103,8
2020-04-29,5240,260,137,11
2020-04-30,4567,347,131,8
2020-05-01,4187,433,69,8
2020-05-02,3330,292,74,31
2020-05-03,3144,349,211,14
2020-05-04,3049,395,78,19
2020-05-05,2863,484,243,8
2020-05-06,4052,367,120,23
2020-05-07,3741,338,64,35
2020-05-08,6644,336,113,13
2020-05-09,5338,533,113,16
2020-05-10,4753,387,91,14
2020-05-11,2906,233,183,18
2020-05-12,3370,484,182,16
2020-05-13,3844,689,224,21
2020-05-14,4241,568,231,15
2020-05-15,4247,490,285,33
2020-05-16,3666,529,108,13
2020-05-17,4753,489,218,59
2020-05-18,2556,496,195,43
2020-05-19,4764,486,143,30
2020-05-20,6340,693,108,21
2020-05-21,0,973,263,36
2020-05-22,14830,634,219,48
2020-05-23,7066,949,192,25
2020-05-24,3829,526,153,21
2020-05-25,3328,479,240,19
2020-05-26,5110,415,235,27
2020-05-27,7216,686,180,55
2020-05-28,5793,687,183,23
2020-05-29,3939,678,252,24
2020-05-30,11519,557,523,53
2020-05-31,6855,700,293,40
2020-06-01,8489,467,329,28
2020-06-02,5834,609,298,22
2020-06-03,8486,684,471,35
2020-06-04,5303,585,486,23
2020-06-05,5074,703,551,49
