date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,0,0,0
2020-02-26,0,4,0,0
2020-02-27,0,2,0,0
2020-02-28,0,0,0,0
2020-02-29,0,6,0,0
2020-03-01,0,6,0,0
2020-03-02,0,7,0,0
2020-03-03,0,6,0,0
2020-03-04,0,3,0,2
2020-03-05,0,0,0,0
2020-03-06,0,5,0,1
2020-03-07,0,14,0,1
2020-03-08,0,6,0,2
2020-03-09,0,0,3,0
2020-03-10,0,11,0,1
2020-03-11,0,0,12,0
2020-03-12,0,0,0,1
2020-03-13,0,30,9,1
2020-03-14,0,9,2,1
2020-03-15,0,6,0,0
2020-03-16,0,8,0,0
2020-03-17,0,30,6,1
2020-03-18,0,10,11,1
2020-03-19,0,28,0,1
2020-03-20,0,16,6,4
2020-03-21,0,6,2,0
2020-03-22,0,19,6,3
2020-03-23,0,33,0,3
2020-03-24,0,50,18,4
2020-03-25,0,30,28,2
2020-03-26,0,36,2,7
2020-03-27,0,76,17,4
2020-03-28,0,48,9,2
2020-03-29,0,41,12,0
2020-03-30,0,83,9,4
2020-03-31,0,64,18,4
2020-04-01,0,34,12,2
2020-04-02,0,44,20,2
2020-04-03,0,48,24,0
2020-04-04,0,58,33,2
2020-04-05,0,83,20,5
2020-04-06,0,70,65,3
2020-04-07,26331,91,29,1
2020-04-08,2083,80,79,4
2020-04-09,2052,30,44,0
2020-04-10,1692,47,54,1
2020-04-11,1731,39,51,2
2020-04-12,1526,34,39,4
2020-04-13,2376,26,77,2
2020-04-14,7646,22,49,0
2020-04-15,698,15,46,1
2020-04-16,3125,19,44,1
2020-04-17,2477,48,50,1
2020-04-18,2218,31,47,1
2020-04-19,2192,26,56,0
2020-04-20,2908,35,34,0
2020-04-21,1782,28,53,1
2020-04-22,2043,29,50,0
2020-04-23,2002,46,25,0
2020-04-24,2411,31,33,3
2020-04-25,931,55,20,0
2020-04-26,3247,57,39,1
2020-04-27,2311,27,23,1
2020-04-28,4648,81,33,2
2020-04-29,8278,75,27,2
2020-04-30,5353,82,29,1
2020-05-01,3338,68,39,1
2020-05-02,2854,66,59,1
2020-05-03,0,77,17,2
2020-05-04,9333,50,54,1
2020-05-05,5898,85,27,4
2020-05-06,4242,49,31,0
2020-05-07,2878,63,24,0
2020-05-08,2337,60,35,2
2020-05-09,1979,76,41,3
2020-05-10,2233,88,32,2
2020-05-11,2548,51,56,1
2020-05-12,2756,95,113,2
2020-05-13,4183,119,63,3
2020-05-14,3933,111,62,0
2020-05-15,2921,50,61,2
2020-05-16,3100,67,37,4
2020-05-17,3107,144,92,2
2020-05-18,3520,150,92,4
2020-05-19,4441,57,56,4
2020-05-20,5947,113,72,3
2020-05-21,0,153,45,6
2020-05-22,0,87,49,7
2020-05-23,0,308,53,5
2020-05-24,0,197,153,8
2020-05-25,0,163,73,3
2020-05-26,0,216,41,6
2020-05-27,0,287,52,6
2020-05-28,0,322,67,4
2020-05-29,0,416,73,6
2020-05-30,0,306,66,10
2020-05-31,64147,260,46,10
2020-06-01,10495,429,119,10
2020-06-02,13463,519,233,20
2020-06-03,8585,781,587,21
2020-06-04,11960,672,243,15
2020-06-05,9642,1006,235,14
2020-06-06,12543,1252,331,33
