date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,106,0,0,0
2020-01-27,1,0,0,0
2020-01-28,0,0,0,0
2020-01-29,3,0,0,0
2020-01-30,4,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,7,0,0,0
2020-02-03,7,0,0,0
2020-02-04,6,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,40,0,0,0
2020-02-10,28,0,0,0
2020-02-11,50,0,0,0
2020-02-12,35,0,0,0
2020-02-13,35,0,0,0
2020-02-14,30,0,0,0
2020-02-15,3,0,0,0
2020-02-16,23,0,0,0
2020-02-17,41,0,0,0
2020-02-18,46,0,0,0
2020-02-19,34,0,0,0
2020-02-20,29,0,0,0
2020-02-21,28,1,0,0
2020-02-22,13,0,0,0
2020-02-23,56,0,0,0
2020-02-24,75,0,0,0
2020-02-25,108,0,0,0
2020-02-26,108,1,0,0
2020-02-27,171,1,1,0
2020-02-28,118,1,0,0
2020-02-29,158,3,0,0
2020-03-01,187,3,0,0
2020-03-02,171,0,0,0
2020-03-03,235,2,0,0
2020-03-04,129,3,0,0
2020-03-05,173,5,0,0
2020-03-06,274,17,1,0
2020-03-07,336,6,0,0
2020-03-08,421,18,0,0
2020-03-09,518,0,0,0
2020-03-10,520,14,2,0
2020-03-11,401,4,0,0
2020-03-12,607,21,0,0
2020-03-13,694,26,0,0
2020-03-14,614,29,0,0
2020-03-15,1183,58,0,0
2020-03-16,1345,5,0,0
2020-03-17,1647,32,7,0
2020-03-18,2106,54,0,0
2020-03-19,2076,123,0,0
2020-03-20,2317,102,3,0
2020-03-21,2108,183,22,1
2020-03-22,3350,171,1,0
2020-03-23,3626,188,0,0
2020-03-24,4789,167,16,2
2020-03-25,5936,1131,5,2
2020-03-26,6504,324,10,3
2020-03-27,5750,342,11,4
2020-03-28,5739,584,10,0
2020-03-29,7575,628,43,3
2020-03-30,7100,448,29,1
2020-03-31,7989,663,63,4
2020-04-01,9008,734,17,6
2020-04-02,10225,765,97,10
2020-04-03,10328,571,65,4
2020-04-04,6354,423,24,4
2020-04-05,9394,579,50,5
2020-04-06,7498,474,108,8
2020-04-07,6967,344,185,8
2020-04-08,5878,156,31,8
2020-04-09,5747,564,210,13
2020-04-10,7346,440,172,9
2020-04-11,6702,335,158,6
2020-04-12,10598,402,286,2
2020-04-13,10949,441,228,13
2020-04-14,12678,460,340,7
2020-04-15,9450,455,368,7
2020-04-16,12789,257,255,12
2020-04-17,11595,224,308,9
2020-04-18,10606,283,330,13
2020-04-19,11479,226,298,8
2020-04-20,15367,222,295,5
2020-04-21,13612,229,458,7
2020-04-22,13293,556,708,5
2020-04-23,14183,305,396,3
2020-04-24,12626,255,392,2
2020-04-25,9077,240,432,5
2020-04-26,8463,145,296,2
2020-04-27,11405,112,469,3
2020-04-28,10640,173,546,6
2020-04-29,8996,106,487,5
2020-04-30,9930,112,328,7
2020-05-01,11052,155,595,3
2020-05-02,5568,84,437,4
2020-05-03,8029,23,156,3
2020-05-04,9257,38,315,3
2020-05-05,8957,43,401,3
2020-05-06,9467,21,172,1
2020-05-07,10119,71,236,1
2020-05-08,8157,55,356,5
2020-05-09,3868,18,147,2
2020-05-10,4944,23,54,5
2020-05-11,9216,29,413,6
2020-05-12,7538,23,240,2
2020-05-13,8272,19,149,4
2020-05-14,8416,31,289,1
2020-05-15,5696,10,66,1
2020-05-16,1502,19,268,2
2020-05-17,4633,9,87,4
2020-05-18,7692,26,311,4
2020-05-19,7142,16,182,2
2020-05-20,5968,8,69,1
2020-05-21,6164,16,220,0
2020-05-22,4995,7,191,0
2020-05-23,718,22,175,0
2020-05-24,3808,5,63,0
2020-05-25,5333,17,154,2
2020-05-26,6819,23,150,0
2020-05-27,6728,36,113,0
2020-05-28,5352,79,109,3
2020-05-29,1863,115,97,0
2020-05-30,1059,25,35,0
2020-05-31,5640,59,1,1
2020-06-01,8155,98,66,0
2020-06-02,11757,116,62,5
2020-06-03,13209,92,43,1
