date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,4324,229,1,7
2020-02-25,4299,93,0,3
2020-02-26,964,78,2,2
2020-02-27,2427,250,42,5
2020-02-28,3681,238,1,4
2020-02-29,2966,240,4,8
2020-03-01,2466,566,33,5
2020-03-02,2218,342,66,18
2020-03-03,2511,466,11,27
2020-03-04,3981,587,116,28
2020-03-05,2525,769,138,41
2020-03-06,3997,778,109,49
2020-03-07,5703,1247,66,36
2020-03-08,7875,1492,33,133
2020-03-09,3889,1797,102,97
2020-03-10,6935,977,280,168
2020-03-11,12393,2313,41,196
2020-03-12,12857,2651,213,189
2020-03-13,11477,2547,181,250
2020-03-14,11682,3497,527,175
2020-03-15,15729,3590,369,368
2020-03-16,13063,3233,414,349
2020-03-17,10695,3526,192,345
2020-03-18,16884,4207,1084,475
2020-03-19,17236,5322,415,427
2020-03-20,24109,5986,689,627
2020-03-21,26336,6557,943,793
2020-03-22,25180,5560,952,651
2020-03-23,17066,4789,408,601
2020-03-24,21496,5249,894,743
2020-03-25,27481,5210,1036,683
2020-03-26,36615,6153,999,662
2020-03-27,33019,5959,589,969
2020-03-28,35447,5974,1434,889
2020-03-29,24504,5217,646,756
2020-03-30,23329,4050,1590,812
2020-03-31,29609,4053,1109,837
2020-04-01,34455,4782,1118,727
2020-04-02,39809,4668,1431,760
2020-04-03,38617,4585,1480,766
2020-04-04,37375,4805,1238,681
2020-04-05,34237,4316,819,525
2020-04-06,30271,3599,1022,636
2020-04-07,33713,3039,1555,604
2020-04-08,51680,3836,2099,542
2020-04-09,46244,4204,1979,610
2020-04-10,53495,3951,1985,570
2020-04-11,56609,4694,2079,619
2020-04-12,46720,4092,1677,431
2020-04-13,36717,3153,1224,566
2020-04-14,26779,2972,1695,602
2020-04-15,43715,2667,962,578
2020-04-16,60999,3786,2072,525
2020-04-17,65705,3493,2563,575
2020-04-18,61725,3491,2200,482
2020-04-19,50708,3047,2128,433
2020-04-20,41483,2256,1822,454
2020-04-21,52126,2729,2723,534
2020-04-22,63101,3370,2943,437
2020-04-23,66658,2646,3033,464
2020-04-24,62447,3021,2922,420
2020-04-25,65387,2357,2622,415
2020-04-26,49916,2324,1808,260
2020-04-27,32003,1739,1696,333
2020-04-28,57272,2091,2317,382
2020-04-29,63827,2086,2311,323
2020-04-30,68456,1872,4693,285
2020-05-01,74208,1965,2304,269
2020-05-02,55412,1900,1665,474
2020-05-03,44935,1389,1740,174
2020-05-04,37631,1221,1225,195
2020-05-05,55263,1075,2352,236
2020-05-06,64263,1444,8014,369
2020-05-07,70359,1401,3031,274
2020-05-08,63775,1327,2747,243
2020-05-09,69171,1083,4008,194
2020-05-10,51678,802,2155,165
2020-05-11,40740,744,1401,179
2020-05-12,67003,1402,2452,172
2020-05-13,61973,888,3502,195
2020-05-14,71876,992,2747,262
2020-05-15,68176,789,4917,242
2020-05-16,69179,875,2605,153
2020-05-17,60101,675,2366,145
2020-05-18,36406,451,2150,99
2020-05-19,63158,813,2075,162
2020-05-20,67195,665,2881,161
2020-05-21,71679,642,2278,156
2020-05-22,75380,652,2160,130
2020-05-23,72410,669,2120,119
2020-05-24,55824,531,1639,50
2020-05-25,35241,300,1502,92
2020-05-26,57674,397,2677,78
