date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,698,25,4,0
2020-02-07,19,0,0,0
2020-02-08,0,0,-4,0
2020-02-09,0,0,0,0
2020-02-10,221,1,9,0
2020-02-11,-174,0,-9,0
2020-02-12,190,2,10,0
2020-02-13,10,1,1,0
2020-02-14,14,4,1,1
2020-02-15,-214,0,0,0
2020-02-16,0,0,0,0
2020-02-17,487,26,6,0
2020-02-18,36,7,0,0
2020-02-19,9,7,2,0
2020-02-20,136,11,2,0
2020-02-21,90,9,1,0
2020-02-22,85,12,1,0
2020-02-23,96,24,0,0
2020-02-24,39,12,2,0
2020-02-25,104,14,1,0
2020-02-26,44,9,5,0
2020-02-27,168,22,8,2
2020-02-28,151,24,1,1
2020-02-29,130,20,1,1
2020-03-01,178,9,0,0
2020-03-02,96,15,1,1
2020-03-03,71,14,3,0
2020-03-04,3835,16,2,0
2020-03-05,258,33,1,0
2020-03-06,699,31,20,0
2020-03-07,553,59,7,0
2020-03-08,147,47,4,0
2020-03-09,110,33,21,1
2020-03-10,1314,26,1,2
2020-03-11,424,54,16,3
2020-03-12,181,52,5,3
2020-03-13,1855,55,12,4
2020-03-14,859,40,9,2
2020-03-15,107,63,13,1
2020-03-16,42,32,7,2
2020-03-17,2083,15,7,4
2020-03-18,203,44,20,1
2020-03-19,-453,39,24,2
2020-03-20,3943,36,12,2
2020-03-21,119,53,5,2
2020-03-22,1265,50,40,1
2020-03-23,112,43,13,5
2020-03-24,4090,39,16,1
2020-03-25,-909,65,9,1
2020-03-26,1650,98,49,2
2020-03-27,1834,96,13,1
2020-03-28,1459,112,32,3
2020-03-29,296,194,20,3
2020-03-30,206,173,0,2
2020-03-31,3531,87,0,2
2020-04-01,2011,225,48,1
2020-04-02,2,203,33,3
2020-04-03,4936,236,9,3
2020-04-04,3436,318,61,6
2020-04-05,1757,336,9,1
2020-04-06,1533,383,8,3
2020-04-07,9139,252,30,7
2020-04-08,6187,351,10,1
2020-04-09,2889,511,53,4
2020-04-10,4384,579,29,3
2020-04-11,6120,658,48,6
2020-04-12,2490,743,22,4
2020-04-13,1321,507,15,4
2020-04-14,10849,390,54,7
2020-04-15,4685,455,48,10
2020-04-16,6467,482,34,17
2020-04-17,5669,585,77,12
2020-04-18,4953,628,57,6
2020-04-19,1491,566,90,7
2020-04-20,3909,390,80,10
2020-04-21,7825,368,117,15
2020-04-22,6037,377,68,17
2020-04-23,5396,423,70,10
2020-04-24,5617,469,62,19
2020-04-25,5854,441,94,15
2020-04-26,1620,353,101,4
2020-04-27,1618,203,70,2
2020-04-28,9854,191,99,14
2020-04-29,3709,276,88,10
2020-04-30,1354,236,65,11
2020-05-01,8541,193,334,18
2020-05-02,7377,263,121,8
2020-05-03,1724,295,115,13
2020-05-04,1335,218,91,28
2020-05-05,1757,174,50,14
2020-05-06,2584,123,310,15
2020-05-07,1103,109,195,6
2020-05-08,11983,84,421,13
2020-05-09,9984,319,4417,221
2020-05-10,2259,69,166,9
2020-05-11,3948,43,238,24
2020-05-12,5445,80,389,21
2020-05-13,18,53,948,18
2020-05-14,9477,99,470,17
2020-05-15,-2262,48,471,16
2020-05-16,9486,56,344,19
2020-05-17,4084,23,262,8
2020-05-18,5699,31,149,12
2020-05-19,5524,27,319,5
2020-05-20,2602,38,402,11
2020-05-21,3295,38,385,15
2020-05-22,3930,23,333,15
2020-05-23,2975,25,239,11
2020-05-24,2724,41,169,15
2020-05-25,1487,21,198,12
2020-05-26,3482,29,198,11
2020-05-27,2472,35,162,7
2020-05-28,2651,59,174,14
2020-05-29,3470,74,107,6
2020-05-30,2991,43,152,5
2020-05-31,2682,33,53,3
2020-06-01,2133,37,43,2
2020-06-02,3814,51,148,3
2020-06-03,3894,30,120,4
