date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,126,4,0,0
2020-03-14,319,2,0,0
2020-03-15,207,3,0,0
2020-03-16,386,1,0,0
2020-03-17,932,23,0,0
2020-03-18,264,2,0,0
2020-03-19,1050,9,0,0
2020-03-20,816,5,0,3
2020-03-21,1175,4,0,-3
2020-03-22,1233,7,0,0
2020-03-23,1754,2,0,0
2020-03-24,1622,10,0,0
2020-03-25,1465,9,0,0
2020-03-26,2111,30,2,1
2020-03-27,1687,39,1,0
2020-03-28,1475,78,13,0
2020-03-29,2696,56,4,0
2020-03-30,1695,18,1,0
2020-03-31,9892,41,3,1
2020-04-01,1914,37,2,1
2020-04-02,2372,55,1,0
2020-04-03,7958,29,2,3
2020-04-04,2403,67,7,-1
2020-04-05,4970,53,6,1
2020-04-06,2359,78,4,0
2020-04-07,1886,35,5,0
2020-04-08,2008,30,3,1
2020-04-09,2596,54,6,1
2020-04-10,2584,31,4,2
2020-04-11,3901,53,17,0
2020-04-12,3448,86,18,0
2020-04-13,3802,140,39,2
2020-04-14,3798,141,65,2
2020-04-15,4455,63,37,2
2020-04-16,4376,107,37,1
2020-04-17,6564,144,70,0
2020-04-18,8579,69,30,0
2020-04-19,7954,61,23,0
2020-04-20,9117,176,47,2
2020-04-21,8778,143,42,0
2020-04-22,12480,140,26,0
2020-04-23,14285,154,45,1
2020-04-24,11013,193,44,5
2020-04-25,15997,119,42,0
2020-04-26,15796,116,36,0
2020-04-27,9262,118,38,0
2020-04-28,10716,192,54,0
2020-04-29,16139,111,45,0
2020-04-30,17112,264,47,0
2020-05-01,19007,195,56,0
2020-05-02,14328,260,63,0
2020-05-03,13274,63,99,2
2020-05-04,10725,129,89,2
2020-05-05,13550,156,106,0
2020-05-06,16069,217,129,1
2020-05-07,17363,156,110,0
2020-05-08,17283,256,113,1
2020-05-09,13978,141,145,0
2020-05-10,13307,115,165,0
2020-05-11,10302,117,133,1
2020-05-12,13298,72,149,0
2020-05-13,17484,138,185,0
2020-05-14,20241,154,123,0
2020-05-15,23500,118,176,2
2020-05-16,21980,161,273,0
2020-05-17,22224,307,276,0
2020-05-18,13268,594,213,1
2020-05-19,12354,0,129,0
2020-05-20,18485,218,136,0
2020-05-21,19955,265,109,0
2020-05-22,21495,685,253,0
2020-05-23,22715,0,118,0
2020-05-24,21502,612,138,0
2020-05-25,14560,438,163,0
2020-05-26,15493,0,98,2
2020-05-27,23085,335,155,0
2020-05-28,24921,272,132,0
2020-05-29,26454,356,157,0
2020-05-30,26562,450,163,1
2020-05-31,24592,476,184,2
2020-06-01,15496,450,183,1
2020-06-02,15249,263,354,3
2020-06-03,23660,496,299,4
2020-06-04,24815,0,366,4
