date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,16,1,0,0
2020-01-23,0,0,0,0
2020-01-24,9,1,0,0
2020-01-25,0,0,0,0
2020-01-26,23,1,0,0
2020-01-27,9,1,0,0
2020-01-28,130,0,0,0
2020-01-29,0,0,0,0
2020-01-30,57,0,0,0
2020-01-31,0,7,0,0
2020-02-01,127,1,0,0
2020-02-02,58,3,0,0
2020-02-03,0,0,0,0
2020-02-04,178,1,0,0
2020-02-05,107,3,0,0
2020-02-06,171,4,0,0
2020-02-07,245,1,1,0
2020-02-08,571,0,0,0
2020-02-09,639,1,2,0
2020-02-10,436,2,0,0
2020-02-11,853,1,0,0
2020-02-12,1445,0,4,0
2020-02-13,723,0,0,0
2020-02-14,1057,0,0,0
2020-02-15,665,0,2,0
2020-02-16,400,1,0,0
2020-02-17,252,1,1,0
2020-02-18,1094,1,2,0
2020-02-19,1146,0,0,0
2020-02-20,1750,73,4,1
2020-02-21,2655,100,0,1
2020-02-22,4805,229,0,0
2020-02-23,3012,169,2,4
2020-02-24,5982,231,0,2
2020-02-25,8101,144,4,2
2020-02-26,9411,284,0,2
2020-02-27,11863,505,0,1
2020-02-28,12950,571,0,0
2020-02-29,14753,813,5,3
2020-03-01,11292,586,3,1
2020-03-02,12606,599,0,11
2020-03-03,16260,851,0,0
2020-03-04,10856,435,11,7
2020-03-05,9834,467,0,0
2020-03-06,18199,505,94,7
2020-03-07,13449,448,0,2
2020-03-08,10329,273,-17,6
2020-03-09,8100,164,0,3
2020-03-10,13526,35,129,1
2020-03-11,12251,242,41,6
2020-03-12,0,114,45,6
2020-03-13,8312,110,177,0
2020-03-14,0,107,0,6
2020-03-15,0,76,0,3
2020-03-16,28826,74,627,0
2020-03-17,0,84,270,6
2020-03-18,0,93,133,3
2020-03-19,31587,152,0,7
2020-03-20,10019,87,0,3
2020-03-21,10666,147,0,8
2020-03-22,5435,162,1369,9
2020-03-23,7168,0,0,0
2020-03-24,8734,76,598,9
2020-03-25,10476,100,223,6
2020-03-26,6955,104,414,5
2020-03-27,11169,91,384,8
2020-03-28,9619,146,283,5
2020-03-29,0,105,222,8
2020-03-30,10302,78,195,6
2020-03-31,12009,125,180,4
2020-04-01,11290,101,159,3
2020-04-02,8896,89,261,4
2020-04-03,10507,86,193,5
2020-04-04,0,94,304,3
2020-04-05,17297,81,138,6
2020-04-06,5847,47,135,3
2020-04-07,9145,47,96,6
2020-04-08,11491,53,82,8
2020-04-09,11057,39,197,4
2020-04-10,8551,27,144,4
2020-04-11,8656,30,126,3
2020-04-12,4424,32,125,3
2020-04-13,4519,25,79,3
2020-04-14,7435,27,87,5
2020-04-15,6739,27,82,3
2020-04-16,4981,22,141,4
2020-04-17,7770,22,72,1
2020-04-18,0,18,108,2
2020-04-19,14589,8,105,2
2020-04-20,4188,13,72,2
2020-04-21,7239,9,99,1
2020-04-22,7545,11,64,1
2020-04-23,7994,14,224,2
2020-04-24,6088,10,134,0
2020-04-25,0,10,82,2
2020-04-26,0,10,47,1
2020-04-27,12845,14,90,1
2020-04-28,6546,9,68,2
2020-04-29,6579,4,137,1
2020-04-30,0,9,13,1
2020-05-01,8494,6,51,2
2020-05-02,4682,13,60,0
2020-05-03,3319,8,34,2
2020-05-04,3360,3,66,2
2020-05-05,5634,2,50,1
2020-05-06,3707,4,86,1
2020-05-07,5873,12,65,0
2020-05-08,5037,18,84,0
2020-05-09,4881,34,42,0
2020-05-10,0,35,22,0
2020-05-11,6693,27,38,2
2020-05-12,6990,26,25,1
2020-05-13,11781,29,67,1
2020-05-14,14421,27,59,0
2020-05-15,16110,19,30,2
2020-05-16,0,13,37,0
2020-05-17,23121,15,16,1
2020-05-18,7125,13,34,0
2020-05-19,11531,32,128,0
2020-05-20,11433,12,69,1
2020-05-21,10513,20,27,0
2020-05-22,11537,23,32,2
2020-05-23,10719,25,19,0
2020-05-24,0,16,13,1
2020-05-25,14497,19,49,2
2020-05-26,10083,40,20,0
2020-05-27,14384,79,45,0
2020-05-28,14481,58,23,0
2020-05-29,14267,39,35,0
2020-05-30,16040,27,7,1
2020-05-31,10925,35,17,1
2020-06-01,9805,38,24,1
2020-06-02,13596,49,21,1
