date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,10,0,0
2020-02-26,0,15,0,0
2020-02-27,0,17,0,0
2020-02-28,0,2,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,11,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,2,0,0
2020-03-06,0,0,0,0
2020-03-07,0,3,0,0
2020-03-08,0,3,1,0
2020-03-09,0,0,0,0
2020-03-10,0,5,0,0
2020-03-11,0,3,1,0
2020-03-12,0,8,3,0
2020-03-13,0,0,0,0
2020-03-14,0,24,0,0
2020-03-15,0,8,0,0
2020-03-16,0,11,4,0
2020-03-17,0,7,0,0
2020-03-18,0,12,6,0
2020-03-19,0,6,3,0
2020-03-20,0,11,0,0
2020-03-21,0,17,9,0
2020-03-22,0,12,0,0
2020-03-23,0,1,0,0
2020-03-24,0,2,12,0
2020-03-25,0,4,4,0
2020-03-26,0,13,6,0
2020-03-27,0,17,8,0
2020-03-28,0,10,7,0
2020-03-29,0,20,3,0
2020-03-30,0,11,5,0
2020-03-31,0,23,1,0
2020-04-01,0,28,7,0
2020-04-02,0,25,1,0
2020-04-03,0,75,1,0
2020-04-04,0,62,11,1
2020-04-05,0,77,6,0
2020-04-06,0,109,4,0
2020-04-07,0,78,2,0
2020-04-08,0,112,6,0
2020-04-09,0,55,0,0
2020-04-10,0,83,12,0
2020-04-11,0,161,10,0
2020-04-12,0,80,9,0
2020-04-13,0,66,8,1
2020-04-14,0,55,26,1
2020-04-15,0,50,30,0
2020-04-16,0,119,19,0
2020-04-17,0,134,33,2
2020-04-18,0,93,22,1
2020-04-19,0,164,25,1
2020-04-20,0,80,62,2
2020-04-21,0,85,45,2
2020-04-22,0,168,31,2
2020-04-23,0,151,55,1
2020-04-24,0,215,115,1
2020-04-25,0,278,43,4
2020-04-26,0,183,150,1
2020-04-27,0,213,206,2
2020-04-28,0,152,164,1
2020-04-29,0,300,213,1
2020-04-30,0,284,150,2
2020-05-01,0,353,63,4
2020-05-02,0,242,101,3
2020-05-03,0,364,73,5
2020-05-04,0,295,171,2
2020-05-05,0,526,85,0
2020-05-06,0,485,187,2
2020-05-07,0,278,162,2
2020-05-08,0,641,85,3
2020-05-09,0,415,156,2
2020-05-10,0,1065,107,9
2020-05-11,0,598,178,7
2020-05-12,0,991,194,10
2020-05-13,227000,751,162,7
2020-05-14,4930,947,188,6
2020-05-15,4074,885,189,8
2020-05-16,4712,942,203,11
2020-05-17,3760,1048,250,5
2020-05-18,3838,841,246,6
2020-05-19,4382,1073,342,3
2020-05-20,3618,804,204,3
2020-05-21,4757,1041,320,5
2020-05-22,3888,955,310,9
2020-05-23,3195,900,232,10
2020-05-24,2935,838,370,8
2020-05-25,2723,665,504,9
2020-05-26,2395,608,685,7
2020-05-27,2738,692,640,3
2020-05-28,3396,845,752,10
2020-05-29,4011,1072,575,9
2020-05-30,3661,1008,883,11
2020-05-31,3349,851,1230,7
2020-06-01,3664,719,1513,8
2020-06-02,3325,887,1382,6
2020-06-03,2934,710,1469,4
2020-06-04,2721,562,1473,6
2020-06-05,2894,723,1054,8
2020-06-06,2724,487,1005,10
