date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,116,0,0,0
2020-03-01,10,0,0,0
2020-03-02,37,0,0,0
2020-03-03,41,1,0,0
2020-03-04,36,0,0,0
2020-03-05,35,0,0,0
2020-03-06,32,0,0,0
2020-03-07,14,0,0,0
2020-03-08,22,2,0,0
2020-03-09,48,3,0,0
2020-03-10,59,2,1,0
2020-03-11,47,2,0,0
2020-03-12,79,6,0,0
2020-03-13,127,1,0,0
2020-03-14,316,9,0,0
2020-03-15,334,4,0,0
2020-03-16,351,4,0,0
2020-03-17,495,26,0,0
2020-03-18,755,11,0,0
2020-03-19,720,15,0,0
2020-03-20,699,23,0,0
2020-03-21,1389,12,0,0
2020-03-22,811,15,0,0
2020-03-23,1185,44,0,0
2020-03-24,887,17,0,0
2020-03-25,1151,24,0,0
2020-03-26,817,23,0,0
2020-03-27,1089,36,0,0
2020-03-28,1046,25,0,0
2020-03-29,1057,42,0,0
2020-03-30,502,29,0,0
2020-03-31,500,22,0,0
2020-04-01,1003,48,0,0
2020-04-02,1024,12,30,0
2020-04-03,1364,35,-30,1
2020-04-04,1182,16,0,1
2020-04-05,1300,24,0,0
2020-04-06,773,9,15,1
2020-04-07,1122,6,0,0
2020-04-08,1461,29,0,0
2020-04-09,1422,12,0,1
2020-04-10,1198,23,0,0
2020-04-11,1140,18,0,2
2020-04-12,418,21,0,1
2020-04-13,562,2,0,0
2020-04-14,242,4,0,0
2020-04-15,878,9,28,0
2020-04-16,1406,9,13,0
2020-04-17,1535,7,31,1
2020-04-18,1860,30,0,0
2020-04-19,1184,15,0,0
2020-04-20,787,12,0,0
2020-04-21,1304,9,45,3
2020-04-22,1364,13,0,0
2020-04-23,1705,17,0,0
2020-04-24,2039,6,134,1
2020-04-25,2663,20,0,0
2020-04-26,1874,8,0,1
2020-04-27,1564,6,0,0
2020-04-28,2380,18,0,2
2020-04-29,3250,13,81,0
2020-04-30,3075,9,0,1
2020-05-01,3234,12,0,0
2020-05-02,1982,1,0,1
2020-05-03,1143,8,0,0
2020-05-04,1219,17,0,1
2020-05-05,686,0,0,0
2020-05-06,2477,4,116,0
2020-05-07,2442,9,0,0
2020-05-08,1947,19,0,0
2020-05-09,2555,2,0,0
2020-05-10,1021,9,0,0
2020-05-11,555,7,0,0
2020-05-12,1900,4,163,1
2020-05-13,2199,1,0,0
2020-05-14,2029,11,0,0
2020-05-15,2156,8,35,0
2020-05-16,1946,27,0,0
2020-05-17,1028,11,0,1
2020-05-18,718,1,0,1
2020-05-19,1845,3,32,0
2020-05-20,1783,4,0,0
2020-05-21,1870,9,0,1
2020-05-22,1745,5,18,0
2020-05-23,1480,16,0,0
2020-05-24,1203,1,0,1
2020-05-25,721,2,0,0
2020-05-26,1828,4,29,0
2020-05-27,1955,4,0,1
2020-05-28,1951,4,0,0
2020-05-29,1427,3,4,0
2020-05-30,1243,1,0,0
2020-05-31,897,1,0,1
2020-06-01,652,0,0,0
2020-06-02,1681,5,15,0
2020-06-03,1561,8,0,0
2020-06-04,1486,3,0,0
2020-06-05,1010,3,21,0
