date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,76,1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,150,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,140,3,0,0
2020-03-14,0,2,0,0
2020-03-15,0,4,1,0
2020-03-16,258,5,0,0
2020-03-17,118,8,0,0
2020-03-18,193,2,0,0
2020-03-19,0,9,0,0
2020-03-20,0,13,0,0
2020-03-21,0,34,0,1
2020-03-22,1151,60,0,0
2020-03-23,0,36,0,0
2020-03-24,0,30,0,1
2020-03-25,1385,65,0,2
2020-03-26,0,25,0,0
2020-03-27,2024,59,0,1
2020-03-28,1405,36,0,2
2020-03-29,1524,66,0,0
2020-03-30,1467,31,6,0
2020-03-31,0,46,0,1
2020-04-01,2683,44,0,0
2020-04-02,3049,68,0,1
2020-04-03,2809,47,0,0
2020-04-04,2944,75,0,2
2020-04-05,2269,40,0,2
2020-04-06,1954,32,1,2
2020-04-07,2208,37,0,0
2020-04-08,0,32,0,0
2020-04-09,5002,43,0,1
2020-04-10,3242,44,46,6
2020-04-11,2421,27,0,1
2020-04-12,0,27,43,0
2020-04-13,3031,9,4,1
2020-04-14,1187,8,0,5
2020-04-15,1987,21,37,1
2020-04-16,3860,37,40,2
2020-04-17,4564,21,32,1
2020-04-18,5715,90,18,0
2020-04-19,5219,59,14,2
2020-04-20,2317,28,0,2
2020-04-21,4401,24,56,1
2020-04-22,6040,20,59,0
2020-04-23,6798,28,42,2
2020-04-24,7401,12,31,0
2020-04-25,7956,16,30,1
2020-04-26,5540,12,7,0
2020-04-27,2287,11,7,0
2020-04-28,5034,-105,62,3
2020-04-29,6392,31,27,1
2020-04-30,7354,10,26,0
2020-05-01,7213,14,5,0
2020-05-02,5502,7,38,1
2020-05-03,3408,4,3,0
2020-05-04,2351,9,3,0
2020-05-05,5077,4,40,0
2020-05-06,7387,5,40,2
2020-05-07,7595,5,21,1
2020-05-08,8103,3,26,0
2020-05-09,8141,8,63,0
2020-05-10,3581,35,0,1
2020-05-11,2652,6,5,0
2020-05-12,5821,6,17,0
2020-05-13,7878,14,58,4
2020-05-14,7989,6,26,0
2020-05-15,7994,12,31,0
2020-05-16,7793,11,23,1
2020-05-17,4686,7,9,1
2020-05-18,0,6,0,3
2020-05-19,8874,15,28,1
2020-05-20,7980,15,24,0
2020-05-21,0,16,0,1
2020-05-22,13463,11,62,0
2020-05-23,5839,12,24,2
2020-05-24,0,7,3,0
2020-05-25,5007,12,0,0
2020-05-26,5169,4,27,2
2020-05-27,6174,8,19,1
2020-05-28,6750,9,9,2
2020-05-29,6109,6,23,0
2020-05-30,0,8,13,2
2020-05-31,8768,5,7,0
2020-06-01,1995,3,0,0
2020-06-02,4871,4,13,1
2020-06-03,5387,2,11,0
2020-06-04,5928,3,13,0
