date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,2,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,4,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,7,1,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,4,0,0
2020-03-17,0,8,0,0
2020-03-18,0,9,0,0
2020-03-19,0,13,0,0
2020-03-20,0,19,0,0
2020-03-21,0,18,0,0
2020-03-22,0,30,0,1
2020-03-23,0,21,0,1
2020-03-24,0,12,0,0
2020-03-25,0,29,0,1
2020-03-26,0,24,2,0
2020-03-27,0,18,0,0
2020-03-28,0,22,0,1
2020-03-29,0,18,0,2
2020-03-30,0,26,9,1
2020-03-31,0,44,0,2
2020-04-01,0,25,5,2
2020-04-02,0,30,0,0
2020-04-03,0,46,3,1
2020-04-04,0,53,0,5
2020-04-05,0,72,3,1
2020-04-06,0,15,7,5
2020-04-07,0,29,0,3
2020-04-08,0,18,5,3
2020-04-09,0,46,2,1
2020-04-10,0,48,4,2
2020-04-11,0,49,0,2
2020-04-12,0,68,0,0
2020-04-13,0,26,3,4
2020-04-14,0,54,42,6
2020-04-15,0,66,12,1
2020-04-16,0,107,23,1
2020-04-17,0,36,18,3
2020-04-18,0,53,25,0
2020-04-19,0,37,15,2
2020-04-20,0,18,21,3
2020-04-21,0,6,24,1
2020-04-22,0,28,48,1
2020-04-23,0,41,29,0
2020-04-24,0,26,36,1
2020-04-25,0,41,37,2
2020-04-26,0,19,126,2
2020-04-27,0,13,53,4
2020-04-28,0,22,36,6
2020-04-29,0,21,38,2
2020-04-30,0,23,111,4
2020-05-01,0,29,69,4
2020-05-02,0,12,45,1
2020-05-03,0,5,93,2
2020-05-04,0,7,47,1
2020-05-05,0,8,21,1
2020-05-06,0,13,44,2
2020-05-07,0,33,22,1
2020-05-08,0,14,20,1
2020-05-09,0,36,13,1
2020-05-10,0,20,24,0
2020-05-11,0,22,64,0
2020-05-12,0,10,5,1
2020-05-13,0,20,24,3
2020-05-14,0,29,6,0
2020-05-15,0,17,16,2
2020-05-16,0,22,16,1
2020-05-17,0,30,26,3
2020-05-18,0,25,8,3
2020-05-19,0,22,50,2
2020-05-20,0,19,16,4
2020-05-21,0,40,11,1
2020-05-22,0,23,9,1
2020-05-23,0,20,24,1
2020-05-24,0,37,11,0
2020-05-25,0,21,17,0
2020-05-26,0,15,14,3
2020-05-27,0,25,17,3
2020-05-28,0,38,16,2
2020-05-29,0,52,30,5
2020-05-30,0,35,19,5
2020-05-31,0,62,17,2
2020-06-01,0,89,17,7
2020-06-02,0,76,26,1
2020-06-03,0,101,10,4
2020-06-04,0,119,16,2
2020-06-05,0,179,11,2
2020-06-06,0,125,8,2
2020-06-07,0,110,6,2
2020-06-08,0,127,7,3
2020-06-09,0,87,5,1
