date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,3,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,9,0,0
2020-03-24,0,5,0,0
2020-03-25,0,2,0,0
2020-03-26,0,4,0,0
2020-03-27,0,3,0,0
2020-03-28,0,0,0,0
2020-03-29,0,13,0,0
2020-03-30,0,4,0,0
2020-03-31,0,14,0,0
2020-04-01,0,0,0,0
2020-04-02,0,2,0,0
2020-04-03,0,11,0,0
2020-04-04,0,0,0,0
2020-04-05,0,2,2,0
2020-04-06,0,10,0,0
2020-04-07,0,6,5,0
2020-04-08,0,5,4,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,9,0,0
2020-04-12,0,4,9,0
2020-04-13,0,0,1,0
2020-04-14,0,2,2,0
2020-04-15,0,2,6,0
2020-04-16,0,1,4,0
2020-04-17,0,6,0,0
2020-04-18,0,3,2,0
2020-04-19,0,1,4,0
2020-04-20,0,0,2,0
2020-04-21,0,0,3,0
2020-04-22,0,0,8,0
2020-04-23,0,0,6,0
2020-04-24,0,1,3,0
2020-04-25,0,1,1,0
2020-04-26,0,1,9,0
2020-04-27,0,4,4,0
2020-04-28,3065,0,7,0
2020-04-29,42,0,8,0
2020-04-30,121,0,2,0
2020-05-01,72,4,2,0
2020-05-02,0,3,3,0
2020-05-03,0,14,1,0
2020-05-04,0,0,1,0
2020-05-05,561,2,2,0
2020-05-06,0,7,0,0
2020-05-07,107,35,0,0
2020-05-08,0,0,0,0
2020-05-09,0,0,0,0
2020-05-10,513,0,0,0
2020-05-11,984,-7,0,0
2020-05-12,0,0,0,0
2020-05-13,0,26,6,0
2020-05-14,0,18,1,0
2020-05-15,0,8,4,0
2020-05-16,0,45,2,0
2020-05-17,0,21,0,1
2020-05-18,0,18,5,0
2020-05-19,0,4,0,1
2020-05-20,0,45,12,0
2020-05-21,0,34,0,0
2020-05-22,0,43,4,0
2020-05-23,0,40,3,0
2020-05-24,0,39,4,0
2020-05-25,0,15,5,0
2020-05-26,0,44,0,0
2020-05-27,4216,26,4,0
2020-05-28,167,44,3,0
2020-05-29,401,42,10,3
2020-05-30,0,60,1,1
2020-05-31,1062,13,3,0
2020-06-01,0,55,6,0
2020-06-02,643,19,11,0
2020-06-03,0,63,10,0
2020-06-04,0,49,5,1
2020-06-05,0,18,1,0
2020-06-06,0,51,11,1
2020-06-07,1654,26,21,1
2020-06-08,0,42,21,0
2020-06-09,0,44,20,0
