date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,18,0,0,0
2020-03-30,17,0,0,0
2020-03-31,0,0,0,0
2020-04-01,51,0,0,0
2020-04-02,2,3,0,0
2020-04-03,5,0,0,0
2020-04-04,29,1,0,0
2020-04-05,1,0,0,0
2020-04-06,20,1,0,0
2020-04-07,2,3,0,1
2020-04-08,79,0,0,0
2020-04-09,7,0,0,0
2020-04-10,56,1,0,0
2020-04-11,27,3,0,1
2020-04-12,0,1,0,0
2020-04-13,29,3,0,0
2020-04-14,0,0,0,0
2020-04-15,10,0,0,0
2020-04-16,64,0,0,0
2020-04-17,7,1,3,0
2020-04-18,5,0,0,0
2020-04-19,0,0,0,0
2020-04-20,31,0,0,0
2020-04-21,59,1,0,0
2020-04-22,34,5,0,1
2020-04-23,13,10,0,0
2020-04-24,51,0,1,0
2020-04-25,47,0,0,0
2020-04-26,26,1,0,0
2020-04-27,13,2,0,0
2020-04-28,41,0,1,0
2020-04-29,30,0,2,0
2020-04-30,57,1,0,0
2020-05-01,67,0,2,0
2020-05-02,9,1,0,0
2020-05-03,8,1,0,0
2020-05-04,46,2,0,0
2020-05-05,71,0,0,0
2020-05-06,41,2,0,0
2020-05-07,79,0,5,0
2020-05-08,79,0,0,0
2020-05-09,56,13,0,0
2020-05-10,50,0,0,0
2020-05-11,26,1,10,0
2020-05-12,0,0,0,0
2020-05-13,258,6,0,0
2020-05-14,75,0,0,0
2020-05-15,66,0,0,0
2020-05-16,41,2,0,0
2020-05-17,119,5,3,0
2020-05-18,51,0,0,0
2020-05-19,122,0,0,0
2020-05-20,181,1,0,0
2020-05-21,135,1,0,0
2020-05-22,193,10,1,0
2020-05-23,370,0,0,0
2020-05-24,0,1,5,1
2020-05-25,398,18,0,0
2020-05-26,0,0,4,0
2020-05-27,603,0,0,0
2020-05-28,336,102,0,0
2020-05-29,179,70,5,0
2020-05-30,100,6,0,0
2020-05-31,557,5,0,0
2020-06-01,358,52,0,0
2020-06-02,241,22,0,0
2020-06-03,154,11,9,0
2020-06-04,272,24,0,0
2020-06-05,116,16,4,0
2020-06-06,135,0,0,0
2020-06-07,123,29,0,0
2020-06-08,144,5,0,0
2020-06-09,95,12,0,0
