date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,4,0,0
2020-03-09,0,0,0,0
2020-03-10,0,2,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,3,0,0
2020-03-16,221,0,0,0
2020-03-17,33,0,0,0
2020-03-18,209,0,0,0
2020-03-19,56,0,0,0
2020-03-20,44,0,0,0
2020-03-21,30,0,0,0
2020-03-22,50,0,0,0
2020-03-23,30,0,0,0
2020-03-24,0,0,5,0
2020-03-25,103,0,3,0
2020-03-26,23,0,0,0
2020-03-27,24,3,1,0
2020-03-28,57,0,0,0
2020-03-29,36,1,4,0
2020-03-30,0,0,0,0
2020-03-31,216,1,0,0
2020-04-01,67,1,0,0
2020-04-02,92,0,0,0
2020-04-03,92,0,0,0
2020-04-04,103,0,0,0
2020-04-05,22,0,0,0
2020-04-06,285,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,641,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,198,1,1,0
2020-04-13,60,0,0,0
2020-04-14,24,0,2,0
2020-04-15,374,2,0,0
2020-04-16,88,3,0,0
2020-04-17,0,3,0,0
2020-04-18,0,7,0,0
2020-04-19,0,17,0,0
2020-04-20,0,17,0,0
2020-04-21,0,14,0,0
2020-04-22,0,3,0,0
2020-04-23,1472,22,0,0
2020-04-24,549,21,0,0
2020-04-25,263,48,1,0
2020-04-26,428,37,0,0
2020-04-27,326,12,0,0
2020-04-28,420,24,0,0
2020-04-29,0,28,0,1
2020-04-30,675,190,0,0
2020-05-01,443,23,0,0
2020-05-02,465,28,1,0
2020-05-03,382,8,0,0
2020-05-04,288,14,0,0
2020-05-05,497,32,2,1
2020-05-06,482,44,0,0
2020-05-07,407,31,0,1
2020-05-08,474,96,0,0
2020-05-09,588,46,9,0
2020-05-10,479,45,0,0
2020-05-11,430,62,0,0
2020-05-12,155,7,0,0
2020-05-13,0,51,11,1
2020-05-14,890,27,5,0
2020-05-15,398,49,4,0
2020-05-16,787,47,9,0
2020-05-17,378,16,0,0
2020-05-18,426,12,0,0
2020-05-19,547,37,33,0
2020-05-20,524,43,0,0
2020-05-21,495,30,0,0
2020-05-22,328,58,18,0
2020-05-23,598,39,19,0
2020-05-24,711,58,16,0
2020-05-25,676,24,11,0
2020-05-26,861,43,42,1
2020-05-27,822,19,0,0
2020-05-28,797,56,0,0
2020-05-29,680,78,0,0
2020-05-30,808,81,209,0
2020-05-31,698,101,47,0
2020-06-01,959,56,35,1
2020-06-02,807,12,120,1
2020-06-03,652,9,36,0
2020-06-04,801,22,4,0
2020-06-05,933,11,69,0
2020-06-06,730,18,46,1
2020-06-07,875,2,64,0
2020-06-08,0,13,98,0
2020-06-09,1773,26,85,0
