date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,1,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,1,0,0,0
2020-02-23,0,0,0,0
2020-02-24,44,0,0,0
2020-02-25,29,0,0,0
2020-02-26,50,0,0,0
2020-02-27,14,0,0,0
2020-02-28,10,0,0,0
2020-02-29,7,0,0,0
2020-03-01,8,0,0,0
2020-03-02,5,0,0,0
2020-03-03,22,0,0,0
2020-03-04,42,0,0,0
2020-03-05,31,0,0,0
2020-03-06,63,0,0,0
2020-03-07,98,3,0,0
2020-03-08,118,0,0,0
2020-03-09,83,0,0,0
2020-03-10,65,2,0,0
2020-03-11,162,1,0,0
2020-03-12,188,0,0,0
2020-03-13,148,6,1,0
2020-03-14,154,6,0,0
2020-03-15,130,3,0,0
2020-03-16,141,9,1,0
2020-03-17,160,8,0,0
2020-03-18,302,0,0,0
2020-03-19,276,15,0,0
2020-03-20,259,11,0,0
2020-03-21,296,9,0,0
2020-03-22,309,17,0,0
2020-03-23,311,17,0,0
2020-03-24,488,3,0,0
2020-03-25,405,19,0,0
2020-03-26,454,5,0,0
2020-03-27,518,5,0,0
2020-03-28,599,10,0,0
2020-03-29,631,2,0,0
2020-03-30,564,5,0,0
2020-03-31,625,13,0,0
2020-04-01,737,19,0,0
2020-04-02,747,8,0,0
2020-04-03,660,6,0,0
2020-04-04,654,11,0,0
2020-04-05,555,14,3,0
2020-04-06,817,14,0,0
2020-04-07,991,52,0,0
2020-04-08,1001,6,11,1
2020-04-09,995,38,0,1
2020-04-10,1200,13,0,0
2020-04-11,1024,20,0,1
2020-04-12,948,8,28,0
2020-04-13,1047,6,0,0
2020-04-14,1062,9,0,0
2020-04-15,1029,6,0,0
2020-04-16,1076,13,38,0
2020-04-17,979,10,9,0
2020-04-18,783,4,8,0
2020-04-19,572,1,19,0
2020-04-20,705,4,8,0
2020-04-21,810,12,24,0
2020-04-22,640,1,15,0
2020-04-23,609,1,39,0
2020-04-24,555,2,19,0
2020-04-25,614,1,26,1
2020-04-26,698,0,33,0
2020-04-27,1068,2,4,0
2020-04-28,1207,8,17,0
2020-04-29,1243,5,36,0
2020-04-30,1181,2,12,0
2020-05-01,1008,2,32,0
2020-05-02,1070,1,-4,0
2020-05-03,731,9,13,0
2020-05-04,1214,3,7,0
2020-05-05,1394,2,4,1
2020-05-06,1009,2,4,0
2020-05-07,1135,2,6,0
2020-05-08,1005,3,6,0
2020-05-09,1107,1,8,0
2020-05-10,775,6,6,0
2020-05-11,1238,7,1,0
2020-05-12,1132,3,0,0
2020-05-13,1316,2,2,1
2020-05-14,1495,14,7,0
2020-05-15,1719,10,15,0
2020-05-16,1425,14,-8,0
2020-05-17,1011,7,4,0
2020-05-18,1514,5,2,0
2020-05-19,1661,11,4,0
2020-05-20,1367,15,5,0
2020-05-21,1546,15,3,0
2020-05-22,1717,1,1,0
2020-05-23,1286,9,4,0
2020-05-24,816,1,3,0
2020-05-25,1467,1,9,0
2020-05-26,1248,0,0,0
2020-05-27,1224,1,6,1
2020-05-28,1192,4,10,0
2020-05-29,1367,0,13,2
2020-05-30,985,2,11,0
2020-05-31,593,0,9,0
2020-06-01,1015,1,3,0
2020-06-02,945,1,17,0
2020-06-03,905,2,8,0
2020-06-04,977,0,14,0
2020-06-05,877,3,7,0
2020-06-06,905,2,13,0
