date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,678,0,0,0
2020-01-23,46,0,0,0
2020-01-24,46,0,0,0
2020-01-25,15,0,0,0
2020-01-26,34,0,0,0
2020-01-27,43,0,0,0
2020-01-28,50,0,0,0
2020-01-29,31,0,0,0
2020-01-30,39,0,0,0
2020-01-31,32,0,0,0
2020-02-01,8,0,0,0
2020-02-02,12,0,0,0
2020-02-03,14,0,0,0
2020-02-04,51,0,0,0
2020-02-05,45,0,0,0
2020-02-06,45,0,0,0
2020-02-07,28,0,0,0
2020-02-08,7,0,0,0
2020-02-09,16,0,0,0
2020-02-10,71,0,0,0
2020-02-11,49,0,0,0
2020-02-12,40,0,0,0
2020-02-13,36,0,0,0
2020-02-14,32,0,0,0
2020-02-15,9,0,0,0
2020-02-16,16,0,0,0
2020-02-17,28,0,0,0
2020-02-18,30,0,0,0
2020-02-19,31,0,0,0
2020-02-20,22,0,0,0
2020-02-21,22,0,0,0
2020-02-22,12,0,0,0
2020-02-23,9,0,0,0
2020-02-24,34,0,0,0
2020-02-25,31,0,0,0
2020-02-26,40,0,0,0
2020-02-27,46,0,0,0
2020-02-28,65,1,0,0
2020-02-29,26,3,0,0
2020-03-01,28,1,0,0
2020-03-02,78,0,0,0
2020-03-03,75,0,1,0
2020-03-04,71,0,0,0
2020-03-05,66,0,0,0
2020-03-06,55,1,0,0
2020-03-07,26,0,0,0
2020-03-08,35,1,0,0
2020-03-09,80,0,0,0
2020-03-10,108,0,3,0
2020-03-11,133,1,0,0
2020-03-12,204,4,0,0
2020-03-13,284,14,0,0
2020-03-14,163,15,0,0
2020-03-15,171,12,0,0
2020-03-16,263,29,0,0
2020-03-17,462,11,0,0
2020-03-18,520,25,0,0
2020-03-19,590,46,0,1
2020-03-20,575,39,0,1
2020-03-21,400,48,0,0
2020-03-22,314,65,0,1
2020-03-23,841,51,0,1
2020-03-24,1138,38,0,1
2020-03-25,1255,70,0,1
2020-03-26,1226,110,0,2
2020-03-27,1460,132,0,4
2020-03-28,765,131,0,4
2020-03-29,744,145,0,4
2020-03-30,1671,101,31,8
2020-03-31,1485,121,0,1
2020-04-01,1584,163,0,8
2020-04-02,1694,132,0,13
2020-04-03,1729,178,598,10
2020-04-04,1078,202,0,19
2020-04-05,806,253,0,15
2020-04-06,2005,296,0,31
2020-04-07,1995,346,0,16
2020-04-08,2172,396,0,33
2020-04-09,1639,260,0,20
2020-04-10,1923,403,0,39
2020-04-11,1383,375,0,40
2020-04-12,1191,442,1139,23
2020-04-13,2805,353,71,36
2020-04-14,2890,385,121,74
2020-04-15,2789,448,161,43
2020-04-16,2688,450,0,37
2020-04-17,3030,578,0,60
2020-04-18,1623,622,0,104
2020-04-19,1477,764,502,36
2020-04-20,3592,511,0,26
2020-04-21,3319,729,0,145
2020-04-22,3189,1043,0,113
2020-04-23,3493,1089,0,99
2020-04-24,3930,1239,0,152
2020-04-25,2176,970,4522,84
2020-04-26,1904,835,1205,46
2020-04-27,4272,852,732,83
2020-04-28,4376,1223,2337,135
2020-04-29,4672,1047,0,163
2020-04-30,5066,1425,0,127
2020-05-01,3061,1515,954,113
2020-05-02,2798,1349,0,89
2020-05-03,2731,1383,1070,93
2020-05-04,5880,1434,0,117
2020-05-05,5029,1120,3363,236
2020-05-06,5647,1609,971,197
2020-05-07,5750,1982,0,257
2020-05-08,6101,1906,2533,199
2020-05-09,3441,1938,1510,193
2020-05-10,2718,1562,0,112
2020-05-11,6813,1305,1276,108
2020-05-12,6956,1997,2835,353
2020-05-13,6907,1862,1055,294
2020-05-14,7180,2409,1485,257
2020-05-15,7689,2437,1976,290
2020-05-16,4171,2112,1397,278
2020-05-17,2865,2075,1481,132
2020-05-18,8447,2414,2059,155
2020-05-19,7670,2713,1937,334
2020-05-20,8289,2248,1094,424
2020-05-21,8232,2973,1733,420
2020-05-22,8525,2960,2039,479
2020-05-23,4390,3329,2233,190
2020-05-24,3555,2764,2555,215
2020-05-25,9429,2485,2473,239
2020-05-26,9104,3455,2256,501
2020-05-27,9390,3463,2126,463
2020-05-28,8908,3377,2207,447
2020-05-29,9239,3227,2962,371
2020-05-30,5202,2885,2244,364
2020-05-31,3768,3152,2525,151
