date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,1,0,0
2020-03-23,0,0,0,0
2020-03-24,0,2,0,0
2020-03-25,0,2,0,0
2020-03-26,0,2,0,0
2020-03-27,0,0,0,0
2020-03-28,205,1,0,0
2020-03-29,0,0,0,0
2020-03-30,28,0,0,0
2020-03-31,36,0,0,0
2020-04-01,19,2,0,0
2020-04-02,18,0,0,0
2020-04-03,15,0,0,0
2020-04-04,24,0,1,0
2020-04-05,22,0,0,0
2020-04-06,4,0,0,0
2020-04-07,57,0,0,0
2020-04-08,43,7,0,0
2020-04-09,16,0,0,0
2020-04-10,54,3,1,0
2020-04-11,10,0,0,0
2020-04-12,128,1,0,0
2020-04-13,4,0,0,0
2020-04-14,79,7,0,0
2020-04-15,31,1,0,0
2020-04-16,62,2,0,0
2020-04-17,43,3,0,0
2020-04-18,54,1,2,0
2020-04-19,85,4,4,0
2020-04-20,73,0,0,0
2020-04-21,53,0,0,0
2020-04-22,84,2,0,0
2020-04-23,78,5,1,0
2020-04-24,114,19,3,0
2020-04-25,136,5,0,0
2020-04-26,69,6,0,0
2020-04-27,44,0,0,0
2020-04-28,84,0,0,0
2020-04-29,124,0,0,0
2020-04-30,180,0,0,0
2020-05-01,170,3,0,0
2020-05-02,91,0,6,0
2020-05-03,129,1,1,0
2020-05-04,132,0,0,0
2020-05-05,269,1,0,0
2020-05-06,174,0,2,0
2020-05-07,147,0,3,0
2020-05-08,168,1,3,0
2020-05-09,393,5,7,0
2020-05-10,174,4,0,0
2020-05-11,250,12,0,0
2020-05-12,192,1,0,0
2020-05-13,375,0,0,0
2020-05-14,379,11,1,0
2020-05-15,242,4,7,0
2020-05-16,374,10,1,0
2020-05-17,276,8,1,0
2020-05-18,261,8,0,0
2020-05-19,265,1,0,0
2020-05-20,232,10,4,0
2020-05-21,294,6,0,0
2020-05-22,417,2,0,0
2020-05-23,467,4,0,0
2020-05-24,516,26,3,0
2020-05-25,333,15,20,1
2020-05-26,240,4,0,0
2020-05-27,294,14,0,0
2020-05-28,488,6,11,1
2020-05-29,416,1,2,0
2020-05-30,27,10,6,0
2020-05-31,617,10,1,0
2020-06-01,92,0,6,0
2020-06-02,269,53,1,0
2020-06-03,333,9,11,0
2020-06-04,554,36,5,0
2020-06-05,217,2,5,0
2020-06-06,1055,55,7,0
2020-06-07,612,15,1,0
2020-06-08,570,9,4,0
2020-06-09,610,20,5,0
