date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,2,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,1,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,1,0,0
2020-03-24,0,3,2,0
2020-03-25,0,0,0,0
2020-03-26,0,1,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,3,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,306,3,0,0
2020-04-02,0,0,1,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,56,2,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,92,0,0,0
2020-04-16,0,0,1,0
2020-04-17,0,0,0,0
2020-04-18,45,0,2,0
2020-04-19,25,0,0,0
2020-04-20,0,0,0,0
2020-04-21,22,0,0,0
2020-04-22,0,0,0,0
2020-04-23,44,0,1,0
2020-04-24,31,0,0,0
2020-04-25,54,0,0,0
2020-04-26,29,0,1,0
2020-04-27,0,0,0,0
2020-04-28,61,0,0,0
2020-04-29,0,0,0,0
2020-04-30,107,0,0,0
2020-05-01,56,0,0,0
2020-05-02,132,0,0,0
2020-05-03,62,0,0,0
2020-05-04,0,0,0,0
2020-05-05,41,0,0,0
2020-05-06,18,0,0,0
2020-05-07,102,0,1,0
2020-05-08,0,0,0,0
2020-05-09,228,0,1,0
2020-05-10,32,0,1,0
2020-05-11,0,0,0,0
2020-05-12,61,0,0,0
2020-05-13,164,0,0,0
2020-05-14,243,0,1,0
2020-05-15,0,0,1,0
2020-05-16,0,0,0,0
2020-05-17,370,0,0,0
2020-05-18,0,0,0,0
2020-05-19,53,0,0,0
2020-05-20,152,0,1,0
2020-05-21,95,2,0,0
2020-05-22,0,1,0,0
2020-05-23,166,1,0,0
2020-05-24,180,1,0,0
2020-05-25,90,0,0,0
2020-05-26,69,0,0,0
2020-05-27,15,1,0,0
2020-05-28,169,0,0,0
2020-05-29,42,1,0,0
2020-05-30,133,0,0,0
2020-05-31,135,1,0,0
2020-06-01,290,1,2,0
2020-06-02,35,0,0,0
2020-06-03,0,0,0,0
2020-06-04,212,0,0,0
2020-06-05,178,0,0,0
2020-06-06,193,4,0,0
2020-06-07,0,0,0,0
2020-06-08,355,2,0,0
2020-06-09,27,0,0,0
