date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,1,0,0
2020-02-28,0,0,0,0
2020-02-29,0,5,0,0
2020-03-01,0,4,0,0
2020-03-02,0,8,0,0
2020-03-03,0,6,0,0
2020-03-04,0,14,0,0
2020-03-05,0,44,0,0
2020-03-06,0,46,0,1
2020-03-07,0,60,0,0
2020-03-08,0,77,0,2
2020-03-09,0,56,0,0
2020-03-10,0,61,0,1
2020-03-11,0,121,0,1
2020-03-12,0,0,0,0
2020-03-13,0,301,0,5
2020-03-14,0,155,0,2
2020-03-15,17080,176,0,8
2020-03-16,0,278,0,4
2020-03-17,0,292,0,19
2020-03-18,0,346,0,15
2020-03-19,0,409,0,18
2020-03-20,0,534,0,30
2020-03-21,0,637,0,30
2020-03-22,21338,573,0,43
2020-03-23,0,545,0,34
2020-03-24,0,811,0,63
2020-03-25,0,852,0,80
2020-03-26,0,1019,0,78
2020-03-27,0,1172,0,112
2020-03-28,0,1159,0,93
2020-03-29,24745,1104,0,132
2020-03-30,0,884,0,93
2020-03-31,0,845,0,175
2020-04-01,0,1019,0,134
2020-04-02,0,1083,0,166
2020-04-03,0,1026,0,148
2020-04-04,0,904,0,164
2020-04-05,29098,1224,0,115
2020-04-06,0,952,0,101
2020-04-07,0,777,0,234
2020-04-08,0,969,0,147
2020-04-09,0,1213,0,148
2020-04-10,0,1335,0,115
2020-04-11,0,1316,0,132
2020-04-12,38960,1174,0,94
2020-04-13,0,964,0,86
2020-04-14,0,868,0,122
2020-04-15,0,734,0,189
2020-04-16,0,1061,0,181
2020-04-17,0,1235,0,144
2020-04-18,0,1140,0,142
2020-04-19,40102,1066,0,83
2020-04-20,0,750,0,67
2020-04-21,0,729,0,165
2020-04-22,0,708,0,138
2020-04-23,0,887,0,123
2020-04-24,0,806,0,112
2020-04-25,0,655,0,120
2020-04-26,38395,655,0,66
2020-04-27,0,400,0,43
2020-04-28,0,171,0,48
2020-04-29,0,386,0,145
2020-04-30,0,514,0,84
2020-05-01,0,475,0,98
2020-05-02,0,445,0,94
2020-05-03,28954,335,0,69
2020-05-04,0,199,0,26
2020-05-05,0,317,0,86
2020-05-06,0,232,0,36
2020-05-07,0,455,0,84
2020-05-08,0,319,0,71
2020-05-09,0,289,0,63
2020-05-10,29006,245,0,18
2020-05-11,0,161,0,16
2020-05-12,0,196,0,54
2020-05-13,0,227,0,52
2020-05-14,0,270,0,28
2020-05-15,0,200,0,53
2020-05-16,0,189,0,27
2020-05-17,32687,125,0,10
2020-05-18,0,146,0,14
2020-05-19,0,108,0,21
2020-05-20,0,198,0,33
2020-05-21,0,253,0,27
2020-05-22,0,188,0,13
2020-05-23,0,176,0,23
2020-05-24,29339,172,0,11
2020-05-25,0,209,0,8
2020-05-26,0,133,0,26
2020-05-27,0,190,0,15
2020-05-28,0,182,0,32
2020-05-29,0,176,0,28
2020-05-30,0,131,0,20
2020-05-31,33871,185,0,5
2020-06-01,0,103,0,6
2020-06-02,0,102,0,5
2020-06-03,0,86,0,10
2020-06-04,0,209,0,13
2020-06-05,0,210,0,15
2020-06-06,0,183,0,6
2020-06-07,58956,239,0,2
