date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,1,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,1,0,0
2020-03-18,0,5,1,0
2020-03-19,0,0,0,0
2020-03-20,0,4,0,0
2020-03-21,0,10,0,0
2020-03-22,0,8,1,0
2020-03-23,0,10,0,1
2020-03-24,0,4,0,0
2020-03-25,0,7,0,0
2020-03-26,0,14,0,0
2020-03-27,0,5,1,0
2020-03-28,0,19,0,0
2020-03-29,0,22,0,0
2020-03-30,0,20,5,1
2020-03-31,0,4,0,0
2020-04-01,0,39,1,0
2020-04-02,0,10,11,0
2020-04-03,0,26,5,2
2020-04-04,0,4,0,0
2020-04-05,0,18,8,1
2020-04-06,0,6,2,0
2020-04-07,0,16,9,1
2020-04-08,5000,22,0,0
2020-04-09,0,12,7,1
2020-04-10,0,17,7,0
2020-04-11,0,13,12,3
2020-04-12,0,5,15,0
2020-04-13,0,20,6,0
2020-04-14,0,30,8,1
2020-04-15,0,34,29,1
2020-04-16,1649,35,24,1
2020-04-17,504,51,7,4
2020-04-18,0,49,7,2
2020-04-19,0,85,4,2
2020-04-20,0,38,18,1
2020-04-21,0,0,0,0
2020-04-22,0,208,9,6
2020-04-23,2908,108,0,3
2020-04-24,0,114,11,1
2020-04-25,857,87,14,3
2020-04-26,0,91,17,5
2020-04-27,0,64,16,0
2020-04-28,1086,195,0,4
2020-04-29,824,196,52,7
2020-04-30,0,204,12,7
2020-05-01,2931,238,32,10
2020-05-02,0,218,0,17
2020-05-03,829,170,49,2
2020-05-04,1948,244,17,6
2020-05-05,976,148,64,5
2020-05-06,1696,195,53,5
2020-05-07,1284,381,67,4
2020-05-08,1343,386,78,10
2020-05-09,0,239,66,11
2020-05-10,0,248,33,15
2020-05-11,3243,242,124,7
2020-05-12,1340,146,57,8
2020-05-13,990,184,111,6
2020-05-14,1249,191,110,3
2020-05-15,0,288,140,4
2020-05-16,2285,171,152,5
2020-05-17,1028,338,122,6
2020-05-18,1375,216,50,9
2020-05-19,1554,226,90,1
2020-05-20,1332,276,106,8
2020-05-21,0,339,67,11
2020-05-22,3676,245,100,10
2020-05-23,1421,265,167,0
2020-05-24,1130,313,89,5
2020-05-25,1225,229,48,7
2020-05-26,1120,276,74,16
2020-05-27,1741,389,116,5
2020-05-28,1422,182,91,5
2020-05-29,8760,387,105,2
2020-05-30,2099,553,159,12
2020-05-31,0,307,151,14
2020-06-01,3057,416,115,12
2020-06-02,2003,241,118,15
2020-06-03,3916,347,89,1
2020-06-04,1535,350,206,8
2020-06-05,1728,328,161,10
2020-06-06,1935,389,130,9
2020-06-07,1803,253,133,12
