date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,12,0,0,0
2020-02-25,62,0,0,0
2020-02-26,148,1,0,0
2020-02-27,249,0,0,0
2020-02-28,290,5,0,0
2020-02-29,209,9,0,0
2020-03-01,235,4,0,0
2020-03-02,391,6,0,0
2020-03-03,380,7,0,0
2020-03-04,341,24,0,0
2020-03-05,374,31,0,0
2020-03-06,365,21,0,0
2020-03-07,315,39,0,0
2020-03-08,408,29,0,0
2020-03-09,1484,29,1,0
2020-03-10,1686,195,0,0
2020-03-11,2085,198,0,0
2020-03-12,3017,104,0,0
2020-03-13,4054,294,0,1
2020-03-14,2761,94,0,2
2020-03-15,2870,131,0,0
2020-03-16,6263,112,0,0
2020-03-17,6586,130,0,0
2020-03-18,6827,87,0,3
2020-03-19,5983,196,0,1
2020-03-20,5119,168,0,0
2020-03-21,2507,204,0,0
2020-03-22,1288,267,0,0
2020-03-23,3564,236,0,3
2020-03-24,3528,242,5,2
2020-03-25,3344,221,0,2
2020-03-26,3185,285,0,0
2020-03-27,3291,386,0,5
2020-03-28,1801,260,1,4
2020-03-29,1243,269,0,2
2020-03-30,3172,161,5,7
2020-03-31,3446,196,1,7
2020-04-01,3713,222,0,5
2020-04-02,3307,284,19,6
2020-04-03,3325,223,0,9
2020-04-04,1310,180,0,3
2020-04-05,1050,137,0,9
2020-04-06,3262,178,0,5
2020-04-07,2741,221,0,13
2020-04-08,2084,0,0,12
2020-04-09,1210,125,0,7
2020-04-10,1235,103,0,5
2020-04-11,1297,95,0,6
2020-04-12,1128,116,0,9
2020-04-13,1160,78,0,6
2020-04-14,2971,20,0,5
2020-04-15,3040,117,0,11
2020-04-16,2767,156,0,2
2020-04-17,2798,41,0,9
2020-04-18,1034,99,0,3
2020-04-19,1020,42,0,1
2020-04-20,3388,78,0,16
2020-04-21,3256,35,0,1
2020-04-22,2975,147,0,5
2020-04-23,2634,63,0,7
2020-04-24,2915,62,0,5
2020-04-25,984,36,0,2
2020-04-26,851,28,0,0
2020-04-27,3637,72,0,4
2020-04-28,3648,61,0,1
2020-04-29,3467,50,0,1
2020-04-30,4018,28,0,3
2020-05-01,1319,45,0,0
2020-05-02,1370,26,0,1
2020-05-03,1103,38,0,0
2020-05-04,4233,57,0,3
2020-05-05,3893,51,0,1
2020-05-06,3819,41,0,1
2020-05-07,3381,38,0,1
2020-05-08,3394,36,0,1
2020-05-09,1161,29,0,1
2020-05-10,849,6,0,0
2020-05-11,3943,27,0,5
2020-05-12,3822,25,0,4
2020-05-13,3665,18,0,1
2020-05-14,3766,21,0,3
2020-05-15,3718,23,0,0
2020-05-16,1132,18,0,0
2020-05-17,558,12,0,0
2020-05-18,3930,8,0,1
2020-05-19,3821,10,0,0
2020-05-20,3524,14,0,1
2020-05-21,977,28,0,1
2020-05-22,2937,23,7695,0
2020-05-23,869,14,0,0
2020-05-24,738,6,0,0
2020-05-25,3556,12,0,0
2020-05-26,2991,19,0,0
2020-05-27,2818,18,0,0
2020-05-28,2456,10,0,1
2020-05-29,2245,11,0,0
2020-05-30,669,15,0,0
2020-05-31,509,3,0,0
2020-06-01,603,6,0,0
2020-06-02,2787,9,0,1
2020-06-03,2487,22,0,0
2020-06-04,2542,27,411,1
