date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,2,0,0
2020-02-25,0,0,0,0
2020-02-26,0,2,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,2,1,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,6,1,0
2020-03-04,0,3,0,0
2020-03-05,0,1,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,2,7,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,0,0,0
2020-03-15,0,3,0,0
2020-03-16,0,0,0,0
2020-03-17,0,2,0,0
2020-03-18,0,15,3,0
2020-03-19,0,9,0,0
2020-03-20,0,0,0,0
2020-03-21,0,4,0,0
2020-03-22,0,3,5,0
2020-03-23,0,11,0,0
2020-03-24,0,18,0,0
2020-03-25,0,15,0,0
2020-03-26,0,10,6,0
2020-03-27,0,22,0,0
2020-03-28,0,21,0,0
2020-03-29,0,15,0,0
2020-03-30,0,12,6,0
2020-03-31,0,13,5,1
2020-04-01,0,18,0,0
2020-04-02,0,21,23,0
2020-04-03,0,21,0,0
2020-04-04,0,25,4,1
2020-04-05,0,21,0,0
2020-04-06,0,33,0,0
2020-04-07,0,40,6,0
2020-04-08,0,48,5,0
2020-04-09,0,38,37,1
2020-04-10,0,27,0,0
2020-04-11,0,62,0,0
2020-04-12,0,53,0,1
2020-04-13,0,128,15,0
2020-04-14,0,86,6,0
2020-04-15,0,97,1,0
2020-04-16,0,109,45,0
2020-04-17,0,50,0,2
2020-04-18,0,111,0,0
2020-04-19,0,86,57,1
2020-04-20,0,144,5,0
2020-04-21,0,98,0,1
2020-04-22,0,106,0,0
2020-04-23,0,102,69,1
2020-04-24,0,74,18,1
2020-04-25,0,115,4,0
2020-04-26,0,93,4,0
2020-04-27,0,51,31,0
2020-04-28,0,82,0,0
2020-04-29,0,143,0,0
2020-04-30,0,74,131,1
2020-05-01,0,99,0,0
2020-05-02,0,36,255,1
2020-05-03,0,85,0,0
2020-05-04,0,69,66,0
2020-05-05,0,98,42,1
2020-05-06,0,168,30,0
2020-05-07,0,55,92,2
2020-05-08,0,154,45,1
2020-05-09,0,112,43,1
2020-05-10,0,175,49,0
2020-05-11,0,174,133,0
2020-05-12,0,148,0,0
2020-05-13,0,298,39,0
2020-05-14,0,322,14,1
2020-05-15,0,284,47,2
2020-05-16,0,404,86,1
2020-05-17,0,157,29,1
2020-05-18,0,193,31,3
2020-05-19,0,292,78,2
2020-05-20,0,372,87,3
2020-05-21,0,327,160,1
2020-05-22,0,424,0,3
2020-05-23,0,463,27,2
2020-05-24,0,513,85,1
2020-05-25,0,0,0,0
2020-05-26,0,348,134,0
2020-05-27,0,255,110,2
2020-05-28,0,636,0,1
2020-05-29,0,811,219,0
2020-05-30,0,603,0,2
2020-05-31,0,1014,286,7
2020-06-01,0,786,0,1
2020-06-02,0,576,130,9
2020-06-03,0,738,33,8
2020-06-04,0,779,606,0
2020-06-05,0,770,0,5
2020-06-06,0,930,0,0
2020-06-07,0,866,0,3
2020-06-08,0,604,342,6
2020-06-09,0,712,359,2
