date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,2,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,2,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,1,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,1,0
2020-03-08,0,0,0,0
2020-03-09,0,10,0,0
2020-03-10,0,3,1,0
2020-03-11,471,1,0,0
2020-03-12,60,8,0,0
2020-03-13,78,3,0,0
2020-03-14,75,22,0,0
2020-03-15,149,83,0,0
2020-03-16,292,100,0,0
2020-03-17,16,63,0,0
2020-03-18,1022,155,11,2
2020-03-19,1247,47,0,1
2020-03-20,591,229,0,0
2020-03-21,1224,46,-8,2
2020-03-22,219,99,0,1
2020-03-23,413,97,13,1
2020-03-24,266,91,3,1
2020-03-25,326,138,0,1
2020-03-26,1386,172,2,2
2020-03-27,5396,122,6,1
2020-03-28,1105,102,0,2
2020-03-29,412,120,47,7
2020-03-30,935,221,0,5
2020-03-31,284,180,18,1
2020-04-01,1357,303,31,7
2020-04-02,12984,265,1,6
2020-04-03,2622,132,5,1
2020-04-04,1955,339,80,6
2020-04-05,990,609,48,6
2020-04-06,3308,269,170,4
2020-04-07,2976,228,38,4
2020-04-08,2737,226,105,4
2020-04-09,9810,206,155,1
2020-04-10,3130,316,35,20
2020-04-11,3965,219,266,5
2020-04-12,3313,266,67,2
2020-04-13,4814,341,283,3
2020-04-14,3511,546,68,15
2020-04-15,5540,536,199,17
2020-04-16,5725,106,120,7
2020-04-17,7844,613,67,8
2020-04-18,5974,710,36,25
2020-04-19,5780,70,102,8
2020-04-20,0,1147,103,25
2020-04-21,7504,511,83,11
2020-04-22,6214,1079,371,25
2020-04-23,6529,785,228,16
2020-04-24,6816,783,111,16
2020-04-25,6782,605,70,12
2020-04-26,6218,587,93,11
2020-04-27,6391,697,204,20
2020-04-28,6467,913,192,31
2020-04-29,8688,1292,890,42
2020-04-30,8249,1297,400,32
2020-05-01,7971,989,102,23
2020-05-02,11728,981,297,17
2020-05-03,9166,857,521,19
2020-05-04,9486,1108,166,38
2020-05-05,9893,2024,663,50
2020-05-06,10178,571,0,21
2020-05-07,12196,1791,1066,14
2020-05-08,12469,2301,279,37
2020-05-09,12778,1598,254,23
2020-05-10,13492,1747,492,47
2020-05-11,11377,2255,257,31
2020-05-12,10957,962,87,24
2020-05-13,11848,490,796,9
2020-05-14,13051,3011,1185,64
2020-05-15,13700,0,0,0
2020-05-16,14814,1352,461,39
2020-05-17,14146,1974,581,30
2020-05-18,13925,1841,567,36
2020-05-19,12957,1932,612,46
2020-05-20,13962,2193,1054,32
2020-05-21,15346,2603,1046,50
2020-05-22,16387,1743,1452,34
2020-05-23,14705,2164,545,32
2020-05-24,12915,1748,284,34
2020-05-25,10049,1356,832,30
2020-05-26,7252,1446,828,28
2020-05-27,8491,2076,1089,35
2020-05-28,8687,2801,2074,57
2020-05-29,11931,2429,1826,78
2020-05-30,12020,3039,1140,88
2020-05-31,14993,2964,812,60
2020-06-01,14106,3938,1027,78
2020-06-02,16838,4065,1813,67
