date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,107,0,0,0
2020-03-10,31,1,0,0
2020-03-11,42,7,0,1
2020-03-12,194,3,0,0
2020-03-13,239,16,0,0
2020-03-14,201,9,0,0
2020-03-15,107,7,0,0
2020-03-16,83,12,0,0
2020-03-17,241,14,0,0
2020-03-18,210,17,0,0
2020-03-19,313,23,0,0
2020-03-20,401,28,0,0
2020-03-21,303,63,0,0
2020-03-22,627,113,0,2
2020-03-23,286,32,0,3
2020-03-24,305,0,1,0
2020-03-25,558,98,0,2
2020-03-26,608,115,1,0
2020-03-27,366,116,0,1
2020-03-28,540,112,0,5
2020-03-29,398,115,2,3
2020-03-30,422,88,0,7
2020-03-31,362,192,5,6
2020-04-01,389,0,0,0
2020-04-02,608,136,0,2
2020-04-03,753,158,1,5
2020-04-04,562,198,3,4
2020-04-05,493,128,0,5
2020-04-06,548,187,0,8
2020-04-07,384,112,1,1
2020-04-08,1095,149,2,4
2020-04-09,676,279,0,4
2020-04-10,1046,224,0,3
2020-04-11,862,222,1,8
2020-04-12,625,260,6,5
2020-04-13,412,166,6,8
2020-04-14,486,72,32,7
2020-04-15,785,102,11,1
2020-04-16,962,177,3,8
2020-04-17,711,265,23,6
2020-04-18,497,194,24,7
2020-04-19,1013,63,18,4
2020-04-20,830,194,25,6
2020-04-21,871,191,39,10
2020-04-22,1150,163,27,5
2020-04-23,442,345,40,5
2020-04-24,759,172,48,8
2020-04-25,1021,200,19,5
2020-04-26,1199,241,0,6
2020-04-27,1098,242,117,2
2020-04-28,913,0,0,0
2020-04-29,1011,357,72,11
2020-04-30,884,154,49,10
2020-05-01,1048,188,46,4
2020-05-02,1467,370,19,5
2020-05-03,996,0,0,0
2020-05-04,992,107,0,3
2020-05-05,915,326,182,10
2020-05-06,1412,208,36,8
2020-05-07,1044,137,27,7
2020-05-08,1197,202,0,6
2020-05-09,1265,212,3615,6
2020-05-10,827,166,186,7
2020-05-11,980,168,0,5
2020-05-12,2389,167,1334,3
2020-05-13,0,161,46,4
2020-05-14,660,174,13,4
2020-05-15,868,150,0,6
2020-05-16,1295,181,0,3
2020-05-17,1215,157,1,6
2020-05-18,713,120,0,4
2020-05-19,697,141,113,2
2020-05-20,789,110,0,6
2020-05-21,1250,139,51,4
2020-05-22,1025,151,30,4
2020-05-23,1669,310,4,4
2020-05-24,1456,349,0,7
2020-05-25,1056,257,0,4
2020-05-26,1213,264,100,3
2020-05-27,1253,281,1000,2
2020-05-28,1253,403,0,5
2020-05-29,1407,400,161,6
2020-05-30,1487,487,1874,4
2020-05-31,1470,445,100,6
2020-06-01,928,374,0,8
2020-06-02,830,258,0,8
2020-06-03,1619,514,5,5
2020-06-04,1531,435,100,6
2020-06-05,1495,419,100,7
2020-06-06,1744,541,399,16
