date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,1,0,0,0
2020-03-08,0,1,0,0
2020-03-09,0,0,0,0
2020-03-10,8,0,0,0
2020-03-11,7,4,0,0
2020-03-12,6,0,0,0
2020-03-13,17,1,0,0
2020-03-14,15,0,0,0
2020-03-15,33,0,0,0
2020-03-16,27,2,0,0
2020-03-17,26,1,0,0
2020-03-18,24,2,0,0
2020-03-19,32,0,0,0
2020-03-20,44,2,0,0
2020-03-21,68,5,0,1
2020-03-22,37,4,0,0
2020-03-23,89,0,0,0
2020-03-24,91,5,0,1
2020-03-25,51,10,0,1
2020-03-26,78,4,0,0
2020-03-27,101,11,1,0
2020-03-28,60,4,0,0
2020-03-29,105,3,0,0
2020-03-30,68,5,0,0
2020-03-31,90,1,0,0
2020-04-01,95,4,0,0
2020-04-02,116,8,1,0
2020-04-03,165,15,4,0
2020-04-04,192,4,6,0
2020-04-05,200,8,0,0
2020-04-06,162,9,0,2
2020-04-07,212,2,3,0
2020-04-08,242,4,0,0
2020-04-09,223,5,3,0
2020-04-10,220,5,0,1
2020-04-11,230,4,0,0
2020-04-12,259,1,4,0
2020-04-13,248,13,0,0
2020-04-14,246,12,0,1
2020-04-15,379,2,1,1
2020-04-16,345,13,7,0
2020-04-17,338,25,0,0
2020-04-18,304,3,5,0
2020-04-19,247,4,6,0
2020-04-20,377,2,5,0
2020-04-21,414,0,7,0
2020-04-22,306,5,9,1
2020-04-23,319,0,5,0
2020-04-24,405,10,11,0
2020-04-25,308,5,7,0
2020-04-26,295,0,0,0
2020-04-27,519,0,8,0
2020-04-28,447,11,9,0
2020-04-29,563,0,0,0
2020-04-30,449,27,11,1
2020-05-01,439,67,2,0
2020-05-02,424,37,4,0
2020-05-03,340,26,7,0
2020-05-04,349,19,4,0
2020-05-05,458,16,5,0
2020-05-06,584,9,7,0
2020-05-07,599,22,6,0
2020-05-08,750,101,4,0
2020-05-09,800,126,3,0
2020-05-10,800,24,10,0
2020-05-11,709,11,5,0
2020-05-12,762,13,3,0
2020-05-13,672,3,9,1
2020-05-14,595,14,2,0
2020-05-15,672,5,9,0
2020-05-16,452,19,5,0
2020-05-17,816,8,4,0
2020-05-18,305,2,17,0
2020-05-19,692,41,11,0
2020-05-20,421,4,12,0
2020-05-21,445,3,14,0
2020-05-22,881,2,8,0
2020-05-23,937,12,34,0
2020-05-24,1007,12,9,0
2020-05-25,404,3,37,0
2020-05-26,953,12,38,0
2020-05-27,591,7,10,0
2020-05-28,665,16,10,0
2020-05-29,912,17,11,0
2020-05-30,816,47,53,0
2020-05-31,851,22,11,0
2020-06-01,830,9,11,0
2020-06-02,1272,18,10,0
2020-06-03,975,57,13,0
2020-06-04,1159,16,0,0
2020-06-05,1018,1,5,0
2020-06-06,1115,3,16,0
2020-06-07,1159,45,43,0
2020-06-08,1410,10,28,0
