date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,5,0,0
2020-03-08,0,0,0,0
2020-03-09,0,3,0,0
2020-03-10,0,2,0,0
2020-03-11,0,6,0,0
2020-03-12,0,5,0,0
2020-03-13,0,16,0,0
2020-03-14,0,5,0,0
2020-03-15,0,28,0,0
2020-03-16,0,15,1,0
2020-03-17,0,31,0,0
2020-03-18,0,28,0,0
2020-03-19,0,89,0,3
2020-03-20,0,29,0,1
2020-03-21,0,55,0,1
2020-03-22,0,43,0,0
2020-03-23,0,34,0,0
2020-03-24,0,21,0,2
2020-03-25,0,64,0,2
2020-03-26,0,100,13,0
2020-03-27,0,55,2,2
2020-03-28,0,36,0,5
2020-03-29,0,181,0,2
2020-03-30,0,98,253,6
2020-03-31,0,115,125,6
2020-04-01,0,258,53,17
2020-04-02,0,91,90,8
2020-04-03,0,181,90,6
2020-04-04,0,151,287,12
2020-04-05,0,535,75,10
2020-04-06,0,280,8,9
2020-04-07,0,393,234,15
2020-04-08,39599,1388,102,14
2020-04-09,8866,914,105,17
2020-04-10,8216,641,131,31
2020-04-11,9031,951,170,12
2020-04-12,10610,671,59,12
2020-04-13,10844,2265,844,23
2020-04-14,14819,519,227,14
2020-04-15,7400,1172,239,24
2020-04-16,12083,1016,3012,20
2020-04-17,6045,998,421,26
2020-04-18,8382,931,143,48
2020-04-19,7850,1208,127,52
2020-04-20,4266,697,157,45
2020-04-21,8197,1512,14,39
2020-04-22,14192,1413,45,46
2020-04-23,14838,1664,395,42
2020-04-24,13111,734,74,62
2020-04-25,19846,3683,301,66
2020-04-26,14552,2186,291,28
2020-04-27,6816,1182,337,54
2020-04-28,28049,2491,754,72
2020-04-29,28650,2741,858,89
2020-04-30,21990,3045,368,108
2020-05-01,24246,3483,724,73
2020-05-02,13106,2075,1305,76
2020-05-03,19492,3394,1116,86
2020-05-04,14213,1444,877,58
2020-05-05,17270,3817,986,100
2020-05-06,22879,3628,2114,89
2020-05-07,18562,3709,861,94
2020-05-08,25170,3321,624,87
2020-05-09,21060,3168,1234,100
2020-05-10,10680,2292,1103,75
2020-05-11,7939,1515,1057,72
2020-05-12,19300,3237,918,96
2020-05-13,21133,4247,1000,112
2020-05-14,33990,4298,827,98
2020-05-15,18091,3891,1996,125
2020-05-16,25099,4046,1125,131
2020-05-17,20131,3732,349,125
2020-05-18,10519,2660,1685,141
2020-05-19,18450,4550,6218,125
2020-05-20,35841,4537,5444,110
2020-05-21,21077,4749,1619,124
2020-05-22,14026,2929,1261,96
2020-05-23,37815,4056,3067,129
2020-05-24,32626,4205,1880,83
2020-05-25,19955,4020,1154,173
2020-05-26,34799,5772,1957,159
2020-05-27,29557,6154,3263,195
2020-05-28,23519,5874,3273,116
2020-05-29,34820,6506,3349,131
2020-05-30,49091,7386,3656,141
2020-05-31,46166,8805,761,135
2020-06-01,17785,5563,1299,128
