date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,1,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,1,0,1
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,1,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,1,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,2,0,0
2020-03-07,0,1,0,0
2020-03-08,0,4,0,0
2020-03-09,0,10,0,0
2020-03-10,0,13,1,0
2020-03-11,0,16,0,0
2020-03-12,0,3,0,1
2020-03-13,0,12,0,3
2020-03-14,0,47,0,3
2020-03-15,0,29,0,3
2020-03-16,0,2,0,1
2020-03-17,0,45,3,0
2020-03-18,0,15,0,7
2020-03-19,0,15,3,-2
2020-03-20,0,13,0,1
2020-03-21,0,77,5,1
2020-03-22,0,73,4,6
2020-03-23,0,82,0,8
2020-03-24,0,90,3,2
2020-03-25,0,84,6,3
2020-03-26,0,71,2,7
2020-03-27,0,96,3,9
2020-03-28,0,272,4,14
2020-03-29,0,343,7,3
2020-03-30,0,128,0,7
2020-03-31,0,538,7,10
2020-04-01,0,227,1,8
2020-04-02,0,322,1,11
2020-04-03,20276,385,1,29
2020-04-04,2407,76,5,8
2020-04-05,344,152,7,8
2020-04-06,1700,414,9,11
2020-04-07,1685,104,11,14
2020-04-08,3125,106,12,5
2020-04-09,1989,206,28,21
2020-04-10,1244,119,16,18
2020-04-11,1302,233,17,26
2020-04-12,1710,220,40,50
2020-04-13,2387,284,45,18
2020-04-14,1829,291,53,20
2020-04-15,2625,230,58,14
2020-04-16,3490,207,82,13
2020-04-17,3421,218,52,25
2020-04-18,3657,209,29,10
2020-04-19,2317,172,56,12
2020-04-20,2323,200,41,19
2020-04-21,2870,140,41,9
2020-04-22,3620,111,39,9
2020-04-23,3726,271,29,16
2020-04-24,4167,211,40,15
2020-04-25,4417,102,30,17
2020-04-26,3876,285,70,7
2020-04-27,4428,198,70,10
2020-04-28,4434,181,43,19
2020-04-29,5019,254,48,28
2020-04-30,4802,276,20,10
2020-05-01,3932,284,41,11
2020-05-02,5208,156,40,24
2020-05-03,4487,295,90,4
2020-05-04,5464,262,101,16
2020-05-05,6555,199,93,14
2020-05-06,5137,320,98,21
2020-05-07,5401,339,112,27
2020-05-08,5532,120,116,11
2020-05-09,7130,147,108,8
2020-05-10,8757,184,82,15
2020-05-11,8514,292,75,7
2020-05-12,8512,264,107,25
2020-05-13,8766,268,145,21
2020-05-14,16620,258,86,18
2020-05-15,10529,215,123,16
2020-05-16,9490,214,101,11
2020-05-17,9095,208,74,7
2020-05-18,5394,205,94,7
2020-05-19,7354,224,114,6
2020-05-20,8215,279,89,5
2020-05-21,8690,213,68,4
2020-05-22,8999,163,92,11
2020-05-23,7645,180,85,6
2020-05-24,5892,258,72,5
2020-05-25,5421,284,74,5
2020-05-26,7290,350,89,13
2020-05-27,7722,380,94,18
2020-05-28,9283,539,92,17
2020-05-29,8530,1046,122,21
2020-05-30,9390,590,88,8
2020-05-31,8973,862,101,7
2020-06-01,7453,552,70,3
2020-06-02,10655,359,84,6
2020-06-03,10743,751,90,8
2020-06-04,10306,634,95,10
2020-06-05,10498,244,82,3
