date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,1,0,0
2020-03-05,0,0,0,0
2020-03-06,0,4,0,0
2020-03-07,0,0,0,0
2020-03-08,0,6,0,0
2020-03-09,0,5,0,0
2020-03-10,0,6,0,0
2020-03-11,0,9,0,0
2020-03-12,0,18,0,1
2020-03-13,0,19,0,1
2020-03-14,0,35,0,1
2020-03-15,0,16,0,0
2020-03-16,0,58,13,1
2020-03-17,0,61,0,1
2020-03-18,0,13,0,0
2020-03-19,0,104,-12,0
2020-03-20,0,70,0,0
2020-03-21,0,111,0,0
2020-03-22,0,98,0,2
2020-03-23,0,115,0,1
2020-03-24,0,152,0,2
2020-03-25,0,150,6,4
2020-03-26,0,170,0,2
2020-03-27,0,168,0,0
2020-03-28,0,249,0,2
2020-03-29,0,224,0,4
2020-03-30,0,193,0,9
2020-03-31,0,256,0,2
2020-04-01,0,243,40,10
2020-04-02,0,392,9,14
2020-04-03,0,437,0,14
2020-04-04,0,244,60,8
2020-04-05,0,475,18,15
2020-04-06,0,311,28,13
2020-04-07,0,435,29,22
2020-04-08,0,357,31,30
2020-04-09,0,370,62,15
2020-04-10,0,380,34,7
2020-04-11,0,401,57,27
2020-04-12,0,318,64,24
2020-04-13,0,260,48,13
2020-04-14,0,268,131,18
2020-04-15,0,380,50,23
2020-04-16,0,336,106,28
2020-04-17,0,461,92,18
2020-04-18,0,363,115,15
2020-04-19,0,545,59,13
2020-04-20,0,306,93,20
2020-04-21,0,263,164,21
2020-04-22,0,313,216,25
2020-04-23,0,342,227,28
2020-04-24,0,381,204,40
2020-04-25,0,381,182,30
2020-04-26,0,344,139,11
2020-04-27,0,285,201,27
2020-04-28,281787,316,189,34
2020-04-29,12802,422,370,28
2020-04-30,12509,237,211,20
2020-05-01,15651,228,255,7
2020-05-02,10613,270,271,13
2020-05-03,9382,318,183,14
2020-05-04,7304,313,150,20
2020-05-05,9642,425,185,18
2020-05-06,15004,309,375,17
2020-05-07,14382,307,207,22
2020-05-08,16206,319,322,21
2020-05-09,15886,285,253,9
2020-05-10,15473,345,261,15
2020-05-11,13613,330,118,11
2020-05-12,15722,595,315,28
2020-05-13,19193,283,279,22
2020-05-14,21564,411,286,22
2020-05-15,20162,401,222,24
2020-05-16,22897,241,257,8
2020-05-17,17263,272,276,10
2020-05-18,14416,356,177,11
2020-05-19,16254,383,275,12
2020-05-20,20242,471,280,14
2020-05-21,21556,404,269,10
2020-05-22,21277,476,279,10
2020-05-23,26280,312,246,11
2020-05-24,14889,395,217,3
2020-05-25,10706,305,82,11
2020-05-26,21026,443,744,17
2020-05-27,19974,399,310,4
2020-05-28,19950,352,230,10
2020-05-29,24851,330,132,13
2020-05-30,23335,416,324,10
2020-05-31,14487,215,255,3
2020-06-01,14119,379,178,10
2020-06-02,12466,230,277,18
2020-06-03,19024,292,288,23
2020-06-04,21579,361,213,2
2020-06-05,21410,362,183,20
2020-06-06,20752,576,231,16
