date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,25,0,0,0
2020-03-02,45,2,0,0
2020-03-03,61,2,0,0
2020-03-04,40,2,0,0
2020-03-05,80,3,0,0
2020-03-06,81,4,0,0
2020-03-07,79,8,0,0
2020-03-08,84,9,0,0
2020-03-09,175,9,0,0
2020-03-10,306,2,0,0
2020-03-11,580,18,0,0
2020-03-12,938,19,0,0
2020-03-13,1551,34,0,0
2020-03-14,1253,57,1,0
2020-03-15,951,76,1,0
2020-03-16,1677,86,1,0
2020-03-17,2304,117,0,1
2020-03-18,2458,194,0,0
2020-03-19,2490,143,0,2
2020-03-20,3215,235,2,3
2020-03-21,2516,260,0,6
2020-03-22,2109,320,0,2
2020-03-23,4181,460,9,9
2020-03-24,5015,302,8,10
2020-03-25,5309,633,0,10
2020-03-26,6689,549,21,17
2020-03-27,7877,724,0,16
2020-03-28,6893,902,0,24
2020-03-29,5032,792,0,19
2020-03-30,7953,446,0,21
2020-03-31,7942,1035,0,20
2020-04-01,8630,808,0,27
2020-04-02,9257,783,25,22
2020-04-03,9438,852,0,37
2020-04-04,9055,638,7,20
2020-04-05,6716,754,0,29
2020-04-06,9186,452,65,16
2020-04-07,10557,712,44,34
2020-04-08,11402,699,12,35
2020-04-09,12209,815,9,29
2020-04-10,10187,1516,28,26
2020-04-11,9101,515,33,35
2020-04-12,5210,598,11,34
2020-04-13,8887,349,0,31
2020-04-14,11920,514,70,32
2020-04-15,13628,643,36,32
2020-04-16,13400,750,110,30
2020-04-17,14717,181,26,28
2020-04-18,12779,663,91,30
2020-04-19,9502,521,0,27
2020-04-20,11003,657,0,21
2020-04-21,14829,516,307,27
2020-04-22,15432,603,226,23
2020-04-23,15091,371,58,35
2020-04-24,14725,444,27,34
2020-04-25,13440,474,49,26
2020-04-26,8235,412,52,23
2020-04-27,12148,163,28,25
2020-04-28,15504,295,32,20
2020-04-29,14768,183,81,25
2020-04-30,16373,368,49,16
2020-05-01,12652,295,128,18
2020-05-02,10533,203,24,16
2020-05-03,8399,92,18,20
2020-05-04,11856,242,23,20
2020-05-05,16119,178,31,11
2020-05-06,15698,480,333,15
2020-05-07,15946,533,182,16
2020-05-08,15342,553,164,9
2020-05-09,13453,138,77,12
2020-05-10,7482,175,50,9
2020-05-11,12689,98,0,9
2020-05-12,16505,234,464,19
2020-05-13,18169,219,169,12
2020-05-14,18282,187,16,9
2020-05-15,20448,264,130,6
2020-05-16,15963,227,494,13
2020-05-17,8945,226,814,15
2020-05-18,12048,173,1794,13
2020-05-19,16121,223,1,16
2020-05-20,15390,228,21,16
2020-05-21,15247,252,0,14
2020-05-22,15154,288,1138,12
2020-05-23,10735,271,115,13
2020-05-24,5710,152,9844,14
2020-05-25,11843,165,273,14
2020-05-26,15013,219,274,12
2020-05-27,17164,285,253,14
2020-05-28,16869,304,288,13
2020-05-29,16029,350,274,14
2020-05-30,12605,257,275,13
2020-05-31,6522,297,223,14
2020-06-01,11523,200,143,14
2020-06-02,15542,195,317,12
2020-06-03,17079,366,210,11
