date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,2,0,0
2020-03-02,0,0,0,0
2020-03-03,0,4,0,0
2020-03-04,0,1,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,7,0,0
2020-03-09,0,3,0,0
2020-03-10,0,6,0,0
2020-03-11,0,238,0,0
2020-03-12,5309,0,0,0
2020-03-13,0,58,0,0
2020-03-14,1479,17,4,0
2020-03-15,1162,64,0,0
2020-03-16,425,38,0,0
2020-03-17,172,0,0,0
2020-03-18,326,13,0,0
2020-03-19,587,8,0,0
2020-03-20,456,10,6,0
2020-03-21,442,11,17,0
2020-03-22,499,13,6,0
2020-03-23,497,7,0,0
2020-03-24,177,25,8,0
2020-03-25,727,11,0,0
2020-03-26,1423,12,2,0
2020-03-27,1164,13,0,0
2020-03-28,1737,28,2,1
2020-03-29,2295,44,3,0
2020-03-30,1181,59,3,0
2020-03-31,2291,88,11,1
2020-04-01,2476,54,9,0
2020-04-02,1435,114,1,1
2020-04-03,2153,126,21,0
2020-04-04,3538,250,16,0
2020-04-05,3806,279,14,1
2020-04-06,2351,228,8,0
2020-04-07,3710,225,19,2
2020-04-08,0,153,28,0
2020-04-09,1326,166,28,0
2020-04-10,2195,136,21,0
2020-04-11,2412,216,20,0
2020-04-12,1351,251,28,1
2020-04-13,1726,252,59,0
2020-04-14,1794,197,39,0
2020-04-15,1862,283,33,0
2020-04-16,1897,392,9,0
2020-04-17,1947,560,49,0
2020-04-18,1811,345,46,1
2020-04-19,2399,440,8,0
2020-04-20,2082,567,37,1
2020-04-21,2105,518,59,0
2020-04-22,3287,608,75,1
2020-04-23,3445,623,61,0
2020-04-24,2431,761,59,0
2020-04-25,3817,833,120,0
2020-04-26,2584,929,83,0
2020-04-27,3420,957,54,0
2020-04-28,2898,677,68,0
2020-04-29,2808,643,109,0
2020-04-30,3085,845,129,0
2020-05-01,3226,687,64,2
2020-05-02,4002,776,98,0
2020-05-03,2707,679,130,0
2020-05-04,2360,640,146,0
2020-05-05,2967,951,114,0
2020-05-06,3201,830,146,0
2020-05-07,3532,918,216,0
2020-05-08,3963,1311,84,0
2020-05-09,4096,1130,79,1
2020-05-10,3215,1189,304,1
2020-05-11,3275,1103,87,0
2020-05-12,4250,1526,179,0
2020-05-13,3833,1390,124,0
2020-05-14,4811,1733,213,0
2020-05-15,4235,1153,190,0
2020-05-16,4531,1547,242,1
2020-05-17,4866,1632,582,0
2020-05-18,4125,1365,529,0
2020-05-19,4487,1637,735,0
2020-05-20,4255,1491,966,1
2020-05-21,5045,1554,688,1
2020-05-22,5160,1830,605,2
2020-05-23,4152,1732,620,2
2020-05-24,3349,1501,657,2
2020-05-25,4341,1751,1193,3
2020-05-26,3927,1742,1481,2
2020-05-27,4769,1740,1439,2
2020-05-28,5853,1967,2116,3
2020-05-29,5864,1993,5205,3
2020-05-30,5091,2355,5235,0
2020-05-31,4081,1648,4451,2
2020-06-01,3850,1523,3147,2
2020-06-02,5179,1826,2599,3
