date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,2,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,2,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,0,0,0
2020-03-04,46414,0,0,0
2020-03-05,4952,1,0,0
2020-03-06,4322,9,0,0
2020-03-07,4272,0,0,0
2020-03-08,3231,4,1,0
2020-03-09,0,0,0,0
2020-03-10,7410,3,0,0
2020-03-11,6362,0,0,0
2020-03-12,0,8,0,0
2020-03-13,17889,17,0,0
2020-03-14,10031,14,5,0
2020-03-15,5056,4,0,0
2020-03-16,6122,27,0,0
2020-03-17,6793,24,0,0
2020-03-18,10247,33,0,0
2020-03-19,10418,52,1,1
2020-03-20,12497,54,0,0
2020-03-21,7513,53,3,0
2020-03-22,2243,61,4,0
2020-03-23,20146,71,0,0
2020-03-24,6906,57,6,0
2020-03-25,4427,163,7,2
2020-03-26,26258,182,9,0
2020-03-27,19868,196,7,1
2020-03-28,20511,228,4,0
2020-03-29,79635,270,15,4
2020-03-30,0,302,2,1
2020-03-31,62977,501,55,8
2020-04-01,129500,440,69,7
2020-04-02,39103,771,45,6
2020-04-03,64503,601,46,4
2020-04-04,57398,582,52,9
2020-04-05,61397,658,22,2
2020-04-06,37122,954,51,2
2020-04-07,114698,1154,88,11
2020-04-08,94498,1175,86,5
2020-04-09,88092,1459,118,13
2020-04-10,91631,1786,97,18
2020-04-11,94305,1667,250,12
2020-04-12,81246,2186,246,24
2020-04-13,66021,2558,179,18
2020-04-14,91978,2774,224,22
2020-04-15,95421,3388,292,28
2020-04-16,104606,3448,318,34
2020-04-17,113873,4070,286,41
2020-04-18,117921,4785,467,40
2020-04-19,103506,6060,234,48
2020-04-20,89285,4268,155,44
2020-04-21,109935,5642,427,51
2020-04-22,149077,5236,547,57
2020-04-23,150384,4774,471,42
2020-04-24,169500,5849,677,60
2020-04-25,156199,5966,682,66
2020-04-26,141735,6361,517,66
2020-04-27,119824,6198,579,47
2020-04-28,164459,6411,1110,73
2020-04-29,194591,5841,1830,105
2020-04-30,225499,7099,1333,101
2020-05-01,221711,7933,1601,96
2020-05-02,154481,9623,1793,53
2020-05-03,203244,10633,1626,58
2020-05-04,157114,10581,1456,76
2020-05-05,173374,10102,1770,95
2020-05-06,169461,10559,1462,86
2020-05-07,184276,11231,2476,88
2020-05-08,234496,10699,2805,98
2020-05-09,226499,10817,5308,104
2020-05-10,188300,11012,2390,88
2020-05-11,168641,11656,5495,94
2020-05-12,177154,10899,3711,107
2020-05-13,205544,10028,4491,96
2020-05-14,225846,9974,5527,93
2020-05-15,242392,10598,4696,113
2020-05-16,259748,9200,4940,119
2020-05-17,230926,9709,4207,94
2020-05-18,205302,8926,2836,91
2020-05-19,225713,9263,5921,115
2020-05-20,262851,8764,9262,135
2020-05-21,285746,8849,7289,127
2020-05-22,276121,8894,7144,150
2020-05-23,282558,9434,8111,139
2020-05-24,260079,8599,5363,153
2020-05-25,215206,8946,5499,92
2020-05-26,255402,8915,12331,174
2020-05-27,285288,8338,11079,161
2020-05-28,298781,8371,8785,174
2020-05-29,316139,8572,8264,232
