date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,160,1,0,0
2020-03-03,240,0,0,0
2020-03-04,298,0,0,0
2020-03-05,487,4,0,0
2020-03-06,1024,0,0,0
2020-03-07,1982,0,0,0
2020-03-08,1788,6,0,0
2020-03-09,2201,4,0,0
2020-03-10,3655,5,1,0
2020-03-11,2999,1,0,0
2020-03-12,3644,24,0,0
2020-03-13,3890,41,0,0
2020-03-14,2983,17,0,0
2020-03-15,2704,0,0,0
2020-03-16,3555,15,1,0
2020-03-17,4208,53,4,0
2020-03-18,3605,0,0,0
2020-03-19,4238,103,0,0
2020-03-20,4776,70,2,0
2020-03-21,5698,48,8,0
2020-03-22,6033,119,0,0
2020-03-23,7002,51,0,0
2020-03-24,5911,205,12,1
2020-03-25,4997,133,1,1
2020-03-26,5673,112,4,1
2020-03-27,6109,92,2,0
2020-03-28,5944,99,2,1
2020-03-29,6265,96,29,4
2020-03-30,6894,154,49,0
2020-03-31,7362,110,50,2
2020-04-01,7381,157,99,6
2020-04-02,7688,165,64,5
2020-04-03,8012,154,23,4
2020-04-04,7779,140,69,4
2020-04-05,6778,223,68,5
2020-04-06,6832,203,63,4
2020-04-07,6384,190,64,3
2020-04-08,6387,137,16,0
2020-04-09,6819,355,35,3
2020-04-10,7441,364,19,3
2020-04-11,8993,382,35,5
2020-04-12,7365,429,41,7
2020-04-13,8219,472,44,6
2020-04-14,8388,435,84,8
2020-04-15,7669,493,42,6
2020-04-16,8256,518,59,4
2020-04-17,9006,762,59,4
2020-04-18,8733,1132,280,5
2020-04-19,9578,1088,69,5
2020-04-20,9260,1122,92,6
2020-04-21,9222,1147,150,6
2020-04-22,10340,1141,172,5
2020-04-23,8547,1158,113,7
2020-04-24,10203,1172,124,6
2020-04-25,9055,1197,166,9
2020-04-26,8967,1223,142,3
2020-04-27,9325,1289,174,5
2020-04-28,10887,1266,253,8
2020-04-29,9658,1325,169,5
2020-04-30,9288,1351,210,5
2020-05-01,12820,1344,392,7
2020-05-02,12780,1362,210,7
2020-05-03,12006,1552,369,8
2020-05-04,11514,1645,342,7
2020-05-05,13052,1595,955,9
2020-05-06,16026,1687,1352,9
2020-05-07,13037,1793,1015,10
2020-05-08,14778,1701,1322,10
2020-05-09,16144,1704,1024,10
2020-05-10,17725,1912,1313,7
2020-05-11,15005,1966,1280,9
2020-05-12,14574,1911,2520,9
2020-05-13,16639,1905,2365,9
2020-05-14,16678,2039,1429,10
2020-05-15,17758,2307,2818,9
2020-05-16,38382,2840,1797,10
2020-05-17,15549,2736,2056,10
2020-05-18,16130,2593,3026,8
2020-05-19,18094,2509,2886,9
2020-05-20,14980,2691,1844,10
2020-05-21,15899,2532,2562,12
2020-05-22,17558,2642,2963,13
2020-05-23,18919,2442,2233,15
2020-05-24,18545,2399,2284,11
2020-05-25,16664,2235,2148,9
2020-05-26,15525,1931,2782,12
2020-05-27,16428,1815,2572,14
2020-05-28,16769,1644,3531,16
2020-05-29,19104,1581,2460,17
2020-05-30,16200,1618,1870,22
