date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,1,0,0
2020-01-24,0,2,0,0
2020-01-25,0,0,0,0
2020-01-26,0,1,0,0
2020-01-27,0,1,0,0
2020-01-28,0,2,0,0
2020-01-29,0,0,0,0
2020-01-30,0,3,0,0
2020-01-31,0,3,0,0
2020-02-01,0,3,0,0
2020-02-02,0,2,0,0
2020-02-03,0,0,0,0
2020-02-04,0,6,0,0
2020-02-05,0,4,0,0
2020-02-06,0,0,0,0
2020-02-07,0,2,0,0
2020-02-08,0,3,2,0
2020-02-09,0,7,0,0
2020-02-10,0,5,0,0
2020-02-11,0,2,7,0
2020-02-12,0,3,6,0
2020-02-13,0,8,0,0
2020-02-14,0,9,2,0
2020-02-15,0,5,1,0
2020-02-16,0,3,0,0
2020-02-17,0,2,6,0
2020-02-18,0,4,5,0
2020-02-19,0,3,5,0
2020-02-20,0,0,0,0
2020-02-21,0,1,3,0
2020-02-22,0,0,0,0
2020-02-23,0,4,14,0
2020-02-24,0,0,0,0
2020-02-25,0,2,2,0
2020-02-26,0,2,9,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,9,10,0
2020-03-01,0,4,0,0
2020-03-02,0,2,6,0
2020-03-03,0,2,0,0
2020-03-04,0,0,0,0
2020-03-05,0,7,0,0
2020-03-06,0,13,0,0
2020-03-07,0,8,0,0
2020-03-08,0,12,0,0
2020-03-09,0,0,0,0
2020-03-10,0,10,0,0
2020-03-11,0,18,18,0
2020-03-12,0,0,0,0
2020-03-13,0,22,1,0
2020-03-14,0,12,8,0
2020-03-15,0,14,0,0
2020-03-16,0,17,4,0
2020-03-17,0,23,5,0
2020-03-18,0,47,0,0
2020-03-19,0,32,0,0
2020-03-20,0,40,10,0
2020-03-21,0,47,16,2
2020-03-22,0,23,4,0
2020-03-23,0,54,0,0
2020-03-24,0,49,12,0
2020-03-25,0,73,4,0
2020-03-26,0,52,12,0
2020-03-27,0,49,11,0
2020-03-28,0,70,15,0
2020-03-29,0,42,14,1
2020-03-30,0,35,16,0
2020-03-31,0,47,12,0
2020-04-01,0,74,5,0
2020-04-02,0,49,21,1
2020-04-03,0,65,16,1
2020-04-04,0,75,15,1
2020-04-05,0,120,23,0
2020-04-06,0,66,24,0
2020-04-07,72680,106,33,0
2020-04-08,0,142,29,0
2020-04-09,0,287,54,0
2020-04-10,0,198,32,1
2020-04-11,0,191,36,1
2020-04-12,0,233,32,0
2020-04-13,0,386,26,1
2020-04-14,22116,334,25,1
2020-04-15,0,447,41,0
2020-04-16,0,728,31,0
2020-04-17,0,623,25,1
2020-04-18,0,942,32,0
2020-04-19,0,596,28,0
2020-04-20,26978,1426,33,0
2020-04-21,0,1111,38,0
2020-04-22,0,1016,57,1
2020-04-23,0,1037,28,0
2020-04-24,0,897,32,0
2020-04-25,0,618,46,0
2020-04-26,0,931,58,0
2020-04-27,22145,799,35,2
2020-04-28,0,528,33,0
2020-04-29,0,690,60,0
2020-04-30,0,528,56,1
2020-05-01,0,932,24,1
2020-05-02,0,447,79,1
2020-05-03,0,657,61,1
2020-05-04,31685,573,49,0
2020-05-05,0,632,62,0
2020-05-06,0,788,115,2
2020-05-07,0,741,78,0
2020-05-08,0,768,328,0
2020-05-09,0,753,256,0
2020-05-10,70650,876,425,0
2020-05-11,0,486,504,1
2020-05-12,0,849,626,0
2020-05-13,0,675,958,0
2020-05-14,0,752,1164,0
2020-05-15,0,793,1275,0
2020-05-16,0,465,1094,1
2020-05-17,0,682,998,0
2020-05-18,48160,305,495,0
2020-05-19,0,451,530,0
2020-05-20,0,570,842,0
2020-05-21,0,448,910,1
2020-05-22,0,614,878,0
2020-05-23,0,642,887,0
2020-05-24,0,548,994,0
2020-05-25,40277,344,862,0
2020-05-26,0,383,706,0
2020-05-27,0,533,832,0
2020-05-28,0,373,1018,0
2020-05-29,0,611,1337,0
2020-05-30,0,506,1096,0
2020-05-31,0,518,972,0
2020-06-01,73804,408,767,1
2020-06-02,0,544,709,0
2020-06-03,0,569,407,0
2020-06-04,0,517,322,0
2020-06-05,0,261,305,0
2020-06-06,0,344,350,1
2020-06-07,0,383,327,0
2020-06-08,80200,386,482,0
