date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,0,0,0
2020-03-08,0,2,0,0
2020-03-09,0,0,0,0
2020-03-10,0,4,0,0
2020-03-11,0,3,0,0
2020-03-12,0,6,0,0
2020-03-13,0,16,0,0
2020-03-14,0,12,0,0
2020-03-15,1545,10,0,0
2020-03-16,368,9,0,0
2020-03-17,0,9,0,0
2020-03-18,78,33,0,1
2020-03-19,448,18,0,0
2020-03-20,268,14,0,0
2020-03-21,540,41,0,0
2020-03-22,242,7,7,-1
2020-03-23,29,1,0,0
2020-03-24,0,18,0,0
2020-03-25,0,12,0,0
2020-03-26,2146,10,-5,0
2020-03-27,0,43,0,0
2020-03-28,1467,23,0,0
2020-03-29,0,22,0,0
2020-03-30,0,22,5,0
2020-03-31,0,27,-4,0
2020-04-01,0,37,0,1
2020-04-02,4611,26,2,0
2020-04-03,1889,24,5,0
2020-04-04,1524,21,0,0
2020-04-05,0,14,0,0
2020-04-06,0,49,-2,1
2020-04-07,0,47,5,0
2020-04-08,6216,101,3,0
2020-04-09,2301,19,7,0
2020-04-10,2174,14,0,0
2020-04-11,1580,13,0,0
2020-04-12,1324,14,0,0
2020-04-13,1302,27,84,0
2020-04-14,1439,66,6,0
2020-04-15,2967,28,38,4
2020-04-16,3351,114,16,2
2020-04-17,3144,72,8,1
2020-04-18,3323,40,38,2
2020-04-19,2458,72,16,1
2020-04-20,2694,12,22,1
2020-04-21,4465,26,7,1
2020-04-22,0,45,26,0
2020-04-23,3528,81,4,1
2020-04-24,3840,35,67,2
2020-04-25,4828,13,31,0
2020-04-26,4839,6,8,1
2020-04-27,3171,2,9,0
2020-04-28,1767,3,20,2
2020-04-29,5472,7,61,2
2020-04-30,4584,5,40,1
2020-05-01,5150,7,34,0
2020-05-02,3698,4,50,1
2020-05-03,1450,1,11,0
2020-05-04,1584,5,24,1
2020-05-05,2060,8,98,0
2020-05-06,4742,8,21,0
2020-05-07,5161,16,44,1
2020-05-08,4694,10,99,0
2020-05-09,3910,0,14,0
2020-05-10,1488,2,22,0
2020-05-11,786,0,18,0
2020-05-12,2063,8,24,1
2020-05-13,4326,4,77,0
2020-05-14,4876,8,52,0
2020-05-15,3992,3,19,0
2020-05-16,4084,13,20,1
2020-05-17,2476,1,12,0
2020-05-18,971,1,22,0
2020-05-19,2041,0,7,0
2020-05-20,3371,1,39,0
2020-05-21,0,6,14,0
2020-05-22,5684,1,11,0
2020-05-23,2236,1,24,0
2020-05-24,1649,5,21,0
2020-05-25,645,2,6,0
2020-05-26,1464,2,15,0
2020-05-27,2839,2,5,0
2020-05-28,2352,5,5,0
2020-05-29,1848,0,6,0
2020-05-30,3433,1,18,0
2020-05-31,1606,0,10,0
2020-06-01,274,1,2,0
2020-06-02,6418,0,4,0
2020-06-03,2336,3,3,0
2020-06-04,2135,1,1,0
2020-06-05,1832,0,3,0
