date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,3863,131,0,0
2020-03-13,1197,48,0,0
2020-03-14,916,36,0,1
2020-03-15,590,35,0,0
2020-03-16,871,27,0,0
2020-03-17,1121,10,0,0
2020-03-18,1026,32,0,0
2020-03-19,1184,23,0,0
2020-03-20,1242,26,0,0
2020-03-21,872,38,0,0
2020-03-22,731,34,0,0
2020-03-23,1257,36,0,2
2020-03-24,1243,50,0,1
2020-03-25,1181,36,10,1
2020-03-26,1075,70,0,2
2020-03-27,1387,52,0,2
2020-03-28,997,46,0,2
2020-03-29,596,26,0,0
2020-03-30,1125,46,0,2
2020-03-31,1288,39,0,2
2020-04-01,1095,56,0,1
2020-04-02,1064,37,60,4
2020-04-03,1188,43,0,2
2020-04-04,655,20,9,6
2020-04-05,489,24,0,2
2020-04-06,1202,34,23,6
2020-04-07,1214,36,0,4
2020-04-08,1144,33,18,3
2020-04-09,1234,36,8,2
2020-04-10,1232,28,9,5
2020-04-11,572,17,11,3
2020-04-12,554,7,2,2
2020-04-13,541,8,2,1
2020-04-14,1168,27,0,5
2020-04-15,1023,21,13,0
2020-04-16,1193,36,9,5
2020-04-17,1250,13,0,4
2020-04-18,685,13,16,4
2020-04-19,537,5,2,3
2020-04-20,1174,9,1,0
2020-04-21,1459,9,4,2
2020-04-22,1268,13,8,0
2020-04-23,1315,7,6,1
2020-04-24,1161,15,0,1
2020-04-25,794,8,8,1
2020-04-26,634,6,2,1
2020-04-27,683,6,0,3
2020-04-28,1317,10,2,3
2020-04-29,1341,11,7,2
2020-04-30,1352,5,3,2
2020-05-01,720,5,0,1
2020-05-02,500,0,6,2
2020-05-03,616,0,2,1
2020-05-04,1338,6,0,1
2020-05-05,1449,3,3,1
2020-05-06,1055,1,2,0
2020-05-07,1049,1,1,1
2020-05-08,1176,4,5,1
2020-05-09,625,3,3,1
2020-05-10,537,3,1,0
2020-05-11,1182,1,0,0
2020-05-12,1147,2,3,1
2020-05-13,984,1,1,0
2020-05-14,1023,1,7,0
2020-05-15,1151,0,3,0
2020-05-16,511,1,2,1
2020-05-17,479,0,1,0
2020-05-18,1128,1,1062,0
2020-05-19,981,1,3,1
2020-05-20,909,0,2,1
2020-05-21,882,0,0,0
2020-05-22,677,0,0,0
2020-05-23,341,0,0,1
2020-05-24,256,1,0,0
2020-05-25,754,0,6,1
2020-05-26,809,2,0,0
2020-05-27,631,2,8,0
2020-05-28,706,0,2,0
2020-05-29,613,0,1,0
2020-05-30,264,0,0,0
2020-05-31,246,0,1,1
2020-06-01,659,2,0,0
2020-06-02,807,2,0,0
2020-06-03,828,0,0,0
2020-06-04,828,2,1,0
2020-06-05,715,5,0,0
2020-06-06,229,1,0,0
