date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,61,0,0,0
2020-02-12,0,0,0,0
2020-02-13,6,0,0,0
2020-02-14,4,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,24,0,0,0
2020-02-20,11,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,10,0,0,0
2020-02-25,0,0,0,0
2020-02-26,5,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,39,0,0,0
2020-03-03,4,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,1,0,0
2020-03-06,36,0,0,0
2020-03-07,41,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,4,0,0
2020-03-10,0,0,0,0
2020-03-11,404,6,0,0
2020-03-12,203,3,0,0
2020-03-13,76,8,0,0
2020-03-14,93,14,0,0
2020-03-15,459,13,0,0
2020-03-16,929,11,0,0
2020-03-17,506,23,0,0
2020-03-18,159,31,0,0
2020-03-19,1762,34,0,0
2020-03-20,1606,52,0,0
2020-03-21,987,38,0,0
2020-03-22,1890,34,1,0
2020-03-23,3500,128,0,0
2020-03-24,2714,152,1,0
2020-03-25,0,155,2,0
2020-03-26,4942,218,0,0
2020-03-27,8066,243,27,1
2020-03-28,3426,17,0,0
2020-03-29,3630,93,0,1
2020-03-30,2816,46,0,1
2020-03-31,2663,27,0,2
2020-04-01,3220,27,0,0
2020-04-02,3673,82,14,0
2020-04-03,2396,43,0,4
2020-04-04,3576,80,0,0
2020-04-05,2936,70,0,2
2020-04-06,1225,31,0,1
2020-04-07,0,63,0,1
2020-04-08,5678,96,0,5
2020-04-09,5098,89,0,0
2020-04-10,4154,69,365,6
2020-04-11,2025,25,0,1
2020-04-12,5032,145,0,0
2020-04-13,3578,99,0,2
2020-04-14,3359,143,0,0
2020-04-15,3493,91,0,7
2020-04-16,4545,99,493,14
2020-04-17,5767,178,0,2
2020-04-18,7374,251,0,2
2020-04-19,6510,124,0,2
2020-04-20,6799,142,152,4
2020-04-21,5427,165,0,0
2020-04-22,6837,170,0,7
2020-04-23,9796,318,418,10
2020-04-24,8820,267,0,4
2020-04-25,8614,141,0,7
2020-04-26,7639,185,0,1
2020-04-27,9827,247,0,3
2020-04-28,7027,203,0,3
2020-04-29,11630,354,600,10
2020-04-30,10403,297,0,0
2020-05-01,9992,304,309,13
2020-05-02,13164,385,167,7
2020-05-03,15061,447,0,8
2020-05-04,11794,437,197,7
2020-05-05,10523,352,0,10
2020-05-06,11315,236,407,5
2020-05-07,12774,424,0,8
2020-05-08,15599,663,0,17
2020-05-09,16327,525,830,8
2020-05-10,17257,595,190,8
2020-05-11,14731,637,184,12
2020-05-12,13630,698,0,0
2020-05-13,16655,724,388,13
2020-05-14,16666,665,931,19
2020-05-15,18537,785,407,9
2020-05-16,18004,831,395,14
2020-05-17,21314,1160,528,3
2020-05-18,14198,918,292,22
2020-05-19,13538,767,662,26
2020-05-20,17252,803,990,27
2020-05-21,19572,1134,0,30
2020-05-22,17599,988,1154,28
2020-05-23,21338,1218,0,10
2020-05-24,19485,1240,996,22
2020-05-25,12922,1032,817,52
2020-05-26,9214,649,824,43
2020-05-27,29005,1673,710,28
2020-05-28,20727,1466,919,25
2020-05-29,24452,1837,723,34
2020-05-30,21708,1727,1023,32
2020-05-31,23242,1716,693,40
2020-06-01,17617,1674,482,22
2020-06-02,18792,1455,1022,50
2020-06-03,24445,1713,1369,37
