date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,1,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,1,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,2,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,4,0,0
2020-02-26,0,7,0,0
2020-02-27,0,2,0,0
2020-02-28,0,17,0,0
2020-02-29,0,13,0,0
2020-03-01,0,39,0,0
2020-03-02,0,36,0,0
2020-03-03,0,45,0,1
2020-03-04,0,57,0,1
2020-03-05,0,37,0,1
2020-03-06,0,141,0,2
2020-03-07,0,100,28,5
2020-03-08,0,173,0,7
2020-03-09,0,400,2,11
2020-03-10,0,622,0,7
2020-03-11,0,582,151,19
2020-03-12,0,0,0,1
2020-03-13,0,2955,10,78
2020-03-14,0,1159,324,62
2020-03-15,0,1407,0,94
2020-03-16,0,2144,13,53
2020-03-17,0,1806,498,191
2020-03-18,0,2162,53,90
2020-03-19,0,4053,26,207
2020-03-20,0,2447,481,213
2020-03-21,0,4964,537,332
2020-03-22,0,3394,450,397
2020-03-23,0,6368,0,539
2020-03-24,0,4749,1219,497
2020-03-25,0,9630,1573,839
2020-03-26,0,8271,1648,718
2020-03-27,0,7933,2342,773
2020-03-28,0,7516,2928,844
2020-03-29,0,6875,2424,821
2020-03-30,0,7846,2071,913
2020-03-31,0,7967,2479,748
2020-04-01,0,8195,3388,923
2020-04-02,0,7947,4096,961
2020-04-03,0,7134,3770,850
2020-04-04,0,6969,3706,749
2020-04-05,0,5478,3861,694
2020-04-06,0,5029,2357,700
2020-04-07,0,5267,2771,704
2020-04-08,0,6278,4813,747
2020-04-09,0,5002,4144,655
2020-04-10,0,5051,3503,634
2020-04-11,0,4754,3441,525
2020-04-12,0,3804,3282,603
2020-04-13,930230,3268,2336,547
2020-04-14,0,2442,2777,300
2020-04-15,0,5103,3349,652
2020-04-16,0,7304,3944,607
2020-04-17,0,5891,0,687
2020-04-18,0,887,0,41
2020-04-19,0,6948,2560,410
2020-04-20,0,1536,3230,399
2020-04-21,0,3968,1927,430
2020-04-22,0,4211,3401,435
2020-04-23,105292,4635,3335,440
2020-04-24,0,-10034,3105,367
2020-04-25,0,2915,3353,378
2020-04-26,0,1729,2664,288
2020-04-27,0,1831,2503,331
2020-04-28,0,1308,1673,301
2020-04-29,0,2144,6399,453
2020-04-30,315608,518,3103,268
2020-05-01,0,1781,0,0
2020-05-02,0,1366,5198,557
2020-05-03,0,884,1654,164
2020-05-04,0,545,2441,164
2020-05-05,0,1318,2143,185
2020-05-06,0,996,2516,244
2020-05-07,274081,1122,2509,213
2020-05-08,0,1410,2637,229
2020-05-09,0,721,2804,179
2020-05-10,0,772,2214,143
2020-05-11,0,3086,973,123
2020-05-12,0,594,1841,176
2020-05-13,0,661,1843,184
2020-05-14,294200,849,2551,217
2020-05-15,0,643,1409,138
2020-05-16,0,515,1663,104
2020-05-17,0,0,0,0
2020-05-18,0,908,3930,146
2020-05-19,0,431,0,69
2020-05-20,0,518,0,110
2020-05-21,302086,482,0,52
2020-05-22,0,1787,0,688
2020-05-23,0,466,0,50
2020-05-24,0,482,0,74
2020-05-25,0,-372,0,-1918
2020-05-26,0,859,0,283
2020-05-27,0,0,0,0
2020-05-28,314737,1647,0,2
2020-05-29,0,658,0,2
2020-05-30,0,664,0,4
2020-05-31,0,251,0,2
2020-06-01,0,159,0,0
