date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,4,0,0,0
2020-01-17,0,0,0,0
2020-01-18,1,0,0,0
2020-01-19,1,0,0,0
2020-01-20,2,0,0,0
2020-01-21,12,0,0,0
2020-01-22,44,1,0,0
2020-01-23,70,0,0,0
2020-01-24,57,2,0,0
2020-01-25,91,0,0,0
2020-01-26,117,1,0,0
2020-01-27,123,1,0,0
2020-01-28,95,3,0,0
2020-01-29,106,0,0,0
2020-01-30,100,1,0,0
2020-01-31,93,1,0,0
2020-02-01,87,0,0,0
2020-02-02,64,0,0,0
2020-02-03,131,0,0,0
2020-02-04,103,1,0,0
2020-02-05,157,0,0,0
2020-02-06,77,3,1,0
2020-02-07,199,2,0,0
2020-02-08,225,1,0,0
2020-02-09,128,1,0,0
2020-02-10,205,0,0,0
2020-02-11,168,0,0,0
2020-02-12,128,0,0,0
2020-02-13,115,0,0,0
2020-02-14,72,0,1,0
2020-02-15,89,0,0,0
2020-02-16,112,2,0,1
2020-02-17,813,0,0,0
2020-02-18,832,2,0,0
2020-02-19,696,1,0,0
2020-02-20,796,1,0,0
2020-02-21,714,2,0,0
2020-02-22,444,0,0,0
2020-02-23,328,2,0,0
2020-02-24,698,2,3,0
2020-02-25,609,1,0,0
2020-02-26,521,1,0,0
2020-02-27,520,0,0,0
2020-02-28,371,2,1,0
2020-02-29,511,5,3,0
2020-03-01,430,1,0,0
2020-03-02,600,1,3,0
2020-03-03,506,1,0,0
2020-03-04,485,0,0,0
2020-03-05,297,2,0,0
2020-03-06,381,1,0,0
2020-03-07,307,0,0,0
2020-03-08,298,0,1,0
2020-03-09,476,0,2,0
2020-03-10,332,2,2,0
2020-03-11,445,1,0,0
2020-03-12,677,1,3,0
2020-03-13,439,1,0,0
2020-03-14,379,3,0,0
2020-03-15,306,5,0,0
2020-03-16,730,8,0,0
2020-03-17,873,11,2,0
2020-03-18,1197,23,0,0
2020-03-19,1363,8,4,0
2020-03-20,1371,26,0,1
2020-03-21,1047,19,2,0
2020-03-22,811,16,0,0
2020-03-23,1139,26,0,0
2020-03-24,924,21,1,0
2020-03-25,938,19,0,0
2020-03-26,929,17,0,0
2020-03-27,864,15,0,0
2020-03-28,527,16,1,0
2020-03-29,835,15,0,0
2020-03-30,1023,8,9,3
2020-03-31,924,16,0,0
2020-04-01,1009,7,0,0
2020-04-02,822,10,6,0
2020-04-03,880,9,5,0
2020-04-04,864,7,0,0
2020-04-05,912,8,0,0
2020-04-06,1814,10,7,0
2020-04-07,1685,3,0,0
2020-04-08,1628,3,4,0
2020-04-09,1576,1,6,0
2020-04-10,1564,2,24,1
2020-04-11,1091,3,8,0
2020-04-12,664,3,10,0
2020-04-13,1340,5,0,0
2020-04-14,1204,0,15,0
2020-04-15,952,2,0,0
2020-04-16,903,0,31,0
2020-04-17,838,0,11,0
2020-04-18,557,3,12,0
2020-04-19,624,22,11,0
2020-04-20,1835,2,14,0
2020-04-21,1371,3,14,0
2020-04-22,1154,1,19,0
2020-04-23,1014,1,17,0
2020-04-24,827,1,11,0
2020-04-25,619,1,11,0
2020-04-26,495,0,6,0
2020-04-27,740,0,9,0
2020-04-28,694,0,17,0
2020-04-29,484,0,4,0
2020-04-30,495,0,11,0
2020-05-01,374,0,2,0
2020-05-02,380,3,0,0
2020-05-03,342,3,8,0
2020-05-04,528,3,2,0
2020-05-05,632,0,0,0
2020-05-06,451,1,5,0
2020-05-07,417,1,8,0
2020-05-08,402,0,8,0
2020-05-09,269,0,6,0
2020-05-10,267,0,5,0
2020-05-11,362,0,2,1
2020-05-12,349,0,4,0
2020-05-13,277,0,3,0
2020-05-14,274,0,8,0
2020-05-15,323,0,4,0
2020-05-16,220,0,2,0
2020-05-17,185,0,6,0
2020-05-18,269,0,3,0
2020-05-19,223,0,0,0
2020-05-20,226,0,0,0
2020-05-21,236,1,0,0
2020-05-22,187,0,10,0
2020-05-23,170,0,3,0
2020-05-24,183,0,3,0
2020-05-25,222,0,1,0
2020-05-26,299,0,1,0
2020-05-27,183,0,3,0
2020-05-28,170,0,1,0
2020-05-29,156,1,0,0
2020-05-30,174,0,1,0
2020-05-31,237,0,2,0
2020-06-01,186,1,4,0
2020-06-02,178,0,0,0
2020-06-03,188,0,1,0
2020-06-04,170,0,0,0
2020-06-05,184,0,1,0
2020-06-06,138,0,0,0
2020-06-07,108,0,1,0
2020-06-08,129,0,0,0
