date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,1,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,1,0,0
2020-01-18,0,0,1,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,1,0
2020-01-22,0,2,0,0
2020-01-23,0,0,0,0
2020-01-24,0,1,1,0
2020-01-25,0,1,0,0
2020-01-26,0,2,3,0
2020-01-27,0,0,0,0
2020-01-28,0,6,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,1,0
2020-01-31,0,5,1,0
2020-02-01,0,0,0,0
2020-02-02,0,0,1,0
2020-02-03,0,0,0,0
2020-02-04,0,6,1,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,7,0,0
2020-02-09,0,0,1,0
2020-02-10,0,0,0,0
2020-02-11,0,1,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,1,2,0
2020-02-16,0,0,2,0
2020-02-17,0,1,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,2,0
2020-02-21,0,0,2,0
2020-02-22,0,0,1,0
2020-02-23,0,0,1,0
2020-02-24,0,0,0,0
2020-02-25,0,2,1,0
2020-02-26,0,3,2,0
2020-02-27,0,0,0,0
2020-02-28,0,1,4,0
2020-02-29,0,1,0,0
2020-03-01,0,0,2,1
2020-03-02,0,1,1,0
2020-03-03,3680,0,0,0
2020-03-04,215,0,0,0
2020-03-05,128,4,0,0
2020-03-06,211,1,0,0
2020-03-07,132,2,0,0
2020-03-08,152,0,2,0
2020-03-09,164,0,0,0
2020-03-10,166,3,0,0
2020-03-11,384,6,1,0
2020-03-12,264,11,1,0
2020-03-13,217,5,0,0
2020-03-14,0,7,0,0
2020-03-15,832,32,2,0
2020-03-16,500,33,1,0
2020-03-17,0,30,3,0
2020-03-18,1112,35,1,0
2020-03-19,572,60,0,0
2020-03-20,941,50,1,0
2020-03-21,673,89,1,0
2020-03-22,582,188,1,0
2020-03-23,882,122,7,0
2020-03-24,1220,106,5,3
2020-03-25,995,107,13,0
2020-03-26,1270,111,18,0
2020-03-27,1181,91,9,1
2020-03-28,667,109,3,1
2020-03-29,639,143,11,1
2020-03-30,917,136,16,2
2020-03-31,1401,127,215,1
2020-04-01,911,120,74,2
2020-04-02,1445,104,89,3
2020-04-03,1216,103,76,4
2020-04-04,805,89,31,1
2020-04-05,597,102,62,3
2020-04-06,786,51,119,3
2020-04-07,1192,38,31,1
2020-04-08,1660,111,64,3
2020-04-09,1833,54,52,2
2020-04-10,1442,50,73,1
2020-04-11,846,45,122,2
2020-04-12,980,33,83,3
2020-04-13,976,28,70,2
2020-04-14,666,34,117,1
2020-04-15,1043,30,92,2
2020-04-16,967,29,96,3
2020-04-17,0,28,96,1
2020-04-18,0,33,98,0
2020-04-19,3435,32,141,0
2020-04-20,1360,27,71,0
2020-04-21,1799,19,109,1
2020-04-22,0,15,244,1
2020-04-23,0,13,78,1
2020-04-24,0,15,60,0
2020-04-25,7638,53,57,1
2020-04-26,1544,15,47,0
2020-04-27,2248,9,15,1
2020-04-28,2436,7,43,2
2020-04-29,4096,9,13,0
2020-04-30,4353,7,22,0
2020-05-01,4164,6,32,0
2020-05-02,2210,6,13,0
2020-05-03,2523,3,7,0
2020-05-04,3500,18,1,0
2020-05-05,3859,1,7,0
2020-05-06,3693,1,14,1
2020-05-07,3471,3,11,0
2020-05-08,3853,8,12,0
2020-05-09,3351,4,3,1
2020-05-10,3409,5,7,0
2020-05-11,3454,6,2,0
2020-05-12,0,2,2,0
2020-05-13,7430,0,46,0
2020-05-14,3117,1,6,0
2020-05-15,3663,7,4,0
2020-05-16,206,0,1,0
2020-05-17,4818,3,1,0
2020-05-18,4016,3,1,0
2020-05-19,0,2,0,0
2020-05-20,0,1,31,0
2020-05-21,0,3,9,0
2020-05-22,19996,0,13,0
2020-05-23,3351,3,6,0
2020-05-24,3536,0,5,0
2020-05-25,6329,2,7,1
2020-05-26,7641,3,1,0
2020-05-27,8084,9,2,0
2020-05-28,5423,11,14,0
2020-05-29,6279,11,0,0
2020-05-30,4173,1,16,0
2020-05-31,2991,4,2,0
2020-06-01,5500,1,2,0
2020-06-02,7282,1,1,1
2020-06-03,4405,1,2,0
2020-06-04,0,17,0,0
2020-06-05,12288,1,3,0
