date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,1,0,0
2020-03-09,0,0,0,0
2020-03-10,150,3,0,0
2020-03-11,28,2,0,0
2020-03-12,71,0,0,0
2020-03-13,42,9,0,0
2020-03-14,70,2,0,0
2020-03-15,31,0,0,0
2020-03-16,67,2,0,0
2020-03-17,70,4,0,0
2020-03-18,86,5,0,0
2020-03-19,79,10,0,1
2020-03-20,126,15,0,0
2020-03-21,135,6,0,0
2020-03-22,132,15,1,2
2020-03-23,138,14,0,0
2020-03-24,229,25,0,1
2020-03-25,309,59,1,1
2020-03-26,282,24,0,1
2020-03-27,724,30,0,0
2020-03-28,536,51,0,2
2020-03-29,447,34,0,0
2020-03-30,442,0,1,0
2020-03-31,550,82,0,2
2020-04-01,386,29,2,2
2020-04-02,606,32,0,2
2020-04-03,749,40,0,4
2020-04-04,660,58,0,0
2020-04-05,1129,21,0,4
2020-04-06,604,22,0,0
2020-04-07,692,27,20,1
2020-04-08,517,5,0,1
2020-04-09,589,15,0,1
2020-04-10,562,28,0,0
2020-04-11,587,14,18,3
2020-04-12,590,22,0,3
2020-04-13,722,19,0,3
2020-04-14,793,21,0,0
2020-04-15,710,33,0,1
2020-04-16,692,42,0,2
2020-04-17,766,42,0,0
2020-04-18,1189,0,0,0
2020-04-19,878,15,0,1
2020-04-20,696,5,105,0
2020-04-21,550,0,0,0
2020-04-22,438,25,42,0
2020-04-23,559,9,0,0
2020-04-24,410,4,4,0
2020-04-25,263,17,13,0
2020-04-26,396,10,9,0
2020-04-27,585,18,63,1
2020-04-28,895,8,0,1
2020-04-29,569,5,15,0
2020-04-30,529,14,11,1
2020-05-01,351,4,11,0
2020-05-02,447,11,7,1
2020-05-03,312,4,5,0
2020-05-04,390,5,78,1
2020-05-05,412,4,76,0
2020-05-06,1453,3,109,0
2020-05-07,1877,1,9,1
2020-05-08,3521,4,38,1
2020-05-09,448,2,22,0
2020-05-10,614,0,40,0
2020-05-11,443,0,27,0
2020-05-12,2200,0,13,0
2020-05-13,1339,0,19,0
2020-05-14,1916,0,11,0
2020-05-15,781,3,32,0
2020-05-16,1061,2,5,0
2020-05-17,869,0,9,0
2020-05-18,1234,6,3,1
2020-05-19,1585,1,7,1
2020-05-20,1320,1,36,0
2020-05-21,1021,1,21,0
2020-05-22,167,2,20,0
2020-05-23,660,0,11,1
2020-05-24,637,3,3,0
2020-05-25,838,0,2,0
2020-05-26,429,0,10,0
2020-05-27,791,0,0,0
2020-05-28,710,17,9,0
2020-05-29,622,3,8,0
2020-05-30,371,5,4,0
2020-05-31,287,1,10,0
2020-06-01,378,7,4,0
2020-06-02,611,2,1,0
2020-06-03,503,1,0,1
2020-06-04,705,0,3,0
2020-06-05,61,0,1,0
2020-06-06,160,0,8,0
2020-06-07,312,0,5,0
2020-06-08,319,0,0,0
