date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,0,0,0
2020-03-13,0,4,0,0
2020-03-14,0,1,0,0
2020-03-15,0,12,0,1
2020-03-16,0,29,0,0
2020-03-17,8002,51,0,1
2020-03-18,2015,93,0,1
2020-03-19,1981,168,0,1
2020-03-20,3626,311,0,5
2020-03-21,2980,277,0,12
2020-03-22,1741,289,0,9
2020-03-23,3672,293,0,7
2020-03-24,3952,343,26,7
2020-03-25,5035,561,-26,15
2020-03-26,7286,1196,0,16
2020-03-27,7533,2069,42,17
2020-03-28,7641,1704,28,16
2020-03-29,9982,1815,35,23
2020-03-30,11535,1610,57,37
2020-03-31,15422,2704,81,46
2020-04-01,14396,2148,90,63
2020-04-02,18757,2636,82,79
2020-04-03,16160,2606,69,69
2020-04-04,19664,3013,302,76
2020-04-05,20066,3135,256,73
2020-04-06,21399,3148,284,75
2020-04-07,20023,3892,256,76
2020-04-08,24900,4117,264,87
2020-04-09,28578,4056,296,96
2020-04-10,30864,4747,281,98
2020-04-11,33170,5138,542,95
2020-04-12,35720,4789,481,97
2020-04-13,34456,4093,511,98
2020-04-14,33070,4062,842,107
2020-04-15,34090,4281,875,115
2020-04-16,40427,4801,1415,125
2020-04-17,40270,4353,1542,126
2020-04-18,40520,3783,1822,121
2020-04-19,35344,3977,1523,127
2020-04-20,39703,4674,1454,123
2020-04-21,39429,4611,1488,119
2020-04-22,37535,3083,1559,117
2020-04-23,40962,3116,2014,115
2020-04-24,38351,3122,3246,109
2020-04-25,38308,2861,3845,106
2020-04-26,30177,2357,3558,99
2020-04-27,20143,2131,4651,95
2020-04-28,29230,2392,5018,92
2020-04-29,43498,2936,5231,89
2020-04-30,42004,2615,4846,93
2020-05-01,41431,2188,4922,84
2020-05-02,36318,1983,4451,78
2020-05-03,24001,1670,4892,61
2020-05-04,35771,1614,5015,64
2020-05-05,33283,1832,5119,59
2020-05-06,30303,2253,4917,64
2020-05-07,30395,1977,4782,57
2020-05-08,33687,1848,3412,48
2020-05-09,35605,1546,3084,50
2020-05-10,36187,1542,3211,47
2020-05-11,32722,1114,3089,55
2020-05-12,37351,1704,3109,53
2020-05-13,33332,1639,2826,58
2020-05-14,34821,1635,2315,55
2020-05-15,38565,1708,2103,48
2020-05-16,42236,1610,2004,41
2020-05-17,35369,1368,1825,44
2020-05-18,25141,1158,1615,31
2020-05-19,25382,1022,1318,28
2020-05-20,20838,972,1092,23
2020-05-21,33633,961,1003,27
2020-05-22,37507,952,1121,27
2020-05-23,40178,1186,1491,32
2020-05-24,24589,1141,1092,32
2020-05-25,21492,987,1321,29
2020-05-26,19853,948,1492,28
2020-05-27,21043,1035,1286,34
2020-05-28,33559,1182,1576,30
