date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,2,0,1
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,4,0,0
2020-03-17,0,7,0,1
2020-03-18,0,0,0,0
2020-03-19,0,2,0,0
2020-03-20,0,13,0,1
2020-03-21,0,18,1,0
2020-03-22,0,26,0,0
2020-03-23,0,0,0,0
2020-03-24,0,24,0,0
2020-03-25,0,48,0,2
2020-03-26,0,51,0,0
2020-03-27,0,114,4,0
2020-03-28,0,46,0,4
2020-03-29,0,119,1,1
2020-03-30,0,73,2,3
2020-03-31,0,97,2,4
2020-04-01,0,149,3,3
2020-04-02,0,103,6,2
2020-04-03,0,175,3,5
2020-04-04,0,153,3,5
2020-04-05,0,83,3,5
2020-04-06,0,11,0,1
2020-04-07,0,143,0,7
2020-04-08,0,206,7,7
2020-04-09,20608,224,10,5
2020-04-10,2914,311,16,12
2020-04-11,0,308,18,4
2020-04-12,0,266,10,10
2020-04-13,11631,325,8,10
2020-04-14,0,270,22,5
2020-04-15,0,392,24,10
2020-04-16,7670,397,43,8
2020-04-17,4273,501,60,9
2020-04-18,0,444,29,8
2020-04-19,10015,343,72,8
2020-04-20,0,261,12,10
2020-04-21,0,415,8,10
2020-04-22,0,467,57,13
2020-04-23,15185,578,80,13
2020-04-24,0,477,278,14
2020-04-25,0,478,0,0
2020-04-26,17077,492,58,8
2020-04-27,4146,392,24,11
2020-04-28,5200,401,128,19
2020-04-29,5825,456,111,11
2020-04-30,7315,540,135,11
2020-05-01,6686,455,175,11
2020-05-02,4207,550,85,7
2020-05-03,6971,502,50,9
2020-05-04,4869,418,71,15
2020-05-05,5167,366,256,13
2020-05-06,4524,487,222,11
2020-05-07,7286,507,299,13
2020-05-08,7586,504,310,21
2020-05-09,7952,515,203,15
2020-05-10,9296,522,151,15
2020-05-11,5149,416,228,17
2020-05-12,5755,375,85,17
2020-05-13,4940,402,343,14
2020-05-14,10248,422,427,17
2020-05-15,9119,483,330,20
2020-05-16,9024,528,433,21
2020-05-17,7163,433,210,17
2020-05-18,5098,325,160,21
2020-05-19,7062,260,356,13
2020-05-20,8568,354,323,16
2020-05-21,0,476,272,15
2020-05-22,18656,442,358,9
2020-05-23,10527,432,344,17
2020-05-24,7914,406,179,12
2020-05-25,6242,259,126,6
2020-05-26,9868,339,341,21
2020-05-27,10796,321,420,14
2020-05-28,10214,477,444,11
2020-05-29,14572,429,495,10
2020-05-30,10961,393,377,17
2020-05-31,0,468,227,12
2020-06-01,7908,890,515,16
2020-06-02,15481,333,408,9
2020-06-03,9884,490,377,9
2020-06-04,10764,596,630,13
2020-06-05,11235,561,347,15
2020-06-06,10991,559,450,15
