date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1,0,0
2020-01-28,0,0,0,0
2020-01-29,75,3,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,183,0,0,0
2020-02-02,0,1,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,574,2,0,0
2020-02-09,1360,0,0,0
2020-02-10,437,1,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,1,0
2020-02-13,0,0,0,0
2020-02-14,306,0,0,0
2020-02-15,0,0,2,0
2020-02-16,2107,1,1,0
2020-02-17,0,0,0,0
2020-02-18,1651,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,2201,0,0,0
2020-02-22,4096,4,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1325,0,0,0
2020-02-28,8606,6,1,0
2020-02-29,0,2,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,2113,6,0,0
2020-03-04,12724,0,0,0
2020-03-05,0,2,0,0
2020-03-06,10753,0,0,0
2020-03-07,4480,16,2,0
2020-03-08,0,0,0,0
2020-03-09,6949,0,0,0
2020-03-10,3618,29,5,0
2020-03-11,0,0,5,0
2020-03-12,9973,11,0,0
2020-03-13,0,0,0,0
2020-03-14,10040,0,0,0
2020-03-15,6616,13,6,0
2020-03-16,0,0,0,0
2020-03-17,10525,0,0,0
2020-03-18,0,15,3,0
2020-03-19,13857,27,5,0
2020-03-20,0,0,0,2
2020-03-21,12706,13,7,0
2020-03-22,0,0,0,0
2020-03-23,16748,45,0,0
2020-03-24,9093,50,7,0
2020-03-25,9536,85,7,0
2020-03-26,0,0,0,0
2020-03-27,18882,72,0,0
2020-03-28,8216,63,0,0
2020-03-29,9098,102,6,1
2020-03-30,7694,41,3,2
2020-03-31,13458,53,0,1
2020-04-01,20480,150,0,2
2020-04-02,22433,210,35,0
2020-04-03,31402,240,12,1
2020-04-04,39950,241,17,1
2020-04-05,58348,294,19,0
2020-04-06,39870,277,23,1
2020-04-07,58294,283,19,1
2020-04-08,48418,300,53,0
2020-04-09,40000,331,29,2
2020-04-10,49000,370,150,2
2020-04-11,20000,376,170,4
2020-04-12,22000,387,92,2
2020-04-13,23380,398,172,3
2020-04-14,32000,412,81,3
2020-04-15,41425,432,101,5
2020-04-16,25000,460,61,2
2020-04-17,24000,477,93,2
2020-04-18,21806,0,0,0
2020-04-19,25795,479,98,4
2020-04-20,22807,484,74,2
2020-04-21,20165,490,83,3
2020-04-22,23053,483,103,6
2020-04-23,25506,518,91,4
2020-04-24,26274,525,123,8
2020-04-25,21984,532,127,7
2020-04-26,25086,536,91,5
2020-04-27,26195,490,112,6
2020-04-28,27905,541,91,7
2020-04-29,26524,549,148,9
2020-04-30,36266,552,100,7
2020-05-01,26677,557,114,6
2020-05-02,18428,561,121,8
2020-05-03,28039,564,99,7
2020-05-04,25231,567,203,11
2020-05-05,33994,462,187,9
2020-05-06,41134,546,206,11
2020-05-07,33153,502,213,8
2020-05-08,29866,553,265,9
2020-05-09,26763,624,458,11
2020-05-10,32597,781,509,13
2020-05-11,34869,680,577,3
2020-05-12,37112,783,631,2
2020-05-13,38477,725,511,3
2020-05-14,35735,698,407,2
2020-05-15,40720,747,398,2
2020-05-16,37844,796,603,4
2020-05-17,38904,731,581,6
2020-05-18,43732,832,1065,4
2020-05-19,43993,873,1214,3
2020-05-20,50377,941,1018,6
2020-05-21,39791,894,946,4
2020-05-22,35686,994,1043,4
2020-05-23,41202,812,697,3
2020-05-24,28282,781,561,1
2020-05-25,27540,822,601,3
2020-05-26,38628,779,325,5
2020-05-27,36131,883,389,2
2020-05-28,42624,563,314,3
2020-05-29,37153,638,412,2
2020-05-30,30147,726,449,2
2020-05-31,35037,661,386,2
2020-06-01,41762,635,406,2
2020-06-02,54823,596,388,3
2020-06-03,44241,571,427,1
