date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,1,0,0
2020-01-05,0,0,0,0
2020-01-06,0,3,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,41,0,1
2020-01-12,0,1,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,4,0,0,0
2020-01-17,0,5,0,1
2020-01-18,1,17,1,0
2020-01-19,1,59,0,1
2020-01-20,2,77,0,1
2020-01-21,12,93,1,2
2020-01-22,738,157,0,3
2020-01-23,116,134,0,8
2020-01-24,115,271,1,8
2020-01-25,110,471,0,16
2020-01-26,280,697,3,15
2020-01-27,210,783,0,24
2020-01-28,302,1786,2,26
2020-01-29,251,1477,2,26
2020-01-30,318,1749,1,38
2020-01-31,160,2013,4,43
2020-02-01,425,2111,1,46
2020-02-02,158,2600,1,46
2020-02-03,172,2834,1,57
2020-02-04,378,3255,5,64
2020-02-05,369,3912,0,66
2020-02-06,1084,3745,6,73
2020-02-07,695,3199,3,73
2020-02-08,1391,3418,-1,86
2020-02-09,2251,2670,6,89
2020-02-10,1522,3066,9,97
2020-02-11,1033,2480,7,108
2020-02-12,1916,2067,31,97
2020-02-13,2017,15209,4,254
2020-02-14,2275,4064,4,14
2020-02-15,907,2721,14,143
2020-02-16,2976,2086,11,143
2020-02-17,2262,2180,14,106
2020-02-18,4449,1995,13,98
2020-02-19,2772,1843,12,138
2020-02-20,2919,498,10,116
2020-02-21,5837,1026,19,123
2020-02-22,9483,1081,2,110
2020-02-23,3574,920,17,105
2020-02-24,11309,725,11,163
2020-02-25,13850,855,13,80
2020-02-26,12885,908,75,59
2020-02-27,17919,1412,84,45
2020-02-28,27581,1441,81,59
2020-02-29,20333,1879,96,69
2020-03-01,15563,2357,126,54
2020-03-02,17977,1967,234,90
2020-03-03,34940,2636,107,71
2020-03-04,82454,2383,545,98
2020-03-05,27828,2820,511,91
2020-03-06,43875,3890,615,114
2020-03-07,43153,4118,1011,101
2020-03-08,153320,3660,594,236
2020-03-09,32297,4563,743,187
2020-03-10,49156,4940,1392,270
2020-03-11,61283,7777,1597,340
2020-03-12,75578,7395,1266,319
2020-03-13,81286,12546,1852,483
2020-03-14,81609,12220,2203,432
2020-03-15,212282,11999,3039,663
2020-03-16,142175,12941,3162,657
2020-03-17,129180,18214,5471,854
2020-03-18,162844,20314,5449,980
2020-03-19,227455,28346,5216,1098
2020-03-20,204046,29874,6578,1378
2020-03-21,194843,32753,6192,1700
2020-03-22,531063,32643,6304,1637
2020-03-23,220025,41536,4152,1935
2020-03-24,240328,41713,10502,2223
2020-03-25,290132,52962,10403,2787
2020-03-26,314136,60522,11771,2850
2020-03-27,340209,64303,12380,3498
2020-03-28,306450,63586,11066,3640
2020-03-29,711841,56930,9803,3291
2020-03-30,271986,63371,17908,3892
2020-03-31,385156,77580,15185,4486
2020-04-01,629375,76520,18718,9336
2020-04-02,480464,80580,19589,6498
2020-04-03,527091,83553,18683,6475
2020-04-04,471808,79672,22244,6356
2020-04-05,1096385,71287,13780,5324
2020-04-06,483660,73135,20825,6042
2020-04-07,738345,76969,21925,8255
2020-04-08,854056,84727,23401,6890
2020-04-09,706200,86863,22622,7800
2020-04-10,650616,87836,22459,7229
2020-04-11,654233,78407,24738,6387
2020-04-12,948309,69983,17785,5723
2020-04-13,1420290,68399,24479,5873
2020-04-14,636096,74912,22916,7088
2020-04-15,646992,80321,34787,8089
2020-04-16,689667,86237,28566,7029
2020-04-17,752952,86005,21531,8143
2020-04-18,703635,76210,30648,6049
2020-04-19,1015742,76567,30017,5134
2020-04-20,669882,74049,20136,5736
2020-04-21,773751,76015,33166,7124
2020-04-22,857177,80529,27947,6467
2020-04-23,989049,87190,27169,6585
2020-04-24,931082,84302,45523,6542
2020-04-25,863829,83192,28872,5503
2020-04-26,1196851,71900,27072,3820
2020-04-27,797768,69751,25995,4584
2020-04-28,1240726,73306,31373,6414
2020-04-29,1125861,77251,40954,6537
2020-04-30,1480161,84511,63290,5843
2020-05-01,1289202,88684,35592,5053
2020-05-02,1048151,80510,39195,5461
2020-05-03,1288486,77784,30420,3528
2020-05-04,956338,77868,33196,3957
2020-05-05,1139940,81922,35292,5940
2020-05-06,1154532,93298,43045,6089
2020-05-07,1549133,90523,38894,5264
2020-05-08,1350746,92158,38310,5364
2020-05-09,1232794,84186,56764,4425
2020-05-10,1568678,76067,31391,3597
2020-05-11,1113835,77382,47765,3450
2020-05-12,1286174,84589,37581,5479
2020-05-13,1590884,85546,56808,4980
2020-05-14,1791854,97940,39525,5167
2020-05-15,1586811,97460,49262,5157
2020-05-16,1408142,92044,58331,4177
